q0001  00:00.0-00:30.0  Девушки отдыхают
q0052  04:29.1-04:33.2  звери, когда их загонят в угол. Хаотично и бессистемно бросаться на всё, что перед нами.
q0053  04:33.2-04:40.8  Чур, голова Гевина моя. Ребят, я тут подумал. Выслушайте, ладно? Многие успешные стартапы
q0054  04:40.8-04:43.0  начались совсем иных бизнес-моделей.
q0055  04:43.3-04:45.9  Но у них начались проблемы, и они развернулись в другую сторону.
q0056  04:46.1-04:46.8  Как Инстаграм.
q0057  04:47.2-04:50.8  Изначально это был геосервис чекинов, а потом развернулся.
q0058  04:51.1-04:52.0  Или чат-рулет.
q0059  04:52.2-04:57.2  Был социальной средой, но развернулся и стал площадкой для сексуальных извращений.
q0060  04:58.1-04:59.3  Нужна новая идея.
q0061  04:59.5-05:00.5  То, что нужно людям.
q0062  05:00.7-05:01.5  Нужен разворот.
q0063  05:01.9-05:03.8  Чувак, какой хуетой ты накидался?
q0064  05:04.0-05:05.7  Да, тебя конкретно плющат.
q0065  05:06.2-05:07.7  Признаю, меня пришибает.
q0066  05:07.7-05:12.3  Я провёл четыре дня в стальном ящике на нефтяной платформе, полной роботами-погрузчиками.
q0067  05:12.5-05:14.7  Было тяжело, но я вернулся.
q0068  05:15.0-05:18.1  Прихожу в себя, концентрируюсь и найду нам разворот.
q0069  05:18.2-05:19.4  Не вешать нос. Ясно?
q0070  05:19.6-05:21.4  Смотри сюда. Смотри сюда. Смотри сюда.
q0071  05:22.1-05:24.5  У нас шикарное название. Шикарная команда.
q0072  05:24.9-05:27.0  Шикарный логотип и шикарное название.
q0073  05:27.5-05:28.6  Осталось родить идею.
q0074  05:29.2-05:31.0  Развернуться. Развернуться.
q0075  05:34.1-05:36.3  Походу, больше мы его в живых не увидим.
q0076  05:36.3-05:38.7  Я, пожалуй, пойду прогуляю.
q0077  05:39.0-05:39.9  Проветрю мозги.
q0078  05:40.3-05:43.8  Встретимся в номере и решим, как нам быть.
q0079  05:46.3-05:47.8  Мы станем нищими.
q0080  05:49.5-05:50.2  Здрасте.
q0081  05:50.7-05:53.5  Давайте поговорим про компанию Пегги Дудочник.
q0082  05:53.8-05:54.7  Что она производит?
q0083  05:54.8-05:55.5  Хороший вопрос.
q0084  05:55.8-05:57.1  Может, вы поможете найти ответ?
q0085  05:57.6-06:00.8  Что, если Дудочник будет привлекать грызунов?
q0086  06:01.3-06:03.2  Ну, как в легенде про крысолова.
q0087  06:03.2-06:06.4  В целях истребления или на корм домашней змеи.
q0088  06:06.6-06:09.0  Не нам судить, что вам делать с мышами.
q0089  06:09.4-06:11.3  Наше дело — сказать мышам ша.
q0090  06:11.5-06:14.9  Вам это очень интересно, слегка интересно или неинтересно?
q0091  06:15.1-06:15.8  Отвечайте.
q0092  06:16.3-06:16.8  Отвечайте.
q0093  06:18.0-06:18.6  Отвечайте.
q0094  06:21.1-06:22.2  Ты глянь.
q0095  06:22.7-06:23.9  Полные надежд.
q0096  06:24.7-06:25.4  Придурки.
q0097  06:26.0-06:28.2  Азырь, Кверпи набирает персонал.
q0098  06:28.2-06:33.1  Они получили 20 миллионов инвестиций при общей оценке в 280 миллионов.
q0099  06:33.2-06:33.8  Фига.
q0100  06:34.5-06:35.9  На их месте могли бы быть мы.
q0101  06:36.8-06:38.8  Жаль, что у нас уже есть работа.
q0102  06:39.0-06:40.3  А то бы нас легко взяли.
q0103  06:40.9-06:41.2  Да.
q0104  06:42.9-06:46.4  Мы же не последние засранцы бросать сейчас Ричарда, да?
q0105  06:46.8-06:48.9  Пока мы официально не пошли ко дну.
q0106  06:50.2-06:50.6  Да.
q0107  06:50.8-06:51.1  Да.
q0108  06:52.1-06:53.5  Вообще не засранцы.
q0109  06:55.7-07:00.3  Несмотря на то, что это вопрос времени, мы на краю пропасти.
q0110  07:00.6-07:02.1  А он стоит прямо здесь.
q0111  07:13.7-07:16.9  сможет с точностью определить вероятность,
q0112  07:17.1-07:18.9  с которой вы попадете в рай или в ад.
q0113  07:19.7-07:22.4  Очень интересно, слегка интересно, неинтересно.
q0114  07:23.3-07:23.8  Отвечайте.
q0115  07:24.3-07:24.8  Отвечайте.
q0116  07:25.6-07:26.1  Отвечайте.
q0117  07:26.9-07:29.2  Вы сделали ряд невероятных заявлений по поводу ведра.
q0118  07:29.3-07:30.2  Вы отвечаете за слова?
q0119  07:30.2-07:31.5  На сто процентов.
q0120  07:31.5-07:38.6  Для меня, Кара, добродетель, величие — не просто громкие слова, а истинные цели Хули с момента создания.
q0121  07:38.9-07:41.7  Гевин, не надо перед ними оправдываться.
q0122  07:42.2-07:45.0  Я скажу сам. Эрлих Бахман, Пегги и Дуличник.
q0123  07:45.3-07:47.0  На меня жестоко напали? Да.
q0124  07:47.5-07:50.4  Имеет ли к этому отношение Гевин Белсон? Неизвестно.
q0125  07:50.6-07:55.4  Но могу сказать, что все слухи, которые циркулируют по тех кранчу, бездоказательны.
q0126  07:55.5-07:56.4  Какие еще слухи?
q0127  07:56.4-07:56.9  Спасибо.
q0128  07:57.3-07:59.7  Зачем Гевину ввязываться в такую историю?
q0129  07:59.7-08:05.0  У него же нет причин бояться пегово-дудочника и наших превосходных технологий.
q0130  08:05.2-08:09.2  Эти и другие слухи о Гевине Белсоне беспочвенные.
q0131  08:10.0-08:15.6  Алкоголизм, непристойное поведение на работе, надвигающийся крах акций хули.
q0132  08:16.0-08:17.8  Это самое нелепое...
q0133  08:17.8-08:18.4  Вот именно!
q0134  08:18.7-08:23.7  Так зачем смаковать похабные подробности, которые всем нам, несомненно, известны?
q0135  08:23.9-08:25.3  Виновен ты или нет, Гевин?
q0136  08:25.3-08:26.0  Я с тобой.
q0137  08:26.8-08:27.7  Ваши комментарии?
q0138  08:29.7-08:33.1  Давайте продолжим.
q0139  08:33.3-08:35.8  Да, давайте продолжим и всё скорее забудем.
q0140  08:36.0-08:39.3  Я прощаю тебя, Гевин, несмотря на тяжёлые побои.
q0141  08:40.5-08:41.1  Надо же.
q0142  08:41.4-08:43.2  Хорошо вам в бегом дудочнике.
q0143  08:43.4-08:44.3  О да, ещё как.
q0144  08:44.5-08:46.3  Пегий дудочник лучше всех.
q0145  08:46.3-08:49.8  Ё-моё, я как будто ежедневно умираю и попадаю в ад.
q0146  08:50.3-08:52.8  Прошу прощения, он сатанист, для него это счастье.
q0147  08:53.0-08:53.3  Угу.
q0148  08:53.5-08:54.3  А, здорово.
q0149  08:54.3-08:57.9  В общем, мы любим нашу фирму, и я готов с гордостью об этом заявить.
q0150  08:57.9-08:58.1  А ты?
q0151  08:58.7-08:59.1  Обожаю.
q0152  08:59.1-09:03.5  Мы оба в этом признаёмся, и это доказывает, что мы не засранцы.
q0153  09:05.6-09:08.5  И вот мы хотели у тебя спросить, пацаны.
q0154  09:10.2-09:11.4  Только между нами.
q0155  09:12.2-09:13.5  Наша бета-версия корявая.
q0156  09:14.2-09:17.5  Нам грозит возврат венчурного капитала, а инвестиции дышат наладом.
q0157  09:17.8-09:18.8  Мы катимся к чёрту.
q0158  09:19.4-09:21.9  Денег хватит на 2-3 недели максимум.
q0159  09:22.5-09:24.1  Так что...
q0160  09:24.1-09:26.3  Вы сможете меня нанять?
q0161  09:29.1-09:38.8  Что вы скажете, будь у меня GPS-приложение Пегги Дудочник, которое отслеживает местоположение вашего ребёнка.
q0162  09:39.1-09:42.0  Я бы смог найти его где угодно, и ничто мне не помешает.
q0163  09:43.0-09:45.4  Большинство пропавших детей так и не находит.
q0164  09:45.8-09:48.2  Интересно, очень интересно или очень интересно?
q0165  09:52.4-09:54.1  Ричард, привет.
q0166  09:54.4-09:56.1  Привет. Чемодан?
q0167  09:56.9-09:59.3  Да, значит, ты...
q0168  09:59.3-10:00.3  Питер звонил.
q0169  10:01.0-10:05.7  Он видел презентацию Эрлиха во всей красе и Гевина.
q0170  10:07.0-10:08.8  И попросил меня вернуться в Палуальто.
q0171  10:09.6-10:11.7  Там для меня есть кое-какие дела.
q0172  10:12.4-10:14.3  Значит, вы нас похоронили?
q0173  10:15.1-10:18.9  Слушай, мне жаль, что ты отказался взять деньги, как хотел,
q0174  10:18.9-10:21.2  но, клянусь, я уговорила Питера взяться за вас,
q0175  10:21.4-10:23.4  потому что сочла вас с отличной компанией.
q0176  10:23.7-10:25.7  Просто на сей раз не вышло.
q0177  10:25.7-10:27.6  А можно на чистоту?
q0178  10:27.6-10:31.2  Я несколько месяцев не спал больше часа подряд.
q0179  10:31.5-10:33.1  Меня непрерывно знобит.
q0180  10:33.8-10:36.1  Желудок так сводит, будто у меня месячные.
q0181  10:37.3-10:38.8  Может, оно и к лучшему.
q0182  10:40.6-10:41.9  Слушай, мне пора.
q0183  10:43.3-10:45.6  Мне очень жаль, что мы больше не работаем вместе.
q0184  10:45.9-10:47.1  Да, и мне тоже.
q0185  10:48.5-10:51.4  Значит, мы больше не увидимся.
q0186  10:52.1-10:56.1  Ну, теперь мы не ограничены корпоративными правилами.
q0187  10:56.5-10:59.6  Дай знать, если захочешь как-нибудь вместе выпить.
q0188  11:00.5-11:02.4  В каком смысле выпить?
q0189  11:03.3-11:05.2  Ты встречаешься с неудачниками?
q0190  11:06.6-11:07.5  Постоянно.
q0191  11:08.4-11:08.9  Лады.
q0192  11:10.0-11:11.3  Ну, пока.
q0193  11:12.1-11:12.5  Пока.
q0194  11:12.5-11:13.0  Да.
q0195  11:15.8-11:18.8  У вас есть при себе оружие или наркотики?
q0196  11:19.9-11:20.7  Да, а что?
q0197  11:21.1-11:21.9  Да, есть.
q0198  11:23.5-11:24.4  Дайте сюда.
q0199  11:26.6-11:29.8  Аддурал, его не отпускают без рецепта. Это ваше?
q0200  11:30.0-11:32.8  Нет, ко мне домой пришёл мальчик и продал.
q0201  11:34.0-11:36.8  Да, сэр, я попрошу вас пройти со мной.
q0202  11:37.1-11:39.6  Спасибо за приглашение, но у меня много дел. Я разворачиваюсь.
q0203  11:39.9-11:40.5  А ну иди сюда!
q0204  11:40.8-11:44.1  Нет, я разворачиваюсь! Разворачиваюсь! Разворачиваюсь!
q0205  11:44.9-11:47.9  Ну, а что мы вообще завтра покажем?
q0206  11:48.6-11:49.8  Серьёзно, есть идеи?
q0207  11:49.8-11:51.6  А нафига что-то вообще показывать?
q0208  11:51.7-11:52.6  В каком смысле?
q0209  11:52.8-11:57.6  Раз уж позориться и унижаться, зачем делать это перед тысячной аудиторией с трансляцией онлайн?
q0210  11:58.1-11:59.8  Предлагаешь вообще не выходить?
q0211  12:00.2-12:02.9  Без обид, но это будет публичная казнь.
q0212  12:03.3-12:05.6  Да, а публичные казни весьма популярны.
q0213  12:05.8-12:08.3  Это шоу-бизнес. Мы не сдаёмся, Ричард.
q0214  12:08.6-12:13.5  Слушай, Эрлих, я рад выйти. Правда. Просто... не знаю.
q0215  12:13.5-12:19.9  Господи, что это с тобой?
q0216  12:20.3-12:20.5  Что?
q0217  12:21.1-12:21.5  Со мной?
q0218  12:22.0-12:22.8  Все хорошо.
q0219  12:23.0-12:24.0  Все прекрасно.
q0220  12:24.1-12:24.9  Меня отпустили.
q0221  12:25.0-12:26.2  Кто тебя отпустил?
q0222  12:26.2-12:28.1  Ты когда в последний раз спал, Джаред?
q0223  12:28.2-12:29.0  Разумеется, Дэвид.
q0224  12:30.3-12:31.6  О чем беседуем, господа?
q0225  12:32.0-12:38.6  О том, что я не выступил в отборочном туре, потому что изображал боксерскую грушу, чтобы наша команда продвинулась вперед.
q0226  12:38.9-12:40.3  Поэтому завтра мы выйдем.
q0227  12:40.4-12:41.1  И знаете что?
q0228  12:41.3-12:42.4  Мы победим.
q0229  12:42.4-12:42.9  Да.
q0230  12:42.9-12:47.7  Мы победим, даже если мне придётся подрочить каждому зрителю лично.
q0231  12:48.5-12:49.7  Много дрочить придётся.
q0232  12:50.9-12:52.6  А у нас всего 10 минут.
q0233  12:53.0-12:53.9  Так что...
q0234  12:53.9-12:56.1  Так что нам пиздец.
q0235  12:58.3-13:00.7  Да, даже если дрочить двоим одновременно.
q0236  13:01.0-13:01.6  Сколько их там?
q0237  13:02.0-13:02.8  800 человек?
q0238  13:03.1-13:04.7  Значит, 400 раз по...
q0239  13:04.7-13:05.9  Сколько там времени на дрочку?
q0240  13:06.2-13:06.7  Что-что?
q0241  13:07.0-13:07.9  Дрочка раз.
q0242  13:08.1-13:09.0  Ерунда, конечно.
q0243  13:09.0-13:14.2  Но гипотетически время равняется 400 дрочкам при двучленовом коэффициенте.
q0244  13:14.3-13:18.0  А если Эрлих будет дрочить четверым сразу, время можно сократить вдвое.
q0245  13:18.1-13:22.2  А как это четверым? У него же две руки. Значит, два члена за раз, так?
q0246  13:22.5-13:29.5  Парни встают парами с двух сторон, головка к головке, и дрочишь вдоль всех. Четверо, ясно?
q0247  13:29.8-13:32.6  А, из центра наружу. Здравая мысль.
q0248  13:32.9-13:33.7  Как две гантели.
q0249  13:33.7-13:43.7  Да, значит вопрос, как гипотетически минимизировать время, равное 800 зрителям, умноженным на время дрочки, деленным на 4 члена за раз.
q0250  13:44.1-13:47.8  Конечно, Эрлиху придется выстроить всех по росту, чтобы члены совпадали.
q0251  13:48.0-13:49.4  Не по росту технически.
q0252  13:49.8-13:52.5  Нас интересует высота от пола до члена.
q0253  13:53.6-13:54.8  Назовем ее H.Ч.
q0254  13:55.4-13:57.0  Ха, е-мое.
q0255  13:57.0-14:03.5  А если у зрителя длинный член, можно его приподнять или опустить до зрителя с другим H.Ч?
q0256  14:03.7-14:22.9  H H H H H L H1 H2 H3 H4 L
q0257  14:23.7-14:24.9  Назовем его D.
q0258  14:25.1-14:26.9  Итак, оргазм...
q0259  14:26.9-14:27.3  Блин.
q0260  14:28.5-14:29.5  Вот я кретин.
q0261  14:29.6-14:30.6  Из центра наружу.
q0262  14:30.8-14:32.1  Из центра наружу.
q0263  14:32.4-14:33.4  Из центра наружу.
q0264  14:33.6-14:34.9  Вот же, блин, как же я...
q0265  14:34.9-14:40.8  Ребят, а разница в диаметре влияет на вас?
q0266  14:40.9-14:43.1  возможно, стерлиха дрочить сразу нескольким.
q0267  14:47.8-14:48.5  Бляха.
q0268  14:48.6-14:49.9  Да, походу, влияет.
q0269  15:01.2-15:02.9  Ну, разумеется.
q0270  15:03.5-15:06.4  Время для оргазма, или ТО,
q0271  15:07.0-15:09.5  должно быть одинаковым для каждой пары членов,
q0272  15:09.5-15:12.4  Иначе я зря расходую несколько движений на того, кто уже кончил.
q0273  15:12.5-15:14.3  Можно переключать их на лету.
q0274  15:14.5-15:16.4  Пошел вниз, член поменялся.
q0275  15:16.6-15:19.0  Так что на обратном движении энергия не теряется.
q0276  15:19.3-15:21.8  А если и так, вот самое оптимальное время для оргазма.
q0277  15:22.0-15:24.9  Ребят, Ричард заперся там два часа назад.
q0278  15:25.3-15:26.4  С ним все в порядке?
q0279  15:28.0-15:29.7  Ты думаешь, он там...
q0280  15:29.7-15:31.2  Выглядел он весьма расстроенным.
q0281  16:09.5-16:14.2  Ну всё, помчали. Впереди финал. Подъём. Гилфойл.
q0282  16:15.2-16:15.8  Господи.
q0283  16:17.9-16:20.1  А что случилось с дверью?
q0284  16:20.3-16:22.6  Не волнуйся, Ричард. Платформа готова к показу?
q0285  16:22.6-16:25.0  Я внёс пару изменений, но да.
q0286  16:25.3-16:28.0  Ладно, расскажешь по пути. Ну всё, дрочилы. Вперёд.
q0287  16:28.8-16:30.9  Рассказывай, Ричард, над чем ты вчера засел?
q0288  16:31.1-16:33.2  Ну, я, кажется, совершил прорыв.
q0289  16:33.4-16:34.6  Правда? Значит, всё работает?
q0290  16:35.2-16:36.1  Технически нет.
q0291  16:39.5-16:48.4  Удачи, Ричард.
q0292  16:48.8-16:50.5  Прости, что не смогла лично...
q0293  16:50.5-17:13.7  Признайтесь, дамы, нет ничего менее сексуального, чем недостаточная визуализация опыта взаимодействия.
q0294  17:13.7-17:15.4  Хуже просто некуда.
q0295  17:15.9-17:20.1  Мы тщательно исследовали каждый шаг и нашли решение этих проблем.
q0296  17:20.2-17:22.0  Зеленелла готова представить их рынку.
q0297  17:22.1-17:24.3  Да, я понял, Ричард, ты всё переделал.
q0298  17:24.7-17:26.5  Набросай основы, дальше я справлюсь.
q0299  17:26.7-17:28.3  Но мне надо знать, что я представляю.
q0300  17:28.5-17:30.3  Я, наверное, не успею объяснить основы.
q0301  17:30.5-17:31.4  Это что ещё за хрень?
q0302  17:31.5-17:34.2  Ричард, это правильный билд? Не вижу мобильной библиотеки.
q0303  17:34.7-17:36.7  Её нет, я её стёр.
q0304  17:37.0-17:37.3  А что?
q0305  17:37.7-17:38.3  Вот вы где.
q0306  17:38.8-17:39.7  Беги, дуличник здесь.
q0307  17:39.8-17:40.8  Простите за опоздание.
q0308  17:41.0-17:42.4  Ричард, поговори со мной.
q0309  17:42.4-17:44.7  Я фронтмен, но не знаю, что играет группа.
q0310  17:44.7-17:49.0  А, я вообще-то хотел провести презентацию самостоятельно.
q0311  17:49.1-17:54.5  Стой, что? Не-не-не, Ричард, Ричард, Ричард, при всём уважении, при всём уважении, ты хреновый оратор.
q0312  17:54.5-17:57.5  Перед тобой стоит шоумен мирового класса, а ты на него забьёшь?
q0313  17:57.8-18:00.1  Выпусти меня, Ричард. Выпусти Кракена.
q0314  18:00.2-18:01.6  Беги и дудочник — ваш выход.
q0315  18:02.2-18:03.2  Ну вот и всё.
q0316  18:03.5-18:06.7  Я не знаю, что ты сделал, Ричард, но надеюсь, оно работает.
q0317  18:07.1-18:07.6  Я тоже.
q0318  18:07.6-18:13.8  Итак, поприветствуем последних финалистов битвы стартапов конференции Техгранг Дизраб.
q0319  18:13.8-18:17.6  Бегово-дуточника представляет Эрлих Бахман.
q0320  18:23.4-18:26.3  Вообще-то у нас поменялись планы.
q0321  18:26.8-18:30.1  Бегово-дуточника представит Ричард Хендрикс.
q0322  18:35.9-18:37.0  Ричард?
q0323  18:40.0-18:42.2  Простите, слегка впал в ступор.
q0324  18:43.2-18:45.3  Я их разогрел. Ошеломи их.
q0325  18:47.1-18:51.0  Я не догоняй. Я думал, он улучшил платформу, а он тупо всё удалил.
q0326  18:51.3-18:52.9  Может, он всё в облако перенёс?
q0327  18:53.1-18:56.0  Неа. И все труды резчика тоже похерил.
q0328  18:56.2-18:59.2  Пегий дудочник — это облачный алгоритм. Без облака — это ничто.
q0329  18:59.6-19:04.1  Господа, это последние 10 минут пегово-дудочника. Насладимся ими.
q0330  19:04.3-19:05.2  Он что, рехнулся?
q0331  19:05.3-19:06.6  Ебанулся на всю голову.
q0332  19:06.6-19:08.9  Здрасте. Здрасте. Здрасте.
q0333  19:08.9-19:17.7  Меня зовут Ричард Хендрикс, и я вместе с ним, с ним, с ним,
q0334  19:17.7-19:22.6  и еще одним, который куда-то делся.
q0335  19:22.6-19:27.9  Мы Пегги Дудочник, создатели архиватора.
q0336  19:27.9-19:31.8  В ваших буклетах написано, что мы облачное мультиплатформенное
q0337  19:31.8-19:34.4  решение для пользовательской компрессии.
q0338  19:34.4-19:36.5  И так и было.
q0339  19:36.5-19:38.2  До вчерашнего дня.
q0340  19:38.2-19:40.0  Но теперь всё не так.
q0341  19:42.4-19:46.6  Потому что Хули сделали всё, к чему мы шли, лучше.
q0342  19:47.1-19:47.8  Гораздо лучше.
q0343  19:49.8-19:53.3  Ядро основано на том же движке, что и мы.
q0344  19:54.1-19:55.2  Абсолютно на том же.
q0345  19:55.5-19:59.4  И рейтинг Вайсмана у них 2.89, как и у нас.
q0346  19:59.4-20:04.0  Но они написали поверх него кучу классных вещей.
q0347  20:04.5-20:08.0  Нам с ними не тягаться, и приходится всё менять.
q0348  20:08.2-20:10.2  Молодцы, Хули.
q0349  20:10.2-20:20.2  Так, короче, мы все знаем, что самый очевидный способ сжатия файлов деревом Шэнона, да? Сверху вниз.
q0350  20:20.2-20:22.2  Ричард, они не видят. Лист маленький.
q0351  20:22.2-20:23.2  Ясно.
q0352  20:23.2-20:25.2  Здесь несколько сотен человек.
q0353  20:25.2-20:27.2  Нет, он не нужен.
q0354  20:27.2-20:29.2  Блин, ну ладно.
q0355  20:31.2-20:34.2  Да, вот. Итак, алгоритм Шэнона.
q0356  20:34.2-20:40.9  А потом Дэвид Хаффман придумал проходить снизу вверх, а лемп или зиф слева направо, ясенпень.
q0357  20:41.3-20:44.3  И десертки лет все сжимали этими алгоритмами.
q0358  20:44.7-20:47.5  Ну там JPEG, MPEG, MP3, ZIP, вот это все.
q0359  20:47.9-20:49.0  Все это знают.
q0360  20:49.7-20:51.6  Чего об этом рассказывать?
q0361  20:52.4-20:54.5  Но вышло вот как.
q0362  20:54.9-21:02.3  Вчера я смотрел, как мои друзья спорят о том, как обрабатывать данные.
q0363  21:02.3-21:09.3  и о том, сколько данных каждый может обработать за раз, и...
q0364  21:09.3-21:10.3  Эм...
q0365  21:10.3-21:13.3  И меня... меня осенило.
q0366  21:13.3-21:15.3  Может, есть иной способ.
q0367  21:15.3-21:17.3  Я назвал его из центра наружу.
q0368  21:30.6-21:40.0  Утром я успел прогнать его через один единственный тест, по итогу которого рейтинг Вайсмана получился 3,8.
q0369  21:41.8-21:47.9  Да, я знаю, что теоретический предел 2,9, но, как вы видите...
q0370  21:47.9-21:48.8  Прошу прощения.
q0371  21:49.3-21:51.8  У вас получилось 3,8?
q0372  21:52.9-21:53.9  Да, сэр.
q0373  21:54.0-21:56.7  Это универсальный алгоритм сжатия без потерь.
q0374  21:56.8-21:58.5  Текст, аудио, видео.
q0375  21:58.8-21:59.7  Да, всё верно.
q0376  22:01.1-22:04.0  Простите, что прерываю ваше яркое выступление, Ричард.
q0377  22:04.2-22:09.3  Но вместо слов предлагаю дать вам файл, и мы посмотрим, правда ли, что вы говорите.
q0378  22:09.3-22:11.7  В противном случае можно заканчивать.
q0379  22:12.6-22:12.8  Да?
q0380  22:13.3-22:14.8  Да, да, справедливо.
q0381  22:14.8-22:19.5  Мы дадим произвольный файл, а вы сожмёте его без потерь с этим показателем.
q0382  22:19.5-22:20.5  3,8.
q0383  22:21.0-22:21.3  Да.
q0384  22:22.8-22:23.0  Да.
q0385  22:23.2-22:24.6  Ладно, минутку, пожалуйста.
q0386  22:25.9-22:26.7  Ну что?
q0387  22:27.0-22:28.0  Что можем дать?
q0388  22:33.3-22:34.5  У вас что-то есть?
q0389  22:34.7-22:35.9  Есть у меня для него файлик.
q0390  22:36.3-22:38.7  Ага, у Энди Стаффорда есть для вас файл.
q0391  22:39.0-22:39.5  Хорошо.
q0392  22:39.5-22:43.5  Это 132 гигабайта нежатого 3D-видео.
q0393  22:44.8-22:47.8  Хорошо.
q0394  22:50.6-22:51.4  Чёрт.
q0395  22:52.0-22:53.5  Блядский 3D-фильм?
q0396  22:53.7-22:54.0  Да.
q0397  22:54.2-22:55.3  Ты совсем ебанулся?
q0398  22:55.9-22:57.0  Чёрт возьми.
q0399  22:57.8-22:58.8  Мы справимся?
q0400  22:59.3-23:00.5  Сейчас и выясним.
q0401  23:00.8-23:02.3  Чёрт, надеюсь, оно работает.
q0402  23:12.4-23:13.8  Чёрт, повис.
q0403  23:14.8-23:16.1  О, нет.
q0404  23:17.7-23:19.1  Он что, повис?
q0405  23:19.4-23:20.6  Время ограничено.
q0406  23:20.8-23:22.2  У вас осталось две минуты.
q0407  23:23.0-23:24.5  Давай, давай, давай, давай.
q0408  23:28.7-23:29.9  Похоже, готово.
q0409  23:30.8-23:32.2  Стой, 24 гига.
q0410  23:32.3-23:33.0  Что за хрень?
q0411  23:34.3-23:36.1  О, чёрт, не может быть.
q0412  23:36.4-23:37.6  Не всё жал.
q0413  23:37.7-23:38.7  Должно быть вдвое больше.
q0414  23:39.2-23:42.3  24 гига — это меньше четверти оригинала.
q0415  23:42.9-23:44.6  Весьма сомнительно, Ричард.
q0416  23:44.8-23:46.7  Давайте проверим его тестом Вайсмана.
q0417  23:46.9-23:48.1  Посмотрим, что не так.
q0418  23:48.5-23:49.6  Хорошо, это быстро.
q0419  23:49.9-23:51.4  Он жал половину блядского файла.
q0420  23:58.0-23:60.0  Простите, зря я всё переписал.
