q0001  00:00.0-00:02.1  Чёрт!
q0190  10:50.8-10:53.7  Простите, сэр. Откуда вы знаете молодоженов?
q0191  10:54.2-10:54.5  Кого?
q0192  10:55.2-10:56.7  Невесту и жениха. Как их зовут?
q0193  10:57.5-11:00.4  Ой, я не... Я не уверен.
q0194  11:00.4-11:03.2  О, я понял, понял. Давай, шаромыжные, двигаемся.
q0195  11:03.5-11:04.2  Идём, идём, идём.
q0196  11:05.0-11:06.5  Ладно, ладно, а куда идём?
q0197  11:07.4-11:09.8  Найдём другую свадьбу, куда ты пролезешь, друг мой.
q0198  11:10.8-11:12.8  Хэрис, ты всем довольна?
q0199  11:13.1-11:15.2  Что я могу сделать, чтобы свадьба была лучше?
q0200  11:15.4-11:16.6  О, всё прекрасно.
q0201  11:16.8-11:19.5  Почему бы вам не найти место и не насладиться банкетом?
q0202  11:19.5-11:20.4  Я уже насладился.
q0203  11:20.7-11:23.1  Цыплёнок недожарен, я отослал его обратно.
q0204  11:23.1-11:23.7  Это рыба.
q0205  11:24.2-11:25.2  Я этим займусь.
q0206  11:26.7-11:29.2  Я довольно много знаю про еду и напитки.
q0207  11:30.4-11:33.4  Это белая.
q0208  11:34.2-11:36.1  Нет, это не первая наша свадьба.
q0209  11:36.9-11:39.7  Это третья свадьба, которая играет в Скрэнтон-Сити.
q0210  11:41.2-11:43.2  Мы еще играли свадьбу нашего басиста.
q0211  11:43.8-11:45.2  И свадьбу нашего гитариста.
q0212  11:46.8-11:48.9  Всем внимание, внимание, пожалуйста.
q0213  11:49.7-11:53.3  Я должен спросить, видел ли кто-нибудь дядю Алла.
q0214  11:54.6-11:58.7  Он старый, у него карие глаза и слабоумие.
q0215  11:58.7-12:00.5  Его семья очень беспокоится.
q0216  12:01.2-12:03.4  Это очень серьезная ситуация.
q0217  12:21.0-12:23.7  Знаю, я обычно не замечаю такие вещи, но...
q0218  12:25.2-12:26.4  Свадьба очень милая.
q0219  12:26.4-12:28.3  То есть цветы и все остальное.
q0220  12:28.7-12:30.6  У Филлис отличный вкус.
q0221  12:31.3-12:32.0  Ты издеваешься, да?
q0222  12:32.6-12:34.7  Знаю, ты, наверное, не помнишь, но...
q0223  12:35.9-12:37.3  розы такого цвета.
q0224  12:38.4-12:40.6  Я покупал такие розы на наш праздник.
q0225  12:41.6-12:44.3  Рой, я выбирала эти цветы.
q0226  12:45.1-12:47.3  Филлис просто украла все мои свадебные идеи.
q0227  12:52.4-12:55.1  Видимо, я не очень-то участвовал в подготовке.
q0228  12:55.4-12:55.6  Да.
q0229  12:56.5-12:57.4  Прости за это.
q0230  12:57.4-12:58.1  Все хорошо.
q0231  12:58.7-13:01.1  Ты не в своей тарелке, да?
q0232  13:02.5-13:04.2  Это ведь мы и должны были пожениться.
q0233  13:20.3-13:23.5  Фелис, ты прекрасная женщина.
q0234  13:23.9-13:25.6  И классно играешь в боулинг.
q0235  13:28.7-13:30.7  За тебя!
q0236  13:30.7-13:31.7  За тебя!
q0237  13:31.7-13:36.7  Спасибо, Рэнди! Это было прекрасно! Спасибо! Большое спасибо!
q0238  13:36.7-13:44.7  Привет, я Майкл Скотт, и в следующие 40 минут я буду вашим гидом по жизни Филлис Боба Вэнса,
q0239  13:44.7-13:51.7  одной из прекраснейших, почти невозможных историй любви нашего времени.
q0240  13:51.7-13:54.7  Меня зовут Майкл Скотт.
q0241  13:54.7-14:02.9  Словарь Webster определяет свадьбу как сплавление двух металлов горячей сваркой.
q0242  14:04.0-14:05.1  Ну, знаете что?
q0243  14:06.0-14:09.9  Я думаю, вы, ребята, есть два металла.
q0244  14:11.2-14:12.4  Золотых металлов.
q0245  14:16.2-14:20.7  Для тех, кто меня не знает, я Майкл Скотт, босс Филлис.
q0246  14:20.7-14:25.3  Цитирую принцессу Е.
q0247  14:28.3-14:29.1  Смойба!
q0248  14:29.9-14:32.3  Самая главная часть речи – это вступление.
q0249  14:33.1-14:36.6  Когда времени достаточно, я люблю использовать три-четыре разных.
q0250  14:37.2-14:41.7  Филипс и Боб, праздничное имя для их пары было бы...
q0251  14:42.2-14:42.8  Флоп.
q0252  14:45.6-14:46.9  Посмотрите на неё.
q0253  14:47.7-14:49.7  Какая она степенная сегодня.
q0254  14:49.7-14:54.7  Но раньше в школе, я клянусь, её прозвище было «Распутница».
q0255  14:56.3-14:58.4  Теперь Боб. Боб Вэнс.
q0256  14:58.9-14:60.0  Ладно, достаточно.
q0257  15:01.0-15:02.3  Спасибо, Майкл. Отдай микрофон.
q0258  15:02.3-15:04.4  Он работает. Погоди, погоди. Слушайте.
q0259  15:06.5-15:09.9  Я ничего не сказал, когда отец отодвинул меня на церемонии.
q0260  15:10.4-15:12.4  Думаю, мне немного должны. Ясно?
q0261  15:12.5-15:13.2  Отдай микрофон.
q0262  15:13.9-15:14.3  Ну ладно.
q0263  15:14.4-15:15.1  Нет, не отдам.
q0264  15:15.2-15:16.0  Ладно, ладно.
q0265  15:16.2-15:16.8  Уходи отсюда.
q0266  15:16.8-15:18.8  Да, я сам уходи, ты...
q0267  15:18.8-15:20.2  Я вас ненавижу!
q0268  15:29.8-15:30.4  Эй!
q0269  15:30.5-15:30.8  Эй!
q0270  15:31.8-15:35.2  И когда же мы увидим знаменитое танцевальное движение Бизли?
q0271  15:37.0-15:38.2  А я разогреваюсь.
q0272  15:38.7-15:39.2  Брось.
q0273  15:40.0-15:42.0  Иди давай, дай людям то, чего они хотят.
q0274  15:42.3-15:43.4  Нет, я фигу вы танцор.
q0275  15:43.8-15:44.4  Я знаю.
q0276  15:44.4-15:45.9  И это очень мило.
q0277  16:04.0-16:04.8  Думает, пожалуйста.
q0278  16:04.8-16:06.5  Хватит, я не могу вас впустить, Майкл.
q0279  16:06.6-16:08.0  Нет, это указание Филлисы Бома.
q0280  16:08.0-16:12.0  Слушай, я просто хочу войти, тихо посидеть, съесть кусок пирога.
q0281  16:12.2-16:15.4  Я даже не буду танцевать. Может, одну песню.
q0282  16:15.5-16:18.4  Вы самый настоящий незваный гость. Я должен вас задержать.
q0283  16:18.4-16:20.6  Простите, это не доставляет мне удовольствия.
q0284  16:21.4-16:21.6  Ладно.
q0285  16:48.4-17:04.1  Эй!
q0286  17:05.3-17:07.2  Это наша песня играет, да?
q0287  17:08.0-17:09.4  Да, это странно.
q0288  17:09.9-17:11.6  Я думала, они только полицию сыграют.
q0289  17:12.2-17:13.3  Знаю, я...
q0290  17:13.3-17:16.9  Я дал им 20 баксов.
q0291  17:18.3-17:20.7  Хочешь потанцевать?
q0292  17:48.3-18:01.3  Эй, может, идем отсюда?
q0293  18:01.3-18:19.3  Никакой гипотетичности
q0294  18:19.3-18:21.2  Я счастлив, что я с Карен
q0295  18:31.3-18:37.8  Раз, два, три!
q0296  18:45.4-18:47.0  Тоби, да!
q0297  18:47.7-18:50.2  Я просто хотел, чтобы у Филлис был прекрасный день.
q0298  18:51.2-18:53.7  У тебя с Филлис всё будет хорошо.
q0299  18:54.9-18:56.0  Всем будет хорошо.
q0300  18:56.5-18:57.7  Мы прекрасная команда.
q0301  18:58.8-19:00.6  Салтык, прекрасная команда.
q0302  19:01.3-19:06.4  Да, да. Они были Роберт Перриш.
q0303  19:08.6-19:12.4  Я должен поговорить с ней. Не хочу портить ей медовый месяц.
q0304  19:14.3-19:19.7  Никто мне не помогал. Всё приходилось делать самому. Даже доктора не знали.
q0305  19:20.0-19:25.3  Приятель, держи себя в руках. Я слушал тебя полчаса. Пусть большая часть прошла мимушей.
q0306  19:31.3-20:01.3  Девушки отдыхают
q0307  20:01.3-20:04.9  Я скажу, пусть едят свой торт.
q0308  20:06.2-20:08.5  Маргарет Эчер сказала это про свадьбу.
q0309  20:10.7-20:11.8  Умная баба.
q0310  20:14.5-20:15.8  Осторожнее, сы...
q0311  20:15.8-20:16.6  О, нет!
q0312  20:20.9-20:21.8  Филлис?
q0313  20:22.2-20:23.4  Филлис, брось!
q0314  20:23.8-20:25.1  Ты как клоун.
q0315  20:25.3-20:26.7  Вот, давай меня, меня!
q0316  21:01.3-21:31.3  Продолжение следует...
