q0001  00:00.0-00:30.0  Девушки отдыхают
q0132  07:04.8-07:05.4  Программеры.
q0133  07:05.9-07:07.6  Нет, нет, нет, нет.
q0134  07:08.2-07:10.3  Мне возьми двойной макиято.
q0135  07:10.6-07:10.9  Ага.
q0136  07:13.0-07:14.0  Здорово, Рика.
q0137  07:14.3-07:15.2  Ты что, качаешься?
q0138  07:26.6-07:35.6  Ага. Пахать в самой инновационной фирме в мире за огромные бабки с коллапционом? Конечно. Зачем тебе всё это?
q0139  07:35.8-07:38.6  Ага. Ты же у нас творец. Вольный художник.
q0140  07:39.3-07:39.9  Революционер.
q0141  07:41.9-07:43.9  Ну, не знаю. Может и так.
q0142  07:43.9-07:45.9  Чувак, мы просто прикалываемся.
q0143  07:46.4-07:48.5  Но мы можем помочь тебе с сайтом.
q0144  07:48.7-07:49.5  Как он называется?
q0145  07:51.4-07:52.6  Педий дудочник.
q0146  07:53.8-07:54.9  Шикарное название.
q0147  07:55.1-07:55.3  Да.
q0148  07:55.7-07:57.6  А кинь нам ссылку, мы посмотрим.
q0149  07:57.9-07:58.8  Вдруг что подскажем.
q0150  07:59.5-08:00.2  Что, правда?
q0151  08:00.4-08:00.9  Ага.
q0152  08:01.4-08:01.9  Ну ладно.
q0153  08:02.3-08:05.2  Да, свежий взгляд никогда не помешает.
q0154  08:06.8-08:08.3  Всё, отправил.
q0155  08:08.3-08:17.1  Вы опять прикалываетесь?
q0156  08:17.3-08:18.1  Да ты что?
q0157  08:18.4-08:19.2  Прикалываетесь?
q0158  08:19.4-08:21.6  Нет, Рики, Рики, вернись!
q0159  08:21.9-08:23.1  Вообще-то я Ричард.
q0160  08:23.6-08:25.5  Петя-булочник, хоккей-юбочник.
q0161  08:28.0-08:28.8  Гейтс.
q0162  08:29.9-08:30.6  Элисон.
q0163  08:31.8-08:32.6  Джобс.
q0164  08:34.0-08:34.6  Дэл.
q0165  08:34.6-08:37.6  Все они...
q0166  08:37.6-08:39.4  Бросили колледж.
q0167  08:40.4-08:45.3  Кремниевая долина — колыбель инноваций из-за таких недоучек.
q0168  08:46.0-08:55.6  Колледж превратился в жестокую и дорогую насмешку над бедняками и средним классом.
q0169  08:57.0-08:59.7  Все сливки достаются прогульщикам.
q0170  09:01.0-09:02.8  Обрюзгшая администрация.
q0171  09:02.9-09:06.7  Ваши слова опасны. Вы изрыкаете невежество.
q0172  09:06.7-09:08.1  Это вряд ли.
q0173  09:09.1-09:19.0  Я лишь призываю людей доверять себе больше, чем системе, которая радостно штампует безработных должников, прямо скажем, сомнительной ценности.
q0174  09:19.3-09:22.7  Истинная ценность высшего образования неосезаема.
q0175  09:23.3-09:25.7  Истинная ценность плацебо также неосезаема.
q0176  09:28.7-09:29.6  Фашист!
q0177  09:32.8-09:34.2  Есть что-нибудь?
q0178  09:34.2-09:37.9  А, обычная ерунда в Твиттере и Инстаграме. Ничего интересного.
q0179  09:40.5-09:45.0  Здрасте. Простите, мистер Грегори, хочу рассказать о моей идее, если позволите.
q0180  09:48.2-09:50.8  Иначе я сдамся и вернусь в колледж.
q0181  09:51.3-09:59.6  Нет, ни в коем случае. Иди работать в Бургер Кинг. Иди в лес собирать орехи и ягоды, но ни за что не иди в колледж.
q0182  09:59.6-10:04.5  Я, пожалуй, перегнул
q0183  10:04.5-10:06.0  Валяйте
q0184  10:06.0-10:09.3  Что у вас там есть, пока я не сел в машину?
q0185  10:09.4-10:10.5  Огромное спасибо
q0186  10:10.5-10:16.3  Пегги Дудочник — проприетарный сайт, который помогает узнать, не нарушает ли вашу музыку чьих-нибудь авторских прав
q0187  10:16.3-10:19.0  Если вы, скажем, написали песню...
q0188  10:19.0-10:22.7  Я не умею писать песни
q0189  10:22.7-10:24.9  Да, но представьте, что написали
q0190  10:24.9-10:28.3  Мне даже не повторить Пегги Дудочник — проприетарный сайт
q0191  10:28.3-10:31.6  Смог, но с большим трудом.
q0192  10:32.2-10:37.4  Добавление песен и поиск по фрагментам потребует невероятных вычислительных мощностей.
q0193  10:37.8-10:40.1  Да, так и есть.
q0194  10:41.3-10:45.0  Нет, нет, всё, я придумал алгоритм.
q0195  10:45.3-10:49.8  Слушайте, давайте вы пришлёте ссылку на свой проект, и мы взглянем.
q0196  10:50.7-10:53.8  Давайте, да, отлично. Я выложу образ на гитхаб.
q0197  10:54.5-10:56.4  Беги, дудочник, я взгляну.
q0198  10:56.4-11:02.4  Знаете легенду про детишек, там, крысы и музыку?
q0199  11:03.9-11:04.4  И...
q0200  11:09.4-11:12.4  Какая узкая машина.
q0201  11:14.3-11:15.6  Миллиардеры ебучие.
q0202  11:17.8-11:20.4  Эй, хочешь взглянуть на сайт нашего точенького?
q0203  11:21.1-11:21.9  Да, хочу.
q0204  11:26.4-11:28.1  Надо медиаплеер скачать.
q0205  11:29.4-11:33.1  Смотри-ка, я попал назад в 2009-й.
q0206  11:35.9-11:36.9  Погоди-ка.
q0207  11:37.7-11:39.3  Файл сколько весит?
q0208  11:40.3-11:41.4  Один мегабайт?
q0209  11:41.6-11:42.2  Да ну на.
q0210  11:43.6-11:44.2  Ух ты.
q0211  11:44.7-11:46.6  На слух компрессия вообще не слышна.
q0212  11:48.2-11:50.5  А файл вдвое меньше.
q0213  11:50.9-11:52.5  И поиск быстро работает.
q0214  11:54.6-11:56.0  Ёбушки-воробушки.
q0215  11:56.4-11:57.6  Как он так быстро нашёл?
q0216  11:58.8-12:01.8  Он что, ищет по сжатым файлам?
q0217  12:03.4-12:04.3  Нифига себе.
q0218  12:07.8-12:09.5  Вы гляньте на коэффициент.
q0219  12:09.7-12:10.6  2,89?
q0220  12:11.9-12:14.5  Эй, вы куда запропастились?
q0221  12:14.7-12:16.8  У нас игра в многоканальный роутер через пять минут.
q0222  12:17.2-12:18.9  Так, как, чёрт возьми, он это сделан?
q0223  12:19.4-12:21.6  Причём сжатие совершенно без потерь.
q0224  12:26.4-12:30.2  И он каким-то образом придумал, как искать пожатым данным.
q0225  12:32.5-12:33.5  Твою ж мать!
q0226  12:33.7-12:36.0  Да, и боюсь, он даже не осознает, что сделал.
q0227  12:36.1-12:38.3  Он прикрутил его к дурацкому сайту с песенками.
q0228  12:38.5-12:41.1  У них всегда все так, не умеют подать клиенту.
q0229  12:41.1-12:45.4  Да, но если взять эту штуку, повернуть в нужное русло и пустить в производство,
q0230  12:45.6-12:47.1  практически потенциал безграничен.
q0231  12:49.9-12:52.4  Эй, Гилфо, ты же вроде сатанист.
q0232  12:52.4-12:56.9  Я сатанист Лавея со склонностью к теизму.
q0233  12:57.1-12:59.9  Со склонностью к теизму? Ладно, а крест тогда к чему?
q0234  13:00.5-13:01.8  Это перевернутый крест.
q0235  13:02.2-13:03.3  Отсюда нормальный.
q0236  13:06.9-13:09.6  А, ясно. Знаешь, чего не хватает?
q0237  13:09.6-13:12.6  На бе рядом надпись «Вверх здесь не кантовать».
q0238  13:12.6-13:14.0  Как это будет на фарси?
q0239  13:14.3-13:15.7  Я такого языка не знаю.
q0240  13:16.1-13:19.5  Моя разработка приглянулась в Фронтир Эрлайнс, Авиато.
q0241  13:20.1-13:21.8  Вот так все удачно обернулось.
q0242  13:21.8-13:24.2  Так, а что у тебя?
q0243  13:25.0-13:26.5  Ну что ж, смотри.
q0244  13:27.9-13:29.2  Двоичный суп.
q0245  13:29.8-13:32.8  Это как суп с буковками, но...
q0246  13:32.8-13:36.4  Нолики и единички вместо буковок.
q0247  13:39.1-13:42.4  Потому что бинарный. Двоичный из нуля и единиц.
q0248  13:42.5-13:43.7  Я знаю, что это значит.
q0249  13:44.0-13:48.0  Ёлки-палки, я в 14 лет выучил 16-ти ричную таблицу умножения.
q0250  13:48.6-13:50.4  Ясно? Сколько будет 9уф?
q0251  13:50.4-13:51.4  F-35.
q0252  13:52.4-13:54.7  Не надо мне рассказывать, что такое двоичный.
q0253  13:54.8-13:57.6  И не надо думать про суп и фотографировать его.
q0254  13:58.4-14:01.2  Думать надо про приложения, программы, сайты.
q0255  14:01.6-14:03.4  Здесь Кремниевая долина, а не...
q0256  14:07.1-14:08.4  Техасский Париж.
q0257  14:10.5-14:11.9  Кэмпбелл-суп оттуда.
q0258  14:16.2-14:17.8  Опять из хули звонят.
q0259  14:18.1-14:20.0  Эти крутые прогеры, небось.
q0260  14:20.0-14:21.8  Звонят поржать над моим сайтом.
q0261  14:22.3-14:22.9  Мудачье.
q0262  14:23.3-14:24.9  Алло, Ричард Хендрикс.
q0263  14:25.3-14:26.7  Тот самый блядский тормоз.
q0264  14:28.3-14:30.6  Здрасте, это Джаред Данн.
q0265  14:30.7-14:31.4  Я из Хули.
q0266  14:32.0-14:34.4  Звоню по поручению Гевина Белсона.
q0267  14:46.0-14:47.0  Хорошо, конечно.
q0268  14:47.3-14:47.9  Мы будем ждать.
q0269  14:48.1-14:49.9  Да, до свидания, до свидания.
q0270  14:51.4-14:53.6  У меня встреча с Гевином Белсоном.
q0271  14:54.0-14:55.2  Ему понравился дудочник.
q0272  14:55.5-14:57.0  10% дудочника мои.
q0273  14:57.2-14:58.6  Ты же назвал его говнищем.
q0274  14:58.8-14:59.9  Он и был говнищем.
q0275  15:00.5-15:01.9  А сейчас уже не знаю кто.
q0276  15:02.2-15:03.0  Во сколько встреча?
q0277  15:03.3-15:04.2  Прямо сейчас?
q0278  15:04.2-15:06.0  Нужна футболка поприличней.
q0279  15:08.8-15:09.5  Охренеть.
q0280  15:10.9-15:12.1  Блядь, чё я расселся-то?
q0281  15:12.5-15:13.1  Пока.
q0282  15:23.7-15:27.5  Как говорит Гавин, чтобы изменить, нужно измениться.
q0283  15:28.4-15:31.4  Да, кажется, я видел где-то тут его цитаты.
q0284  15:31.9-15:32.3  Здрасте.
q0285  15:33.0-15:33.7  Здрасте.
q0286  15:34.2-15:40.1  Гевин задерживается на полчаса, но просил передать, что очень рад с вами встретиться, Ричард.
q0287  15:41.1-15:44.1  У него там духовный наставник, это не очень надолго.
q0288  15:44.4-15:47.4  Я вице-президент, и то вижу с ним 10 минут в месяц.
q0289  15:47.4-15:50.9  Да, но эти 10 минут потрясающие.
q0290  15:51.8-15:54.0  Я слышала, Ричард Хендрикс пришел.
q0291  15:54.7-15:56.5  Вы встречались раньше с Гевином?
q0292  15:56.9-15:57.4  Нет.
q0293  15:57.7-15:58.1  Нет?
q0294  15:58.3-15:59.3  А я ему сказал.
q0295  15:59.9-16:01.0  Это невероятно.
q0296  16:01.4-16:03.6  Это просто необесуемо.
q0297  16:04.2-16:08.2  Вот странно.
q0298  16:09.2-16:11.8  Они всегда кучкуются по пять человек.
q0299  16:11.8-16:15.0  У программистов один вечно тощий и длинный,
q0300  16:15.6-16:17.1  один коротыш-казиат,
q0301  16:17.7-16:21.1  жердяй с хвостом, чудик с дурацкой бородкой
q0302  16:21.1-16:23.7  и обязательно один индус.
q0303  16:24.3-16:27.8  Как будто они специально делятся на идеальные группы.
q0304  16:29.2-16:32.7  У вас величайшее чутье на человечество.
q0305  16:34.2-16:39.5  А Гевин сказал, я не унижаю тебя, я тебя возвышаю.
q0306  16:39.6-16:40.9  Ох уж этот Гевин.
q0307  16:48.0-16:49.2  Ричард слушает.
q0308  16:50.5-16:52.0  Это Питер Грегори.
q0309  16:55.0-16:55.8  Нет.
q0310  16:57.9-16:59.0  Шевелись, Пашка!
q0311  16:59.1-17:00.8  Дойду я. Притормози.
q0312  17:00.8-17:02.3  Куда ты так несешься?
q0313  17:02.3-17:04.6  На встречу с Гевином Белсоном. Шагай шире.
q0314  17:04.8-17:05.8  Это не наша встреча.
q0315  17:05.9-17:06.3  Быстрее.
q0316  17:13.9-17:17.9  Вообще-то я сейчас у кабинета Гевина Белсона, мистер Грегори.
q0317  17:18.3-17:20.8  А вот, кстати, он. Я попозже перезвоню.
q0318  17:21.3-17:24.0  А вот и Ричард Хендрикс.
q0319  17:24.7-17:25.2  Гевин.
q0320  17:26.4-17:27.7  Вот и где Ричард.
q0321  17:29.2-17:31.1  Простите, что заставили вас ждать.
q0322  17:31.4-17:31.8  Ничего.
q0323  17:31.8-17:35.2  Итак, слушайте, я обожаю вашу работу.
q0324  17:36.2-17:36.7  Правда?
q0325  17:36.8-17:37.7  Веди в курс, Джаррд.
q0326  17:37.9-17:42.3  Как вы знаете, Хули сейчас, возможно, самая прогрессивная компания в мире.
q0327  17:42.9-17:45.7  Частично из-за склонности Гевина к социальной справедливости,
q0328  17:46.0-17:49.8  но большей частью из-за личной привязанности к людям, что работают в Хули.
q0329  17:50.2-17:54.7  И на этой благодатной почве вы сможете раскрыться и получить солидное продвижение.
q0330  17:54.9-17:56.2  10% мои!
q0331  17:56.7-17:58.4  Он всё написал в моём инкубаторе.
q0332  17:58.9-17:59.7  Эррих Бахман.
q0333  18:00.3-18:01.5  Это башка.
q0334  18:01.8-18:05.8  Я ничего не понял, но готов предложить за программу 600 тысяч долларов.
q0335  18:06.4-18:11.8  С нашими средствами и ресурсами мы можем вывести вашу работу на глобальный уровень.
q0336  18:12.4-18:14.7  Весьма щедрое предложение.
q0337  18:15.2-18:16.2  Блин. Простите.
q0338  18:16.7-18:17.0  Алло?
q0339  18:18.9-18:21.2  Правда? Нихуя...
q0340  18:21.2-18:22.8  Да, да, он здесь.
q0341  18:23.3-18:24.9  Это Питер Грегори.
q0342  18:25.5-18:26.8  Откуда у него мой номер?
q0343  18:27.6-18:28.8  Ричард слушает.
q0344  18:28.8-18:31.1  Даю 3 миллиона долларов прямо сейчас.
q0345  18:31.8-18:37.1  А, Гэвин Белсон предложил мне 3 миллиона долларов за дудочника.
q0346  18:37.3-18:40.1  Я хочу предложить вам 300 тысяч долларов.
q0347  18:40.9-18:43.9  Питер Грегори предложил мне 300...
q0348  18:43.9-18:46.3  А вы сказали тысяч?
q0349  18:46.8-18:48.6  За 10% вашей компании.
q0350  18:48.7-18:50.0  Ладно, 4 миллиона.
q0351  18:51.2-18:52.3  200 тысяч.
q0352  18:53.4-18:54.7  За 5%.
q0353  18:54.7-18:55.0  А?
q0354  18:55.6-18:57.6  Вы снизили цену?
q0355  18:57.9-18:58.3  Нет.
q0356  18:58.7-19:01.4  Вас по-прежнему оценили в 4 миллиона.
q0357  19:01.4-19:05.4  Но у вас остается 95% компаний с миллиардным потенциалом.
q0358  19:06.2-19:06.9  И не только.
q0359  19:07.5-19:09.5  Я помогу вам поднять компанию.
q0360  19:09.8-19:14.3  Я представлю вас нужным людям и дам необходимые советы.
q0361  19:14.7-19:18.0  Я возьму малую часть, но компания останется вашей.
q0362  19:18.4-19:20.4  А, не Гавина Белсона.
q0363  19:22.4-19:23.8  Даю вам время до завтра.
q0364  19:24.9-19:26.3  А, хорошо.
q0365  19:28.0-19:28.4  А, знаете...
q0366  19:29.1-19:30.8  Вынь голову и задницу, Ричард.
q0367  19:30.8-19:33.7  Я предлагаю 4 миллиона долларов прямо сейчас.
q0368  19:36.7-19:36.8  Я...
q0369  19:37.4-19:39.4  Это куча денег.
q0370  19:43.2-19:46.5  Знаете, мне что-то резко приспичило в туалет.
q0371  19:47.5-19:48.4  Схожу по Пису.
q0372  19:49.3-19:50.0  Нестерпимо.
q0373  19:50.4-19:51.2  Прямо разрываюсь.
q0374  19:51.4-19:53.2  Я вернусь, но сейчас...
q0375  19:53.2-19:54.3  Ладно, 10 миллионов!
q0376  19:54.6-19:54.9  Нет.
q0377  19:56.1-19:56.7  Возможно.
q0378  19:57.2-19:58.7  Не хотел показаться невежливым.
q0379  19:59.1-20:00.4  Обсудим потом.
q0380  20:00.8-20:01.9  Я быстренько.
q0381  20:08.7-20:09.8  Немного о себе.
q0382  20:10.2-20:14.2  Я создатель Лавиата и миноритарный акционер Грайнера.
q0383  20:14.5-20:17.2  Это сайт знакомств для геев,
q0384  20:17.4-20:21.7  где можно в радиусе 10 миль найти желающего совокупиться в общественном туалете.
q0385  20:22.5-20:25.7  В гомосексуальном сообществе иногда анонимные...
q0386  20:25.7-20:28.0  Я знаю, что такое Грайнер. У меня есть друзья геи.
q0387  20:30.8-20:31.8  Долин.
q0388  20:31.8-20:32.8  Долин.
q0389  20:32.8-20:33.8  Долин.
q0390  20:33.8-20:34.8  Долин.
q0391  20:34.8-20:35.8  Долин.
q0392  20:35.8-20:36.8  Долин.
q0393  20:36.8-20:37.8  Долин.
q0394  20:37.8-20:38.8  Долин.
q0395  20:38.8-20:40.8  Что ж, жить будете.
q0396  20:40.8-20:42.8  Самая банальная паническая атака.
q0397  20:42.8-20:44.8  Добро пожаловать в долину.
q0398  20:44.8-20:46.8  У нас таких случаев завались.
q0399  20:46.8-20:47.8  Правда?
q0400  20:47.8-20:48.8  Да.
q0401  20:48.8-20:50.8  Вот только мне нужно дать ответ до завтра.
q0402  20:50.8-20:54.8  Да, в своё время был тут у нас один с такой же проблемой.
q0403  20:54.8-20:56.8  Взять деньги или сохранить фирму.
q0404  20:56.8-20:58.8  И что с ним стало?
q0405  20:58.8-21:04.0  Ну, через пару месяцев его привезла скорая с огнестрельным ранением.
q0406  21:05.0-21:06.8  Видимо, он пожалел, что не взял деньги.
q0407  21:07.6-21:10.1  Он отказался от денег и застрелился?
q0408  21:10.3-21:10.6  Да.
q0409  21:11.8-21:13.7  Хотя нет, он взял деньги.
q0410  21:14.2-21:14.6  Или нет?
q0411  21:15.9-21:16.8  Нет, не взял.
q0412  21:17.1-21:18.6  Я... Да неважно, я забыл.
q0413  21:18.6-21:22.0  В любом случае, он огорчился, решил стреляться и теперь ни черта не видит.
q0414  21:22.3-21:22.9  Он ослеп?
q0415  21:22.9-21:25.1  Да, на всякий случай, решите стреляться.
q0416  21:25.4-21:27.1  Не представляете, дуло к виску, ясно?
q0417  21:27.1-21:30.9  Он отстрелил себе оба глазных нерва, ну и пол лица в придачу.
q0418  21:31.0-21:32.7  Потом его бросила жена, потому что...
q0419  21:32.7-21:33.3  Ну, вы поняли.
q0420  21:33.7-21:34.3  Ужас.
q0421  21:34.7-21:35.2  Да уж.
q0422  21:35.6-21:39.0  Может, он и гениальный программист, но с анатомией у него фигово.
q0423  21:39.8-21:41.5  Да и с принятием решений тоже.
q0424  21:42.3-21:43.6  Ему теперь с этим жить.
q0425  21:44.0-21:46.3  Ну и со своим ошибочным решением до кучи.
q0426  21:46.8-21:51.1  А что мне делать в случае повторения панической атаки?
q0427  22:07.1-22:11.1  Ну что ж, отлично, потому что, хотя у нас только прототип,
q0428  22:11.5-22:13.8  но мы ищем инвесторов для нашего стартапа, ну и вот.
q0429  22:14.1-22:16.8  Так что дайте знать, я оставлю вам свой номер,
q0430  22:16.8-22:19.4  если вы решите взять 10 миллионов долларов, с ними
q0431  22:19.4-22:21.9  мы сможем изменить мир к лучшему.
q0432  22:22.3-22:24.4  Ой-ой-ой, ну что же вы?
q0433  22:26.1-22:32.2  Ричард!
q0434  22:32.7-22:33.3  Привет!
q0435  22:33.7-22:35.6  Моника, я работаю на Питера Грегори.
q0436  22:35.7-22:36.8  Мы виделись на конференции.
q0437  22:36.9-22:37.9  Да, я вас помню.
q0438  22:38.3-22:39.6  А откуда...
q0439  22:39.6-22:41.3  Как вы узнали, что я здесь?
q0440  22:42.1-22:43.8  Питер Грегори вложился в фирму,
q0441  22:44.0-22:45.9  отслеживающую людей по GPS.
q0442  22:47.0-22:47.9  Жуть какая.
