q0001  00:00.0-00:10.3  Величие человеческих достижений
q0099  05:54.7-05:57.0  Какой визы? Я, блядь, гражданин США!
q0100  05:57.4-05:59.8  Динаш Чуктай сейчас весьма разгневался.
q0101  06:01.6-06:02.9  А, ясно.
q0102  06:04.1-06:06.1  Иностранец Бертром Гилфуэл.
q0103  06:06.9-06:08.1  Гражданин Канады.
q0104  06:08.6-06:09.5  Да, спасибо.
q0105  06:10.7-06:11.7  Так, ты канадец?
q0106  06:12.7-06:14.8  Ваши границы пустая формальность.
q0107  06:15.0-06:16.7  Считайте меня гражданином мира.
q0108  06:17.1-06:20.3  Будь добр, отправь им бумагу, что ты здесь на законных основаниях.
q0109  06:20.4-06:21.1  Нет, не буду.
q0110  06:22.3-06:23.8  Вдруг я здесь незаконно?
q0111  06:23.8-06:26.8  Если что, я готов получать зарплату наличкой.
q0112  06:27.5-06:28.4  Или биткоинами.
q0113  06:28.8-06:30.8  Не знал, что работаю с гастарбайтером.
q0114  06:31.1-06:31.8  Ирония.
q0115  06:33.8-06:38.4  Иногда ставим разбрызгиватель в центре, но чаще рядами, как здесь.
q0116  06:39.2-06:41.1  Чем, вы, говоришь, занимаетесь?
q0117  06:42.1-06:44.2  Что-то с алгеброй?
q0118  06:45.2-06:48.6  С алгоритмом, вообще-то. Для компрессии.
q0119  06:49.0-06:51.8  В итоге мы хотим добиться...
q0120  06:51.8-06:55.0  Ты прям как мой сын.
q0121  06:55.4-06:56.8  У того тоже синдром Аспергера.
q0122  06:57.9-07:01.8  А у меня нет еды от пестицидов в овощах.
q0123  07:15.1-07:18.2  наставили всякого дерьма на старые добрые фермы,
q0124  07:19.4-07:22.7  чтобы народ мог сидеть и весь день пялиться в телефон.
q0125  07:24.8-07:27.6  И некому больше дрочить на журналы.
q0126  07:27.6-07:35.9  А вообще-то это серверная ферма.
q0127  07:36.6-07:40.0  Наш алгоритм сжатия снизит в них потребность.
q0128  07:40.4-07:41.6  Мы сэкономим кучу памяти.
q0129  07:41.9-07:42.5  Да ты что.
q0130  07:42.8-07:43.1  Ага.
q0131  07:43.4-07:45.1  Я обеими руками за.
q0132  07:46.0-07:47.4  Вот что я тебе скажу.
q0133  07:48.6-07:52.4  Название твое за тысячу долларов.
q0134  07:53.0-07:53.6  Как тебе?
q0135  07:54.4-07:56.4  Мне очень здорово.
q0136  07:56.4-07:57.3  Да, класс.
q0137  07:57.6-08:04.3  Трэмор, да?
q0138  08:05.3-08:07.1  Прям как у моего пацана.
q0139  08:15.1-08:16.3  Элик слушает.
q0140  08:16.7-08:19.6  Это Ричард Кендрикс, директор Пегова дудочника.
q0141  08:19.9-08:22.9  Всё так. Вы говорили, я хреново убеждаю, а я всё уладил.
q0142  08:23.3-08:24.7  Название наше, можете хвастаться.
q0143  08:24.7-08:26.9  А, ну чудно.
q0144  08:27.6-08:28.9  Не слышу радости.
q0145  08:29.4-08:30.3  Не-не, я рад.
q0146  08:32.4-08:33.0  Просто...
q0147  08:33.0-08:34.8  Мы пеги-дудочник.
q0148  08:35.0-08:35.8  Ну ладно, пока.
q0149  08:40.0-08:40.6  Держите.
q0150  08:41.2-08:42.4  Пьёте много Маргариты?
q0151  08:42.8-08:43.6  Теперь будем.
q0152  08:44.0-08:46.8  В мой стартап вложились, так что это подарок моим ребятам.
q0153  08:49.6-08:50.4  Удачи вам.
q0154  08:50.5-08:52.9  А нам понадобится, когда город заедет промеж ног.
q0155  08:52.9-08:53.6  Да, конечно.
q0156  08:53.8-08:54.7  Давайте открою.
q0157  08:55.0-08:56.6  Я три стартапа начинал.
q0158  08:56.6-08:59.9  Эти сволочи в Сент-Хилл-Роуд ни в один не вложились.
q0159  09:00.6-09:01.1  Трусы!
q0160  09:01.5-09:03.2  Последний был гениальным.
q0161  09:03.5-09:05.4  С вами случалось заблудиться на парковке?
q0162  09:05.5-09:06.1  Да.
q0163  09:06.3-09:09.4  Вот, моя прога использует GPS-передатчики машины.
q0164  09:09.7-09:11.4  Вводишь туда её номер.
q0165  09:11.5-09:16.6  А если в ней нет передатчика, просто вводишь, где оставил машину.
q0166  09:17.0-09:19.1  Секция П3 или седьмой этаж.
q0167  09:19.5-09:22.0  Просто вводишь, где оставил машину?
q0168  09:22.2-09:24.1  Зачем для этого отдельная прога?
q0169  09:24.2-09:25.5  Чтобы не забыть, где машина.
q0170  09:25.5-09:28.8  Да, но можно же просто на бумажке написать?
q0171  09:29.0-09:31.1  Ну да, а можно и в телефон внести.
q0172  09:31.4-09:33.4  Ясно, значит, типа блокнота.
q0173  09:34.0-09:36.1  Именно! Видите, вы усекли!
q0174  09:36.3-09:37.0  Да, усёк.
q0175  09:37.2-09:40.1  А ёбаные капиталисты? Нет, слабаки, блин.
q0176  09:40.3-09:41.4  А, наконец-то, спасибо.
q0177  09:41.4-09:55.4  Это какой?
q0178  09:56.0-09:57.1  Это двойной стекер.
q0179  09:57.6-09:58.5  Очаровательно.
q0180  09:59.2-10:04.9  Питер, я знаю, вы чрезвычайно заняты этим,
q0181  10:05.9-10:08.8  но я дала личное слово парням из Астрофил,
q0182  10:08.8-10:12.9  что никто не потеряет работу, а это может случиться в полночь из-за...
q0183  10:12.9-10:14.6  Ты это видишь?
q0184  10:15.3-10:16.0  В опермении?
q0185  10:16.5-10:17.0  Нет.
q0186  10:18.3-10:19.2  Не сэндвич.
q0187  10:20.4-10:22.3  Вот это зёрнышко.
q0188  10:23.3-10:24.5  На булочке.
q0189  10:24.9-10:26.2  Это зёрнышки кунжута.
q0190  10:26.5-10:30.1  Многие булочки обсыпаны зёрнами кунжута.
q0191  10:32.3-10:34.0  Миллиарды булочек.
q0192  10:38.8-10:40.3  И кунжут.
q0193  10:41.6-10:44.1  Он растёт в строгом микроклимате.
q0194  10:45.3-10:45.8  Питер?
q0195  10:46.8-10:51.1  Вы вряд ли желаете 173 человекам из Северной Каролины.
q0196  10:53.7-10:54.7  Цикады.
q0197  11:02.7-11:03.6  Господа.
q0198  11:03.9-11:04.3  Привет.
q0199  11:04.3-11:06.6  Это же наш Херб Коэн.
q0200  11:07.0-11:07.2  Кто?
q0201  11:07.7-11:08.5  Херб Коэн.
q0202  11:08.8-11:10.2  Спец по переговорам.
q0203  11:10.6-11:11.6  Кучу книг издал.
q0204  11:11.9-11:12.2  Нет?
q0205  11:12.9-11:13.1  Что?
q0206  11:13.6-11:14.4  Блоги видел?
q0207  11:15.1-11:15.6  Нет.
q0208  11:15.9-11:17.3  Эрлик сегодня герой дня.
q0209  11:17.6-11:20.8  Попал в тех Кранч, Рикоута и Панда Дели.
q0210  11:20.9-11:22.1  Кара Свишер пишет.
q0211  11:22.5-11:25.7  Мы грозные, говорит Эрлик Бахман, и по отдельности.
q0212  11:25.7-11:31.5  Но объединив капиталы, Питер, Грегори и я с нашими миллиардами долларов
q0213  11:31.5-11:37.7  раздавим пегим дудочником Гевина Беллсона и разорим его ядреных ослов.
q0214  11:37.7-11:39.5  Ха-ха-ха, вот придурок.
q0215  11:41.6-11:42.9  Это тот, чьё название.
q0216  11:43.8-11:44.7  Здравствуйте, Арнольд.
q0217  11:45.1-11:48.1  Иди в жопу. Я прочитал Recode.net.
q0218  11:48.7-11:49.8  Вы читаете Recode?
q0219  11:50.2-11:53.9  Читаю, когда клиенты рассказывают, что моя контора звезда интернета.
q0220  11:54.2-11:57.5  А ты думал, я тут сру в поле и подтираюсь лопухами?
q0221  11:57.8-11:59.5  Нет, нет, нет, я так не думал.
q0222  11:59.7-12:01.3  А кто так думает? Вы так делаете?
q0223  12:01.5-12:05.8  Нет, нет, нет. Хватит мне тут мямлить и смотреть преданным взглядом.
q0224  12:05.8-12:07.2  Я на это не куплюсь.
q0225  12:07.6-12:11.9  Раз ты миллиардер, что ж я тебе отдал название за бесценок.
q0226  12:12.4-12:13.4  Ты меня надул.
q0227  12:14.4-12:17.4  Хочешь название? Гони 250 штук.
q0228  12:17.7-12:21.9  Ясно. Поговорите с тем, кто это написал, и он всё объяснит.
q0229  12:22.1-12:22.9  Где Эрлих?
q0230  12:23.1-12:24.8  На улице со стажёром.
q0231  12:24.9-12:25.9  Каким ещё стажёром?
q0232  12:25.9-12:27.2  У вас и стажёры есть?
q0233  12:27.4-12:28.9  Ну, конечно. Стажёры и гастарбайтеры.
q0234  12:29.7-12:29.9  Что?
q0235  12:30.3-12:32.9  Нет, нет. Ни тех, ни других у нас нет.
q0236  12:33.1-12:34.3  Слушай сюда, козёл.
q0237  12:34.3-12:39.7  Ещё раз назовёшься Пеггей Дудочник, я звоню адвокату, и он из тебя все кишки вынет.
q0238  12:39.9-12:41.1  Ёбаные миллиардеры!
q0239  12:41.5-12:42.0  Арнольд?
q0240  12:42.8-12:43.6  Арнольд, алло!
q0241  12:44.8-12:45.8  Неприятный разговор?
q0242  12:46.0-12:46.9  Да, так и есть.
q0243  12:47.9-12:49.9  Эй, Джаред, а знаешь, кто ещё из Канады?
q0244  12:50.0-12:52.1  Джастин Бибер, музыкальный Гитлер.
q0245  12:52.5-12:54.1  Что ты имеешь против канадцев?
q0246  12:54.8-12:55.6  Ещё как!
q0247  12:56.0-12:58.4  Ты хоть представляешь, сколько я ждал гражданства?
q0248  12:59.0-12:59.8  Неужто долго?
q0249  13:00.5-13:01.8  Хорошо, что мне проще.
q0250  13:02.5-13:03.9  Ленивый эмигрантишка.
q0251  13:04.3-13:06.3  Они думают, можно прийти в эту страну.
q0252  13:06.5-13:08.3  Я и пришёл в эту страну.
q0253  13:08.9-13:11.3  Моя тачка заглохла на мосту Амбассадор.
q0254  13:11.5-13:13.9  Пришлось лишние 15 минут до границы топать.
q0255  13:14.0-13:14.9  Велика преграда.
q0256  13:16.5-13:19.7  Знаешь, Гитлер, кстати, играл на фаготе.
q0257  13:20.5-13:23.8  Так что, по факту, Гитлер и был музыкальным Гитлером.
q0258  13:26.5-13:28.6  Не догоняй, ты ж всё уладил.
q0259  13:28.6-13:31.0  Ну, видимо, остались недомолвки.
q0260  13:31.3-13:32.3  Я что, Херп Коэн?
q0261  13:32.7-13:33.8  Не знаю, кто это.
q0262  13:34.3-13:37.1  Я тоже. Это Джаред придумал.
q0263  13:37.4-13:40.5  Эй, не забудь смыть шампунь с бампера, лады.
q0264  13:40.9-13:43.1  А давно мы берём стажёров?
q0265  13:43.5-13:44.5  А мы и не берём.
q0266  13:44.6-13:48.1  А когда Кит это поймёт, это станет ему ценным уроком в мире бизнеса.
q0267  13:48.5-13:50.7  Что? Это же мои майки с логотипом.
q0268  13:50.8-13:51.6  Ричард, это вы?
q0269  13:52.1-13:53.2  Да, да.
q0270  13:54.6-13:57.6  Слушай, я облажался. Что нам теперь делать?
q0271  13:58.2-13:59.0  Кому это нам?
q0272  13:59.6-14:02.0  Утром ты ткнул меня мордой, что я не основатель,
q0273  14:02.0-14:04.4  А теперь ждешь, что я протяну руку и вытащу тебя?
q0274  14:04.5-14:05.9  Не дождешься, сестричка.
q0275  14:06.4-14:07.9  Эта кредитка не хорошо.
q0276  14:08.8-14:09.2  Отказ.
q0277  14:10.3-14:12.3  А, прекрасно, прекрасно.
q0278  14:12.5-14:14.4  Сраная Маргарита исчерпала лимит.
q0279  14:26.1-14:27.5  Чувак, чувак, эй!
q0280  14:28.1-14:29.4  Премного извиняюсь, чел.
q0281  14:29.7-14:35.3  Я тогда не знал, кто ты, а сейчас прочитал про твою контору в инете и думаю,
q0282  14:35.5-14:37.0  «Йоу, пеги-дудочник!»
q0283  14:37.0-14:40.7  А я его видел, он пришёл в магазин и назвал мою парковочную прогу охуенной.
q0284  14:41.4-14:41.9  Разве?
q0285  14:42.1-14:44.5  Да, и моя мама такая, «Да что ты!»
q0286  14:44.5-14:46.0  Обязательно её доделай.
q0287  14:46.1-14:47.9  А я ей, да, точняк.
q0288  14:48.5-14:49.1  Парковку?
q0289  14:49.5-14:53.7  И она решила заложить свой дом и выписать мне чек.
q0290  14:54.5-14:56.5  И теперь у меня есть инвестор.
q0291  14:56.6-14:57.7  Благодаря тебе, чел.
q0292  14:58.1-15:01.4  Я чуть было не сдался, а ты вернул мне мечту, чел.
q0293  15:02.0-15:03.0  Эй, Рон!
q0294  15:03.9-15:04.6  Видишь его?
q0295  15:05.5-15:06.5  Этого миллиардера?
q0296  15:07.3-15:09.6  Из-за него я увольняюсь!
q0297  15:10.5-15:11.7  Джейми, не надо.
q0298  15:12.3-15:14.3  Что ж, ты мне помог.
q0299  15:14.5-15:16.7  А чем я могу помочь тебе?
q0300  15:18.6-15:22.6  Ну, я хочу вернуть автомат, потому что мне не на что кушать.
q0301  15:26.3-15:27.4  Да уж.
q0302  15:30.1-15:31.8  Только один вопрос.
q0303  15:32.5-15:37.8  А деньги вернутся на карточку или можно наличкой?
q0304  15:39.9-15:42.0  А как вам малыш?
q0305  15:42.0-15:43.5  Только безы.
q0306  15:43.5-15:45.9  М-А-Л-Ш.
q0307  15:46.0-15:48.2  Ведь мы всё уменьшаем.
q0308  15:48.7-15:51.5  А тут мы уменьшили слово «малыш».
q0309  15:51.5-15:52.5  Кашка-малашка.
q0310  15:52.9-15:53.3  Так.
q0311  15:54.6-15:55.5  А давайте...
q0312  15:57.5-15:58.3  М-Л-Ш.
q0313  15:59.8-16:00.8  Без «А».
q0314  16:00.8-16:03.5  Так мы ещё больше уменьшили «малыша».
q0315  16:04.4-16:05.6  Получилось, милашка.
q0316  16:06.0-16:08.5  Как мы надрём жопу ядру какой-то милашкой.
q0317  16:09.6-16:11.1  А где Ричард? Чего он филонит?
q0318  16:11.6-16:14.0  Кажется, он ушёл жалеть, что не взял 10 миллионов.
q0319  16:14.4-16:18.1  Нет, он у себя там жалеет, что не взял 10 миллионов.
q0320  16:20.9-16:24.4  А ещё, как бы нас не прозвали Малафьяшка.
q0321  16:26.5-16:29.6  Ричард, почему ты не придумываешь имя вместе со всеми?
q0322  16:30.1-16:31.3  Не хочу другое имя.
q0323  16:31.9-16:33.2  Хочу Пегова Дудочника.
q0324  16:33.2-16:35.2  Но, видимо, не судьба.
q0325  16:36.0-16:38.0  И мне теперь придётся выдумывать новое,
q0326  16:38.1-16:40.5  идти с ним к Питеру Грегори за новым чеком.
q0327  16:40.5-16:47.3  Он нам откажет, Гевин Белсон нас раздавит, и всё пойдёт к чертям, потому что я не ведаю, что творю.
q0328  16:47.5-16:50.4  Думаешь, Сукерберг ведал, когда открывал Фейсбук в 19?
q0329  16:51.2-16:53.3  Думаешь, у него был тогда мировой опыт?
q0330  16:53.9-16:55.0  Нет, нихрена.
q0331  16:55.5-16:59.0  Но он так умел уламывать, что сейчас с ним судятся все его друзья.
q0332  16:59.6-17:00.4  Ну круто же!
q0333  17:01.2-17:02.1  А Стив Джобс?
q0334  17:02.4-17:04.2  Он тоннами жрал галлюциногены.
q0335  17:04.6-17:05.6  Какое совпадение?
q0336  17:05.9-17:07.7  Может, тебе тоже попробовать?
q0337  17:07.7-17:10.2  Я не поеду в ёбаный вояж грёз.
q0338  17:10.2-17:13.0  Я правильно понял? Лучше не делать ничего, чем что-то?
q0339  17:13.6-17:17.6  Потому что там все сидят и придумывают идиотские названия вроде уменьшатера.
q0340  17:17.9-17:19.1  Они хоть что-то делают.
q0341  17:20.9-17:23.3  Ясно. Придётся самому.
q0342  17:24.0-17:25.8  Вернусь через день или три.
q0343  17:26.4-17:29.2  Держи на готове бадью с холодной водой и апельсинку.
q0344  17:30.1-17:34.1  А знаешь что? Я правда еду разруливать твою хуйню, так что грейпфутов тоже заготовь.
q0345  17:34.9-17:39.1  Вернусь с таким охрененным названием, что Питер Грегори 10 чеков выпишет.
q0346  17:39.1-17:42.3  А как вам карликовость 2.0?
q0347  17:42.8-17:44.9  А где карликовость 1.0?
q0348  17:45.4-17:46.3  В живой природе.
q0349  17:46.7-17:48.2  О, это обидно.
q0350  17:48.5-17:49.5  Весьма обидно.
q0351  17:49.8-17:50.3  Простите.
q0352  17:51.0-17:53.0  Малыш, иди домой, где ты?
q0353  17:53.5-17:54.3  Интересно.
q0354  17:56.6-17:58.7  Эй, это не мороженое.
q0355  17:59.3-18:00.4  Прости, Гилфойл.
q0356  18:01.0-18:02.0  Контора требует.
q0357  18:03.5-18:04.7  Кто прячет наркоту?
q0358  18:05.1-18:07.2  Не может быть, неужто гастарбайтер?
q0359  18:09.1-18:16.1  А как вам мойнимум?
q0360  18:16.5-18:18.0  Как минимум, только мой.
q0361  18:18.7-18:19.1  Ага.
q0362  18:24.8-18:26.4  Алло, мистер Гаррис?
q0363  18:27.3-18:28.4  Да, это Ричард.
q0364  18:28.7-18:31.5  Из компании, что по праву зовется Пегги Дудочник.
q0365  18:32.5-18:33.0  Все так.
q0366  18:33.8-18:35.3  Нет, нет, нет.
q0367  18:35.5-18:36.1  Слушайте.
q0368  18:36.8-18:37.2  Ясно?
q0369  18:37.2-18:38.8  Мы пожали друг другу руки.
q0370  18:39.1-18:42.9  Может, для вас это пустяки, но там, откуда я, это многое значит.
q0371  18:43.3-18:45.8  Вы согласились продать название за тысячу долларов.
q0372  18:46.0-18:50.2  Я вас прошу, вы честный человек или жалкий обманщик?
q0373  18:52.3-18:52.9  Хорошо.
q0374  18:53.6-18:54.8  Да, адрес тот же.
q0375  18:56.0-18:57.5  Хорошо, да, класс.
q0376  18:57.8-18:58.5  До встречи.
q0377  18:59.2-19:01.0  Чел, это было охуенно.
q0378  19:01.8-19:02.6  Что он сказал?
q0379  19:03.2-19:07.0  Сказал, что сядет в свой пикап, приедет сюда и набьёт мне ебало.
q0380  19:07.0-19:10.2  А зачем ты сказал про адрес? Назвал бы любой другой.
q0381  19:10.3-19:12.8  Не знаю, у него был очень властный голос.
q0382  19:13.2-19:14.0  И что будем делать?
q0383  19:15.0-19:19.0  Если выкрикивать своё имя, нападающий признаёт в тебе человека.
q0384  19:37.0-19:50.9  Сейчас 5.35 вечера, и я нажрался псилоцибинов.
q0385  19:51.8-19:57.0  Я включил таймер, и достигну соноры и нирваны приблизительно...
q0386  19:59.0-20:01.8  Да блять!
q0387  20:07.0-20:12.0  Пиздярики.
q0388  20:12.0-20:16.7  Это он, это он.
q0389  20:18.2-20:19.0  Он приехал.
q0390  20:20.3-20:21.3  Звонит 911?
q0391  20:21.7-20:22.7  Нет, мы же не трусы.
q0392  20:23.0-20:23.9  Да, мы не трусы.
q0393  20:24.1-20:25.5  Тише, тише вы, тише.
q0394  20:26.4-20:28.4  Стой здесь, пока он не уйдёт, пожалуйста.
q0395  20:30.3-20:32.2  Мне нужен пегий дудочник.
q0396  20:32.7-20:33.7  Знаете, где это?
q0397  20:34.2-20:35.3  Вот пегий дудочник.
q0398  20:35.3-20:42.1  Нет, нет, нет, нет. Это компания. Здоровенный такой офис. Вы знаете, где это?
q0399  20:43.1-20:46.8  Да. Здесь. Вот. Пеггий дудочник.
q0400  20:47.0-20:47.2  Нет.
q0401  20:50.0-20:51.2  Здрасте, Арнольд.
q0402  20:52.6-20:56.1  Я Ричард. Я Ричард. Я Ричард.
q0403  20:56.3-21:01.2  Дональд. Я Дональд. Ричард. Ричард. Джаред. Я Джаред. Ричард.
q0404  21:01.5-21:04.8  Гейлфойл. Гейлфойл. Джаред. Джаред. Ричард.
q0405  21:04.8-21:13.4  Цифровые решения Сизбит.
q0406  21:15.0-21:18.5  Интегрированные открытые пространства данных.
q0407  21:19.4-21:19.6  Да.
q0408  21:20.9-21:23.8  Система и решение техбитдата.
q0409  21:34.6-21:36.8  Технологии Иисуси.
q0410  21:37.0-21:37.8  Ой, блядь!
q0411  21:39.4-21:41.1  Так это пегий дудочник?
q0412  21:41.4-21:42.9  Контора миллиардеров?
q0413  21:43.3-21:45.2  Ещё не совсем. Пока нет.
q0414  21:45.9-21:47.6  У вас тут полно народу.
q0415  21:48.3-21:51.1  Напомнило, как я начинал пегово-дудочника в гараже.
q0416  21:51.1-21:55.0  Скучаю по тем денькам.
q0417  21:55.4-21:55.6  Да?
q0418  21:57.0-21:58.6  Вот что я скажу.
q0419  21:59.2-22:01.5  Пять тысяч баксов и имя твоё.
q0420  22:02.5-22:05.5  Да, но мы договаривались на тысячу.
q0421  22:06.2-22:06.8  Ладно.
q0422  22:07.7-22:08.7  Четыре штуки.
q0423  22:09.7-22:11.5  Так дело не пойдёт.
q0424  22:11.7-22:12.6  Мы пожали руки.
q0425  22:12.8-22:14.5  Две тысячи, последнее слово.
q0426  22:15.4-22:16.1  Бери за две.
q0427  22:16.4-22:17.2  Это разумно?
q0428  22:17.4-22:18.9  Нет, за две не возьмём, Джаред.
q0429  22:18.9-22:19.9  Ничего разумного.
q0430  22:19.9-22:23.1  Послушайте, мы пожали руки на тысячи долларов, и не больше.
q0431  22:24.2-22:25.0  Идёт.
q0432  22:25.5-22:26.2  Штука.
q0433  22:27.3-22:29.2  Но придётся подкинуть за бензин.
q0434  22:29.6-22:30.8  Я же к вам приехал.
q0435  22:31.2-22:32.3  Набить мне морду.
q0436  22:32.7-22:34.0  Так, знаете что?
q0437  22:34.5-22:35.7  Пятьсот, и всё.
q0438  22:36.6-22:37.4  Пятьсот.
