q0001  00:00.0-00:30.0  Девушки отдыхают
q0173  09:00.3-09:01.2  Так не честно
q0174  09:01.2-09:04.6  А хануку мы тоже отменяем?
q0175  09:05.6-09:05.9  Ладно
q0176  09:05.9-09:08.8  Устраивайте свой праздник
q0177  09:08.8-09:10.0  Только без гостей
q0178  09:10.0-09:11.8  Ну а мы пригласили гостей
q0179  09:11.8-09:13.2  Знаешь что, Филлис?
q0180  09:13.8-09:19.4  Все твои гости просто отклонят приглашение в последнюю минуту
q0181  09:19.4-09:22.8  В любом случае превратив твою жизнь в жуткое месиво
q0182  09:22.8-09:25.7  Так что, ладно
q0183  09:25.7-09:34.2  Мне больно
q0184  09:34.2-09:35.5  Я знаю
q0185  09:35.5-09:38.2  У меня болит сердце
q0186  09:38.2-09:40.8  И желудок болит
q0187  09:40.8-09:44.1  И руки болят
q0188  09:44.1-09:47.0  Хорошо, но почему вы так лежите?
q0189  09:47.8-09:48.3  Спасибо
q0190  09:48.3-09:51.6  Как ты защищаешься от плохих мыслей?
q0191  09:52.1-09:52.5  Например?
q0192  09:53.4-09:56.9  Ну, например, что настоящая причина разрыва
q0193  09:56.9-10:03.6  В том, что были некоторые вещи, которые вы хотели сделать в постели
q0194  10:03.6-10:04.8  И они...
q0195  10:05.3-10:05.7  Что?
q0196  10:06.3-10:08.0  Были странными и пугающими
q0197  10:08.0-10:09.8  Я... я не совсем
q0198  10:09.8-10:12.0  И не то, чтобы ты не хотел их попробовать.
q0199  10:12.3-10:13.7  Немного вина может помочь.
q0200  10:14.0-10:15.2  Знаешь, к чему я обращаюсь?
q0201  10:15.5-10:16.2  Я не хочу знать.
q0202  10:17.1-10:17.5  Майкл?
q0203  10:17.8-10:17.9  Да?
q0204  10:18.1-10:21.1  Простите, что прерываю, кажется, у нас не хватает одного халата.
q0205  10:33.6-10:35.9  Двайт, отличные халатики, я...
q0206  10:37.5-10:38.4  За что?
q0207  10:39.9-10:42.3  Фелис, в обед достань зелёные ленты.
q0208  10:43.4-10:45.1  Ты же говорила зелёный вульгарный.
q0209  10:46.0-10:48.0  Нет, оранжевый вульгарный.
q0210  10:48.0-10:54.9  Так, у меня была пара идей, чтобы сэмфорцы почувствовали себя как дома
q0211  10:54.9-10:58.6  Каждый год у нас была рождественская лотерея
q0212  10:58.6-11:00.2  Хорошо, здесь так не пойдёт
q0213  11:00.2-11:01.8  Ладно
q0214  11:01.8-11:05.1  Ещё была мысль о караоке?
q0215  11:05.6-11:06.0  Нет
q0216  11:06.0-11:08.7  Рождественская игра на выпивку
q0217  11:08.7-11:10.7  Да, Господи, помоги тебе
q0218  11:10.7-11:12.4  Что?
q0219  11:13.4-11:15.0  Это всё ужасные идеи
q0220  11:15.0-11:17.7  И ни одна не подходит к Рождеству щелкунчика
q0221  11:17.7-11:20.6  Думаю, тебе стоит уйти
q0222  11:20.6-11:23.1  Ты шутишь
q0223  11:23.1-11:26.3  Ты попробовала, и это определённо не для тебя
q0224  11:26.3-11:27.7  Время уходить
q0225  11:27.7-11:31.5  Давай
q0226  11:31.5-11:34.1  Хорошо, благодарю
q0227  11:34.1-11:38.4  Хорошо, большое спасибо
q0228  11:47.7-11:50.6  Что ты делаешь?
q0229  11:50.9-11:53.7  Мы избавимся от всего, что напоминает вам о Кэрол.
q0230  11:54.4-11:55.5  Эй, что за дела?
q0231  11:57.3-11:58.0  Кэрол?
q0232  12:00.1-12:01.3  Гляньте на это.
q0233  12:02.8-12:06.7  Ваши бумаги о покупке квартиры подписаны именем Кэрол.
q0234  12:07.3-12:08.9  Думаю, это стоит отправить в коробку.
q0235  12:08.9-12:19.3  Почему вы не купили песню целиком?
q0236  12:20.9-12:22.2  Я не хотел её покупать
q0237  12:22.2-12:24.7  Я хотел только попробовать
q0238  12:24.7-12:27.3  Я просто хотел...
q0239  12:27.3-12:28.9  Хотел чуть-чуть попробовать
q0240  12:28.9-12:33.3  Ты посмотри, она сэкономила вам две тысячи
q0241  12:33.3-12:36.1  Потому что они не заявили о проблеме с плесенью
q0242  12:36.1-12:37.1  Проблема.
q0243  12:37.1-12:40.1  Но это не повлияло бы на...
q0244  12:40.1-12:42.1  Кажется, она...
q0245  12:42.1-12:43.1  О!
q0246  12:43.1-12:45.1  Я понял, что она сделала неплохо.
q0247  12:45.1-12:46.1  Ого!
q0248  12:46.1-12:49.1  Это Карл, умная зараза!
q0249  12:49.1-12:51.1  Goodbye, мой любовь!
q0250  12:51.1-12:53.1  Goodbye, мой друг!
q0251  12:53.1-12:55.1  You have been the one!
q0252  12:55.1-12:58.1  You have been the one for me!
q0253  12:58.1-13:07.1  Это был один оттенок.
q0254  13:07.1-13:11.3  Но они говорят, что когда ты найдешь любую любовь,
q0255  13:11.3-13:15.1  ты знаешь, что в первые 24 часа...
q0256  13:15.1-13:17.1  Карол...
q0257  13:17.1-13:20.1  Я знаю, что в первые 24 минуты,
q0258  13:20.1-13:22.1  в первые 2 дня я встретила ее.
q0259  13:28.1-13:35.3  Кажется, я была слишком холодна с Карен.
q0260  13:35.8-13:37.2  Хотя причин для этого не было.
q0261  13:37.8-13:39.7  То есть, она же ничего мне не сделала.
q0262  13:40.7-13:43.8  Так что, думаю, мне стоит быть к ней повнимательней.
q0263  13:44.6-13:47.7  Эй, Карен, прости за сегодняшнее собрание.
q0264  13:48.0-13:49.0  Просто дурдом какой-то.
q0265  13:49.4-13:50.0  Да, правда?
q0266  13:50.0-13:51.5  Я так рада, что ты это сказала.
q0267  13:51.7-13:54.1  Потому что я не знаю, как обычно проходят эти собрания.
q0268  13:54.3-13:55.1  Обычно именно так.
q0269  13:56.2-13:57.6  И никто не идёт против Анжелы?
q0270  13:58.1-14:00.5  Или, кажется, её кошка один раз была против.
q0271  14:00.8-14:02.5  Она пришла с таратанами на физиономию.
q0272  14:04.4-14:04.9  Ясно.
q0273  14:05.6-14:07.0  Мне понравилась идея с Краухи.
q0274  14:07.3-14:08.0  О, да, клёво.
q0275  14:08.4-14:09.3  Это могло бы быть весело.
q0276  14:09.5-14:10.0  Спасибо.
q0277  14:10.4-14:11.3  А у вас была лотерея?
q0278  14:13.1-14:14.3  Да, была лотерея.
q0279  14:16.9-14:17.4  Эй, Кэф.
q0280  14:17.6-14:17.9  Эй.
q0281  14:28.1-14:33.1  Это должно быть в начале.
q0282  14:33.4-14:34.2  Все хорошо.
q0283  14:37.5-14:38.6  Что это такое?
q0284  14:39.4-14:42.9  Комитет по вечеринкам приглашает вас на Рождество, Маргарита Караоке?
q0285  14:43.5-14:45.4  Нет никакого комитета по вечеринкам.
q0286  14:45.6-14:46.7  Теперь есть, мы его основали.
q0287  14:47.2-14:48.7  Вы не можете просто основать комитет.
q0288  14:49.2-14:50.1  У вас должен быть фонд.
q0289  14:50.4-14:51.2  А какой у вас фонд?
q0290  14:51.5-14:52.3  200 долларов.
q0291  14:52.8-14:53.5  А у нас какой был?
q0292  14:53.7-14:54.7  201 доллар.
q0293  14:54.9-14:55.2  Верно?
q0294  14:55.9-14:57.9  Эй, вечеринка Маргарита Караоке.
q0295  14:58.1-14:59.6  Похоже, будет весело.
q0296  15:00.0-15:01.1  Нет, вечеринки не будет.
q0297  15:01.4-15:05.3  Есть только один праздник, и он утверждён комитетом по праздникам, и он начинается в 3.
q0298  15:05.7-15:07.2  Тогда почему два объявления?
q0299  15:07.8-15:09.9  Понимаю, что многие запутались, и я объясню.
q0300  15:10.4-15:12.3  Есть праздник, который начинается в 3.
q0301  15:13.0-15:13.4  Верно.
q0302  15:13.4-15:16.2  И есть весёлая вечеринка, которая начинается в 2.45.
q0303  15:17.1-15:22.7  Точно. И если вас интересует весёлая вечеринка, вся информация будет здесь, на нашем гораздо более весёлом объявлении.
q0304  15:28.1-15:31.0  Я не вижу, где оно.
q0305  15:33.1-15:37.6  Да, кажется, народ из Скрынтона и из Стэмфорда наконец объединился.
q0306  15:39.0-15:40.2  Мы же этого хотели, верно?
q0307  15:42.6-15:43.7  Думаю, это действительно.
q0308  15:44.1-15:48.8  Эм и Карен, я приказываю вам прекратить действия по планированию вечеринки немедленно.
q0309  15:49.4-15:50.4  Ты не можешь это сделать.
q0310  15:50.5-15:52.7  Так, третий по должности в офисе я приказываю.
q0311  15:53.0-15:54.2  Я третий по должности.
q0312  15:54.5-15:55.1  Ты четвертый.
q0313  15:55.4-15:56.1  Да, ну я третий.
q0314  15:56.1-16:00.5  Вы должны отдать мне все рождественские штучки, относящиеся к вечеринке немедленно.
q0315  16:00.6-16:02.1  Они будут возвращены 4 января.
q0316  16:02.4-16:03.2  Кажется, я могу помочь.
q0317  16:03.3-16:03.7  Да, хорошо.
q0318  16:03.9-16:08.0  Как второй по должности, я утверждаю комитет и заявляю о законной силе двух комитетов.
q0319  16:08.2-16:09.4  Сам буду почётным членом.
q0320  16:09.8-16:11.3  Комитет начинает действовать немедленно.
q0321  16:11.5-16:12.0  Это глупо.
q0322  16:12.1-16:12.7  Ты могла бы записать?
q0323  16:12.9-16:13.0  Они.
q0324  16:16.9-16:18.6  Я заявляю, что комитет законен.
q0325  16:18.8-16:19.3  Что? Нет!
q0326  16:19.4-16:19.6  Да!
q0327  16:19.8-16:22.3  Стоп, стоп, стоп. Просьба присоединиться к законному комитету.
q0328  16:22.3-16:23.3  Прошло.
q0329  16:25.7-16:26.9  Просьба отклонена.
q0330  16:27.1-16:27.7  Проклятье!
q0331  16:30.8-16:31.4  Эй!
q0332  16:32.5-16:34.9  Не могу сосредотачиться, когда вам так больно.
q0333  16:35.5-16:36.5  Давайте отвезу вас на ланч.
q0334  16:39.0-16:40.8  Давайте, я угощаю.
q0335  16:41.7-16:42.1  Хорошо.
q0336  16:42.6-16:44.3  Всё равно здесь ничем не отвлечься.
q0337  16:45.1-16:45.7  Молодчина!
q0338  16:46.7-16:48.0  Кстати, я знаю, отличное место.
q0339  16:48.6-16:49.1  Хуторс?
q0340  16:49.6-16:51.1  Нет, Бенихана.
q0341  16:51.1-16:52.2  А, когда сда лучше.
q0342  16:53.3-16:56.0  Но не волнуйтесь, там тоже есть красотки.
q0343  16:59.4-17:00.9  Мне нужна моя свита.
q0344  17:01.1-17:03.0  Джим, Дуайт, Райан, идём.
q0345  17:03.1-17:04.5  Пойдём в азиатский хуторс.
q0346  17:04.6-17:05.3  Боже, я не могу.
q0347  17:05.7-17:06.2  Почему нет?
q0348  17:06.4-17:08.5  Плохо себя чувствую, и у меня полно работы.
q0349  17:08.7-17:10.9  Аллергия на глутамат, аллергия на арахис.
q0350  17:11.0-17:11.8  Поёл вчера вечером.
q0351  17:13.7-17:15.1  Ладно, поправляйся.
q0352  17:15.1-17:15.5  Спасибо.
q0353  17:16.2-17:17.0  Давай, Джим, идём.
q0354  17:17.1-17:17.3  Хорошо.
q0355  17:17.3-17:30.7  Братки против девок, почему?
q0356  17:31.1-17:33.0  Потому что твои братки всегда будут с тобой.
q0357  17:33.9-17:38.3  Они прикроют тебе спину, когда твоя девка вырвет тебе сердце без причины.
q0358  17:38.9-17:40.6  А ты давал ей только лучшее.
q0359  17:41.5-17:43.3  И говорил ей, что она для тебя единственная.
q0360  17:44.3-17:46.6  Что она лучше всех других девок в мире.
q0361  17:47.3-17:49.3  А потом...
q0362  17:50.8-17:55.3  Потом она больше не твоя девка.
q0363  17:59.9-18:02.4  Она реально красотка, я говорю.
q0364  18:03.0-18:04.7  Ты сегодня красивее, чем обычно.
q0365  18:05.8-18:06.3  Спасибо.
q0366  18:08.2-18:09.1  Майкл.
q0367  18:10.3-18:11.7  Твоя глава стала.
q0368  18:12.5-18:12.8  Можно?
q0369  18:14.3-18:14.8  Джим.
q0370  18:14.8-18:19.7  Вообще-то, сэр, я хотел занять это место, так что...
q0371  18:19.7-18:20.7  Дуайт, оставь его.
q0372  18:20.9-18:22.6  Оставь его в покое, пожалуйста.
q0373  18:22.9-18:25.1  У них свидания не выглядят счастливыми.
q0374  18:26.6-18:30.8  Короче, она смотрит на меня и такая, простите, я вас вообще знаю.
q0375  18:32.1-18:33.1  После года.
q0376  18:34.1-18:35.9  Год я покупал у неё латте.
q0377  18:36.3-18:37.2  Можете в это поверить?
q0378  18:37.8-18:38.1  Да.
q0379  18:38.5-18:40.0  Я не слышу, что вы говорите.
q0380  18:40.2-18:41.6  Кэрол тоже пила латте.
q0381  18:42.0-18:42.8  О ком вы говорите?
q0382  18:42.8-18:44.8  У неё были усики от сливок.
q0383  18:44.8-18:46.8  У Карол были усы?
q0384  18:46.8-18:48.8  И обычно я говорил, эй, пила латте?
q0385  18:48.8-18:50.8  А она говорила, это не смешно.
q0386  18:50.8-18:51.8  Ребята, о чем вы?
q0387  18:51.8-18:53.8  Она понимала меня. Она понимала.
q0388  18:55.8-18:59.8  И нам не надо было смеяться, чтоб любить друг друга.
q0389  18:59.8-19:00.8  Что?
q0390  19:00.8-19:01.8  Берите все погромче.
q0391  19:01.8-19:03.8  Это мой труд, быть там для Майкала.
q0392  19:03.8-19:06.8  Как я могу быть там для Майкала, если я здесь для Майкала?
q0393  19:10.8-19:13.8  Я уже начинаю забывать, что цвета она у нее.
q0394  19:14.8-19:16.8  Я не могу, я не могу.
q0395  19:16.8-19:18.8  Я не могу.
q0396  19:18.8-19:20.8  Я не могу.
q0397  19:20.8-19:22.8  Пусть это.
q0398  19:22.8-19:24.8  Сос, мы...
q0399  19:24.8-19:26.8  Майдей.
q0400  19:26.8-19:28.8  Мы нужны вашу помощь.
q0401  19:28.8-19:30.8  Что я могу?
q0402  19:30.8-19:34.8  Я думаю, что мы начнем с нагасаки.
q0403  19:34.8-19:38.8  Один из-за еды, три из-за саке.
q0404  19:38.8-19:40.8  В этом месте не будет для вас, потому что еды на еду,
q0405  19:40.8-19:42.8  потому что еду на еду.
q0406  19:44.8-19:47.4  Надо сделать ободок соленым.
q0407  19:48.2-19:49.3  Отличная идея.
q0408  19:50.6-19:53.3  Филлис, я просто пришла перекусить.
q0409  19:54.0-19:55.2  Ты можешь перекусить у нас?
q0410  19:55.7-19:57.0  Пэм, не говори ей, что делать.
q0411  19:57.6-19:58.0  Филлис.
q0412  19:59.1-19:59.5  Ладно.
q0413  20:05.2-20:09.5  Я думаю, что я буду к партию Анджелы, потому что это партия, которую я знаю.
q0414  20:10.2-20:13.4  Я не забыл в день, когда только один партию я не хочу.
q0415  20:15.8-20:16.9  Значит, только ты?
q0416  20:18.1-20:21.8  Если ты используешь больше трёх полосок скотча при упаковке, то что-то неправильно.
q0417  20:21.8-20:24.1  Ясно. А где ты берёшь эти классные бантики?
q0418  20:24.3-20:26.4  Их можно купить в любом магазине подарков.
q0419  20:27.9-20:28.3  Ладно.
q0420  20:30.1-20:33.3  И ты уверена, что не стоит использовать картинки из газет, да?
q0421  20:33.5-20:34.9  Да, твоей маме понравится.
q0422  20:37.2-20:37.7  Привет.
q0423  20:38.0-20:38.2  Привет.
q0424  20:39.4-20:40.5  Ладно, ещё увидимся.
q0425  20:41.0-20:41.3  Пока.
q0426  20:41.3-20:45.6  Симпатичный. Тебе стоит с ним встречаться.
q0427  20:46.2-20:47.9  Да, может быть.
q0428  21:01.6-21:05.1  Вообще-то суба лучше, когда работаешь с таким количеством.
q0429  21:05.6-21:08.4  Не знаю, по-моему, на кири лучше.
q0430  21:09.2-21:10.1  А ты ему лучше знать.
q0431  21:14.1-21:16.1  Он меня ничем не веселит.
q0432  21:17.3-21:19.3  Вы дождите лук, верьте мне.
q0433  21:20.9-21:25.7  Эй, Синди, ему разбили сердце.
q0434  21:26.0-21:27.1  Ты бы с ним так не поступила?
q0435  21:27.5-21:28.1  Не знаю.
q0436  21:28.3-21:28.8  Ну, конечно.
q0437  21:29.2-21:29.8  Глянь на себя.
q0438  21:30.2-21:31.7  И каждый час разбиваешь сердца.
q0439  21:34.3-21:35.8  Она засмеялась.
q0440  21:36.3-21:36.6  Да!
q0441  21:37.9-21:38.5  Рассекла.
q0442  21:39.4-21:40.5  Смотрите, смотрите.
q0443  21:44.8-21:46.1  Что я говорил?
q0444  21:46.8-21:47.4  Ты прав.
q0445  21:47.6-21:48.2  Это круто.
q0446  21:50.9-21:54.5  Всем привет!
q0447  21:55.3-21:59.4  Мы хотели бы объявить, что наша вечеринка будет в комнате отдыха, так что...
q0448  21:59.4-22:05.5  Я должна сделать очень важное объявление по поводу ваших зарплат.
q0449  22:06.1-22:10.6  Ваша зарплата будет выплачена согласно расписанию в пятницу.
q0450  22:12.2-22:15.4  И её размер будет верным, как и всегда.
q0451  22:15.4-22:24.2  Прошу, ждите очень важных объявлений о дальнейшем рассмотрении вашей зарплаты.
q0452  22:26.6-22:28.7  Мне надо знать, когда начинать праздник.
q0453  22:30.8-22:31.5  Майкл!
q0454  22:32.2-22:32.9  Эй!
q0455  22:33.9-22:35.0  Я здесь, Майкл!
q0456  22:36.8-22:37.6  Это...
q0457  22:37.6-22:40.3  Я не знаю, меня никто не слышит.
q0458  22:41.6-22:43.0  Знаешь что, начинай праздник.
q0459  22:43.4-22:44.9  Майкл дал тебе разрешение на это?
q0460  22:45.4-22:48.8  Начинай праздник!
q0461  22:50.6-22:56.7  Также я хочу проинформировать вас, что по особым причинам мой праздник начнётся раньше.
q0462  22:57.3-23:00.2  Фактически он начинается прямо сейчас.
q0463  23:00.9-23:02.5  Наша вечеринка тоже начинается сейчас.
q0464  23:15.4-23:29.1  Отлично, Стэнли.
