q0001  00:00.0-00:02.6  Вот так.
q0166  08:18.6-08:22.1  А сморы у них есть?
q0167  08:23.0-08:25.6  Всего-то и надо, что шоколад, крекер и зефир
q0168  08:25.6-08:26.8  Неужели это так сложно?
q0169  08:30.5-08:33.4  Значит, вы сёстры Келли?
q0170  08:35.0-08:37.2  Келли, Зак, правку посынкать
q0171  08:37.2-08:39.2  Что?
q0172  08:40.2-08:41.6  Ру, Пани, Патифани.
q0173  08:41.9-08:43.6  Хватит вести себя как неудачницы.
q0174  08:43.8-08:44.3  Идём, Райан.
q0175  08:44.8-08:45.1  Идём.
q0176  08:45.6-08:46.3  Оставьте его.
q0177  08:46.6-08:47.3  Ненавижу вас.
q0178  08:48.2-08:50.1  Они что-то сказали про Зака Брафа?
q0179  08:50.2-08:50.9  Не слушай их.
q0180  08:51.0-08:51.5  Нет, знаешь.
q0181  08:54.3-08:55.4  Как официально.
q0182  08:56.0-08:57.3  Я решила прийти.
q0183  08:58.0-09:03.5  Я одета неподходящей, но хотя бы не нарядилась, как черлидерша лёгкого поведения.
q0184  09:03.5-09:05.8  Это грубо?
q0185  09:37.2-09:40.7  Даже слышать не хочу.
q0186  09:41.0-09:42.8  Ватит, прекрати сейчас же.
q0187  09:43.0-09:44.9  Я пришла на диване вопли выслушивать.
q0188  09:45.1-09:48.7  Райан не зарабатывает, Валя настоящий доктор, и деньги хорошие.
q0189  09:48.8-09:50.5  По-вашему, я хочу встречаться с доктором?
q0190  09:50.6-09:51.5  Он тебе подходит.
q0191  09:54.8-09:55.9  Эй, большой тонемец, готов?
q0192  09:56.4-09:56.6  Да.
q0193  09:59.3-10:02.7  Раз, два, три, пьём.
q0194  10:02.7-10:07.3  Присвятая Матерь Божья
q0195  10:07.3-10:10.1  Как обжигает
q0196  10:10.1-10:11.9  Ух ты, вот здорово
q0197  10:32.7-10:39.9  30 30
q0198  10:40.5-10:40.8  Да.
q0199  10:41.3-10:41.7  Ого.
q0200  10:42.2-10:44.1  А сколько вы уже женаты на чирлидерше?
q0201  10:45.4-10:47.2  Она не чирлидерша.
q0202  10:47.5-10:50.2  Она решила, что это костюмированная вечеринка.
q0203  10:51.1-10:52.7  Нет, мы не женаты.
q0204  10:53.6-10:54.2  Пока.
q0205  10:55.6-10:57.5  Она очень красивая.
q0206  10:57.7-10:59.0  Очень красивая.
q0207  10:59.0-11:01.0  Красивая, очень добрая
q0208  11:01.0-11:03.0  Скажите, а у вас в браке
q0209  11:03.0-11:08.3  Не надо будет, чтобы после вашей смерти она бросилась в огонь?
q0210  11:09.5-11:09.8  Нет?
q0211  11:10.0-11:10.4  Понятно
q0212  11:10.4-11:12.9  Но всё равно круто
q0213  11:12.9-11:14.4  Ладно, спасибо
q0214  11:14.4-11:22.4  Раз, два, три, пьём
q0215  11:29.0-11:34.8  Ты в порядке?
q0216  11:36.3-11:37.5  Скоро буду.
q0217  11:42.0-11:42.9  Привет.
q0218  11:43.4-11:45.3  Я только на секунду, на секунду.
q0219  11:46.5-11:49.9  Народ, простите, можно минуточку внимания?
q0220  11:50.3-11:50.6  Спасибо.
q0221  11:51.9-11:52.8  Привет.
q0222  11:53.2-11:55.0  Простите, но у меня есть объявление.
q0223  11:56.1-11:56.5  Итак.
q0224  11:56.5-12:02.9  Сегодня я много узнал про индийскую культуру
q0225  12:02.9-12:07.0  Но еще больше я узнал о любви
q0226  12:07.0-12:10.3  Я знаю, что вы все думаете
q0227  12:10.3-12:13.1  Кто этот безумный гринго и о чем он?
q0228  12:13.7-12:14.6  Я не безумный
q0229  12:14.6-12:17.9  Возможно, безумно влюблен
q0230  12:17.9-12:21.4  Так что без лишних слов
q0231  12:21.4-12:23.3  Кэрол
q0232  12:23.3-12:26.0  Кэрол Стиллс
q0233  12:26.0-12:31.5  Я бы хотел, чтобы ты оказала мне честь
q0234  12:31.5-12:35.4  И сделала меня своим мужем
q0235  12:35.4-12:39.1  О, Майкл
q0236  12:39.1-12:40.4  Что скажешь?
q0237  12:42.2-12:44.1  Давай поговорим наедине
q0238  12:44.1-12:46.0  Не слышу тебя
q0239  12:46.0-12:48.8  Давай поговорим наедине
q0240  12:48.8-12:51.9  О, да ты шутишь
q0241  12:56.0-12:56.8  Ладно.
q0242  12:59.8-13:01.1  Нет, я понял.
q0243  13:01.6-13:04.3  Я понял, ты не готова подождём.
q0244  13:04.6-13:06.4  Это наше девятое свидание, Майкл.
q0245  13:06.4-13:08.6  Ну да, но я...
q0246  13:08.6-13:11.1  Такое чувство, будто я знал тебя много жизней.
q0247  13:12.1-13:13.6  Может, я действительно индуист?
q0248  13:14.4-13:17.4  Нет, я не индуист, но...
q0249  13:17.4-13:19.7  Кэрол, Кэрол, просто ты мне...
q0250  13:19.7-13:21.0  Ты мне так нравишься.
q0251  13:22.0-13:23.2  Я лучше пойду.
q0252  13:23.9-13:25.6  Ладно, ты ведь сам домой доберёшься.
q0253  13:26.0-13:26.2  Да.
q0254  13:26.9-13:27.2  Ладно.
q0255  13:27.3-13:27.6  Ладно.
q0256  13:30.3-13:30.8  Хорошо.
q0257  13:32.0-13:32.8  Доброй ночи.
q0258  13:33.6-13:34.4  Я знаю что.
q0259  13:34.8-13:35.9  Может, я с тобой поеду?
q0260  13:36.8-13:39.0  А то у меня есть одна книжка, Камасутра.
q0261  13:39.4-13:40.3  Доброй ночи, Майкл.
q0262  13:40.4-13:40.7  Ладно.
q0263  13:42.9-13:43.7  Доброй ночи.
q0264  13:49.6-13:52.9  Я был временным работником, но меня повысили.
q0265  13:52.9-13:55.9  И зарплата стала куда более выгодной.
q0266  13:57.0-14:00.4  И теперь ты купишь деньги, чтобы завести семью и купить дом?
q0267  14:00.5-14:01.9  Да. Или на путешествия.
q0268  14:03.3-14:05.3  И покупку Иксбокса.
q0269  14:09.8-14:12.3  Ты ничего не хочешь у нас спросить сегодня?
q0270  14:14.2-14:17.4  Поверить не могу, что мой босс сделал своей девушке предложение на людях.
q0271  14:17.9-14:19.0  В этом весь Майкл.
q0272  14:19.2-14:21.0  Правда? Он очень дружелюбный.
q0273  14:22.0-14:22.6  Да.
q0274  14:22.9-14:25.5  Извини, я на секунду
q0275  14:25.5-14:33.1  Как там жарко?
q0276  14:34.4-14:35.5  Как тебе, Наан?
q0277  14:36.1-14:36.6  Сухая
q0278  14:36.6-14:38.8  А ты, похоже, веселишься
q0279  14:38.8-14:41.1  Да, пойдём потанцуешь с нами
q0280  14:41.1-14:43.8  Надо следить за обувью, чтобы её не украли
q0281  14:43.8-14:45.5  Кому ты писала?
q0282  14:45.9-14:46.3  Никому
q0283  14:52.9-15:04.2  И без песнопений.
q0284  15:34.2-15:36.2  Ты шутишь?
q0285  15:42.2-15:44.2  Боже мой! Ого!
q0286  16:02.5-16:06.8  Эм
q0287  16:06.8-16:11.2  Когда Кэрол сегодня сказала нет
q0288  16:11.2-16:14.6  Я наконец понял, как ты себя чувствуешь
q0289  16:14.6-16:18.5  Мы оба жертвы неудавшейся помолвки
q0290  16:18.5-16:22.5  Но вы ведь не были помолвлены
q0291  16:22.5-16:27.3  Но я всё равно был на брачной арене
q0292  16:27.3-16:29.3  Да
q0293  16:29.3-16:29.8  Да
q0294  16:29.8-16:32.5  Ну ладно
q0295  16:32.5-16:38.4  Я тоже думала, что сегодня что-то произойдёт
q0296  16:38.4-16:43.6  Как похоже
q0297  16:43.6-16:47.0  Так похоже
q0298  16:47.0-17:00.1  Что вы делаете?
q0299  17:00.3-17:01.2  А что ты делаешь?
q0300  17:02.0-17:03.6  Уворачиваюсь от вашего поцелуя
q0301  17:03.6-17:04.5  Я? Что?
q0302  17:05.5-17:06.7  Я не...
q0303  17:13.7-17:23.2  Можешь меня подвезти?
q0304  17:25.3-17:26.6  Если сядете назад.
q0305  17:29.0-17:30.0  Доброй ночи.
q0306  17:37.0-17:38.5  Можешь меня подвезти?
q0307  17:39.5-17:40.4  А то у меня велик.
q0308  17:41.7-17:43.6  Не за что, чувак, я не еду домой.
q0309  17:43.7-17:49.3  На такие случаи я принес сюда надувную кровать.
q0310  17:49.8-17:52.5  Можешь присоединиться, она двуспальная.
q0311  17:54.3-17:54.9  Обойдусь.
q0312  18:13.7-18:22.1  Эй, глупыш, залезай в машину
q0313  18:22.1-18:23.9  Я пьяный водитель
q0314  18:23.9-18:26.0  Да, ещё какой
q0315  18:26.0-18:27.8  Давай-ка я возьму
q0316  18:27.8-18:29.9  Садись в машину
q0317  18:29.9-18:30.7  Вот так
q0318  18:30.7-18:32.3  А, ты реально знаешь свою норму?
q0319  18:33.0-18:34.0  Да, а ты нет
q0320  18:34.0-18:35.3  Ладно
q0321  18:35.3-18:39.2  Я просто лягу сзади, ты не против?
q0322  18:39.5-18:39.9  Конечно
q0323  18:39.9-18:42.0  Вот твоя сумка
q0324  18:42.0-18:44.8  Только чтоб тебя не стошнило.
q0325  18:50.3-18:51.7  Ты в порядке?
q0326  18:52.0-18:52.5  В норме.
q0327  18:52.9-18:53.3  Хорошо.
q0328  18:58.8-19:00.6  Это не мои ботинки.
q0329  19:00.6-19:12.9  Это как в передаче «Признание в такси».
q0330  19:12.9-19:14.8  Еще одно слово, и я остановлю машину.
q0331  19:15.0-19:15.3  Прости.
q0332  19:18.0-19:20.2  Посвящается всем индусам на планете.
q0333  19:21.9-19:25.4  Дань уважения одному из великих, мистеру Адаму Сэндлеру.
q0334  19:25.4-19:32.1  Дивали – фестиваль огней
q0335  19:32.1-19:34.1  И вот что я скажу
q0336  19:34.1-19:38.3  Сегодня ночь кота еще
q0337  19:38.3-19:42.7  Так надевайте сари
q0338  19:42.7-19:46.8  Время праздновать Дивали
q0339  19:46.8-19:49.9  Все радостными стали
q0340  19:49.9-19:53.4  Но это не Рождество, а Дивали
q0341  19:53.4-19:59.5  Богиня разрушения Кали пришла праздновать Дивали.
q0342  20:00.3-20:05.8  Но не приглашайте зомби на праздненство Дивали.
q0343  20:06.7-20:12.0  А вот и Полли веселится на Дивали.
q0344  20:13.0-20:16.0  Всем индусам, которые веселиться стали,
q0345  20:16.4-20:21.5  всем счастливого, счастливого, счастливого Дивали.
q0346  20:23.4-20:24.8  Счастливого Девали!
q0347  20:53.4-21:10.6  Продолжение следует...
