q0001  00:00.0-00:03.7  Хорошо, где болит?
q0052  03:15.2-03:20.5  А если с нами будет Тоби, это будет отстой
q0053  03:20.5-03:24.5  Эй, возьмешь мой крем от солнца?
q0054  03:24.5-03:25.8  О, отлично
q0055  03:26.6-03:28.9  Я забыла свой, и у меня раздельный купальник.
q0056  03:30.2-03:31.0  Спасибо, Теби.
q0057  03:34.5-03:38.3  Эй, Пэм, у меня для тебя сегодня важное задание.
q0058  03:38.4-03:40.2  Я думала, мы едем на пляж развлекаться.
q0059  03:40.4-03:41.2  Это так, так.
q0060  03:41.5-03:44.0  Но я хочу, чтобы ты делала записи.
q0061  03:44.4-03:46.8  И я хочу, чтобы ты выяснила характер людей.
q0062  03:46.8-03:53.0  Не их привлекательность, а чувство юмора, харизму
q0063  03:53.0-03:57.8  и неопределенные качества, из-за которых вы следуете за мной.
q0064  03:57.8-04:00.7  Что происходит к компании, если кто-то взял босса?
q0065  04:01.9-04:03.6  Я отвечу вашу вопрос.
q0066  04:04.3-04:07.1  Это как, что происходит к чеке.
q0067  04:07.9-04:11.2  Когда вы взял его голову, он умирает.
q0068  04:12.5-04:14.4  Если вы найдете новую голову.
q0069  04:15.9-04:17.9  Я хочу увидеть, какой из этих людей
q0070  04:17.9-04:21.8  у них есть умы, чтобы быть чекеновым головой.
q0071  04:22.5-04:24.8  Хотите, чтобы я записывала неопределенное качество?
q0072  04:24.8-04:30.1  Я хочу, чтобы ты записала все, что люди будут делать, а потом распечатала в удобном виде.
q0073  04:30.3-04:30.6  Ладно?
q0074  05:24.8-05:54.8  День на пляже
q0075  05:54.8-05:56.4  Это не просто поездка на пляж.
q0076  05:56.4-05:59.0  Так, знаешь что? Твой энтузиазм отталкивает людей.
q0077  05:59.0-06:01.3  Надеюсь, будут управленческие притчи.
q0078  06:01.3-06:02.3  Окей, ты знаешь что?
q0079  06:02.3-06:04.3  Твой энтузиазм отталкивает людей.
q0080  06:04.3-06:06.6  Я надеюсь, что у нас будет управление.
q0081  06:06.6-06:10.5  Ну, эй, пэм, ты это делаешь?
q0082  06:10.5-06:11.6  Как что?
q0083  06:11.6-06:13.6  Как все, что я сказал, и все, что они сделали.
q0084  06:13.6-06:15.2  Просто... Не...
q0085  06:15.2-06:16.7  Пиши это, пока ты это забываешь.
q0086  06:16.7-06:17.7  Это...
q0087  06:17.7-06:20.4  Ты просто выталиваешь фотографии.
q0088  06:20.4-06:22.3  Ааааааа...
q0089  06:22.3-06:24.5  Я не могу тебя бояться.
q0090  06:24.5-06:26.5  Вот мы, господинцы!
q0091  06:26.5-06:28.5  Все готовы?
q0092  06:28.5-06:30.5  Следующий, что у нас есть ротный ег!
q0093  06:30.5-06:32.5  Смотрите на снега!
q0094  06:33.5-06:35.5  Все, ставьте на солнцем!
q0095  06:35.5-06:39.5  Хорошо, найдите спокойный участок, все, садитесь!
q0096  06:43.5-06:46.5  Хорошо, все, все, вверх!
q0097  06:47.5-06:50.5  Затем, давайте играть на игру!
q0098  07:07.6-07:13.5  Один день, 14 незнакомцев, работающих вместе, и только один выживший.
q0099  07:13.5-07:13.7  Что?
q0100  07:14.5-07:15.9  Просто выражение.
q0101  07:16.3-07:17.2  Воодушевляюще.
q0102  07:17.8-07:18.6  Не претендент.
q0103  07:18.6-07:22.4  Для соревнований вы разделитесь на четыре племени.
q0104  07:22.4-07:27.0  Каждым племени будет вождь, которого я выберу, назвав имена на обум.
q0105  07:28.3-07:30.9  Джим, Дуайт, Энди, Стэнли.
q0106  07:31.1-07:33.9  Выберите себе племена, кроме Пэм, не Пэм.
q0107  07:35.6-07:37.0  Джим Халперт.
q0108  07:37.5-07:38.3  Плюсы.
q0109  07:38.8-07:42.3  Умный, классный, симпатичный.
q0110  07:43.1-07:44.2  Никого не напоминает?
q0111  07:46.0-07:46.7  Проблемы.
q0112  07:46.7-07:47.7  Я не работа.
q0113  07:48.6-07:51.1  Я могу spend all day on a project,
q0114  07:51.1-07:53.1  и он будет закончить проектом в полчаса.
q0115  07:53.1-07:55.1  Это может сказать тебе что-то.
q0116  07:55.1-07:57.1  Я выберу Майкла!
q0117  07:57.1-07:59.1  Я не играю.
q0118  07:59.1-08:01.1  Хорошо, темп.
q0119  08:21.1-08:23.1  Ладно, мы будем Волдеморт.
q0120  08:23.9-08:26.2  Тот, кого нельзя называть, так не пойдёт.
q0121  08:27.2-08:28.8  Волдеморт, Волдеморт.
q0122  08:29.1-08:29.6  Ну, серьёзно.
q0123  08:29.8-08:30.8  Волдеморт, Волдеморт.
q0124  08:31.2-08:34.0  Вам не стоит говорить Волдеморт, Волдеморт.
q0125  08:34.5-08:36.7  Стэнли, название твоей команды.
q0126  08:36.8-08:38.8  Мне всё равно, как она называется.
q0127  08:38.9-08:40.8  Тогда я называю твою команду красные.
q0128  08:41.2-08:42.7  Нет, синие.
q0129  08:43.0-08:45.0  Я рассматриваю кандидатуру Стэнли
q0130  08:45.0-08:47.1  из-за всего хорошего,
q0131  08:47.1-08:50.8  что чёрные сделали для Америки.
q0132  08:51.1-08:53.2  Мы будем командой США.
q0133  08:53.8-08:54.5  Очень хорошо.
q0134  08:55.0-08:57.0  Пэм, запиши, что Энди патриотичный.
q0135  08:57.9-08:59.0  Энди Бернард.
q0136  08:59.2-08:59.5  Плюсы.
q0137  08:59.7-09:00.5  Он стильный.
q0138  09:01.0-09:02.1  Он меня понимает.
q0139  09:02.3-09:03.7  Он учился в Корноле.
q0140  09:04.6-09:05.5  Я ему доверяю.
q0141  09:06.5-09:07.3  Минусы.
q0142  09:08.2-09:09.6  Я не совсем ему доверяю.
q0143  09:09.9-09:12.3  Время для великого забега с яйцами на ложках.
q0144  09:12.5-09:14.5  Но этот будет с небольшим прибабахом.
q0145  09:14.8-09:17.5  Нести яйцо на ложке само по себе прибабах.
q0146  09:17.5-09:20.5  Тем, кто должен нести яйцо, завяжут глаза.
q0147  09:20.5-09:21.5  Пожалуйста, положите на твой льда.
q0148  09:22.1-09:24.0  Эта человек, который вытаскивает яйцо, будет вниз.
q0149  09:50.5-09:51.5  Я не хочу ударить таками.
q0150  09:51.5-09:52.0  Что ты делаешь? Нет!
q0151  09:52.4-09:52.9  Ну вот.
q0152  09:53.8-09:55.2  Теперь ты дисквалифицирована.
q0153  09:56.0-09:56.8  Я смирюсь.
q0154  09:58.2-10:00.4  Если провалю сегодня все тесты.
q0155  10:01.0-10:01.4  Честно.
q0156  10:02.6-10:05.5  Потому что для меня эти испытания
q0157  10:05.5-10:10.1  возможность продемонстрировать, в какой я хороший в форме.
q0158  10:10.7-10:11.0  Утка!
q0159  10:13.7-10:15.4  Стоп, стоп, стоп, стоп. Тут яма.
q0160  10:15.9-10:16.1  Давай!
q0161  10:16.9-10:17.8  Перешагни через неё.
q0162  10:18.2-10:18.8  Двигай задом!
q0163  10:19.6-10:21.4  Давай, ленивец, шевели, шились вперёд.
q0164  10:21.5-10:23.1  Отлично, у тебя получилось, теперь налево.
q0165  10:23.3-10:24.2  Ариба, ариба, давай!
q0166  10:24.7-10:26.5  Прекрати это немедленно, иначе я не справлюсь.
q0167  10:26.7-10:27.3  Что ты говоришь?
q0168  10:27.5-10:29.4  Прекрати на меня кричать, или я выйду из соревнований.
q0169  10:29.6-10:30.7  Ну, прости, что я на тебя кричу.
q0170  10:31.0-10:33.1  Быть хорошим капитаном – это значит...
q0171  10:33.1-10:34.3  Я поддерживаю командный дух.
q0172  10:34.5-10:35.3  Слушай свою команду.
q0173  10:36.3-10:37.9  Стой, стой, ещё одна яма, сделай большой шаг.
q0174  10:38.0-10:38.1  Да.
q0175  10:39.1-10:40.6  Боже мой, ты задница.
q0176  10:41.8-10:44.5  Нет ничего лучше, чем прекрасный день на пляже,
q0177  10:44.5-10:47.6  наполненный солнцем, прибоем и...
q0178  10:47.6-10:49.6  Усердным записыванием.
q0179  10:49.8-10:51.6  Там ты пропускаешь события.
q0180  11:04.1-11:08.6  Вперёд! Вперёд! Давай, жми! Жми! Жми! Давай!
q0181  11:09.3-11:10.6  Что за...
q0182  11:11.9-11:12.8  Как поверь?
q0183  11:14.9-11:17.6  Ты молодцы, ты просто фантастика.
q0184  11:17.6-11:24.8  Так, Пэм, у меня для тебя еще один маленький проект
q0185  11:24.8-11:27.5  Он имеет отношение к этим пакетам, полным хот-догами
q0186  11:27.5-11:29.1  Умна как дьявол, да
q0187  11:29.1-11:31.6  Они почти готовы, так что это не обязательно
q0188  11:31.6-11:36.7  Но я буду благодарен, если ты разогреешь 800 хот-догов для следующего соревнования
q0189  11:36.7-11:38.9  Я был бы очень благодарен
q0190  11:38.9-11:39.8  Когда соревнования?
q0191  11:39.9-11:40.8  Через 10 минут
q0192  11:40.8-11:42.1  И как я должна?
q0193  11:42.3-11:43.1  Огромное спасибо
q0194  11:43.1-11:52.3  Так, кто голодный?
q0195  11:52.4-11:55.1  Нет, нет, нет, не трогайте еду, пожалуйста, пока нет
q0196  11:55.1-12:05.1  Для тех, кому любопытно, мировой рекорд 54,5 хот-дога
q0197  12:05.1-12:07.7  Ого, ставим высокие цели
q0198  12:07.7-12:18.7  Отлично. Команда, которая съест больше всех хот-догов за 10 минут будет...
q0199  12:18.7-12:19.7  На тюрьме!
q0200  12:19.7-12:20.7  Садись!
q0201  12:20.7-12:21.7  Да, тюрьмя-мургер?
q0202  12:21.7-12:23.7  Нет, у меня есть только один.
q0203  12:23.7-12:24.7  Я его обеспечил.
q0204  12:24.7-12:25.7  Попробуй!
q0205  12:25.7-12:26.7  Тюрьмя – здоровое мясо.
q0206  12:26.7-12:27.7  Очень хорошо для тебя.
q0207  12:27.7-12:28.7  Я люблю его.
q0208  12:28.7-12:29.7  Я люблю его.
q0209  12:29.7-12:30.7  Я люблю его.
q0210  12:30.7-12:31.7  Я люблю его.
q0211  12:31.7-12:32.7  Я люблю его.
q0212  12:32.7-12:33.7  Пожалуйста!
q0213  12:33.7-12:34.7  Давайте просто...
q0214  12:34.7-12:35.7  Хорошо.
q0215  12:35.7-12:36.7  Это очень важно.
q0216  12:36.7-12:37.7  Это очень важно.
q0217  12:37.7-12:38.7  Это очень важно.
q0218  12:38.7-12:39.7  Это очень важно.
q0219  12:39.7-12:40.7  Так, что вы готовы?
q0220  12:40.7-12:41.7  Внимание!
q0221  12:41.7-12:42.7  Едим!
q0222  12:42.7-12:43.7  А горчицы нет?
q0223  12:43.7-12:44.7  Никакой горчицы!
q0224  12:44.7-12:45.7  Без горчицы!
q0225  12:45.7-12:47.7  Просто ешь!
q0226  12:47.7-12:50.2  Ешь, Филлис, запивай водой, легче пройдет желудок.
q0227  12:51.1-12:53.2  Давайте победителю полагается большой приз.
q0228  12:53.3-12:53.8  Какой это?
q0229  12:54.2-12:55.0  Не могу сказать.
q0230  12:55.1-12:57.1  Не можете сказать или выговорить не можете.
q0231  12:57.2-13:00.2  Победитель получит годовую зарплату управляющего.
q0232  13:00.5-13:03.5  Сибринг и чувство, что он может что-то изменить в мире.
q0233  13:03.5-13:04.8  А можно только первые два пункта?
q0234  13:04.8-13:07.1  Сегодняшний победитель получит мою должность.
q0235  13:09.4-13:09.8  Ясно.
q0236  13:10.6-13:12.8  У меня собеседование на должность в правлении.
q0237  13:13.1-13:15.2  Они приглашают только опытных людей.
q0238  13:15.2-13:18.8  А я очень опытен, так что почти получил место, понятно?
q0239  13:20.0-13:20.8  Вы уходите?
q0240  13:21.3-13:22.8  Я не хотел никому говорить.
q0241  13:23.3-13:25.9  Не хотел омрачать наш прекрасный пляжный день.
q0242  13:26.0-13:26.9  Но знаете что?
q0243  13:27.0-13:30.2  Я не знаю, кого рекомендовать, потому что, честно, никто не подходит.
q0244  13:30.3-13:31.3  Я так голоден.
q0245  13:31.8-13:36.0  Вы хотите, чтобы я поверил, что вы дадите рекомендации на этой основе?
q0246  13:37.1-13:37.6  Слово.
q0247  13:40.1-13:40.7  Поехали?
q0248  13:41.1-13:41.6  Посмотрим.
q0249  13:41.6-13:48.4  Я лучше буду работать на метлу с ведром вместо башки, чем на кого-то из этого офиса, кроме себя самого
q0250  13:48.4-13:50.6  Игра началась
q0251  13:50.6-13:51.9  Давай, давай
q0252  14:02.4-14:03.4  Один во рту.
q0253  14:03.8-14:05.9  Тринадцать хот-догов, смотрите все.
q0254  14:06.5-14:07.1  Клятие!
q0255  14:07.5-14:09.3  Никто не сказал, что будут хот-доги.
q0256  14:13.9-14:14.5  Саботаж.
q0257  14:15.3-14:15.5  Что?
q0258  14:16.2-14:16.8  Что ты говоришь?
q0259  14:17.5-14:18.5  Ты говоришь сэндвич?
q0260  14:18.6-14:18.8  Нет.
q0261  14:19.1-14:20.0  Я говорил это раньше.
q0262  14:20.0-14:20.9  Не сейчас.
q0263  14:20.9-14:23.8  Теперь я говорю, что это саботаж.
q0264  14:24.5-14:27.5  Антидерский арт скрыл ваша команда.
q0265  14:28.5-14:30.5  Я знала, что ты говоришь саботаж.
q0266  14:31.0-14:32.3  Я вам показывала пример.
q0267  14:33.5-14:37.3  Я не понимаю, что Анди говорит, пока он ухудшит.
q0268  14:39.0-14:41.3  Если Майкл организует какой-то группы,
q0269  14:41.3-14:42.8  вы стоите рядом с ним.
q0270  14:50.9-14:55.0  И должны оставаться в защитных рукавицах.
q0271  14:55.6-14:57.1  У нас нет защитных рукавиц.
q0272  14:57.2-14:58.6  Видимо, оставил их в багажнике.
q0273  14:59.0-15:00.0  Ладно, поехали.
q0274  15:00.2-15:01.1  Давай, здоровяк.
q0275  15:02.4-15:04.4  И вперёд!
q0276  15:04.7-15:06.4  Давай, Джим! Давай!
q0277  15:06.9-15:07.5  Что ты делаешь?
q0278  15:08.8-15:09.5  Стоп!
q0279  15:09.7-15:09.9  Давай!
q0280  15:11.8-15:13.1  Отлично, Стэнли!
q0281  15:14.1-15:15.2  Прости за это.
q0282  15:15.3-15:17.0  Хочу обойти по очкам Двайта.
q0283  15:17.4-15:19.0  Да, нет, хорошо, ладно.
q0284  15:19.0-15:20.3  Боже мой.
q0285  15:20.9-15:24.5  Я никогда не видел такого выражения в его глазах.
q0286  15:25.5-15:27.1  Я подумал, что могу погибнуть.
q0287  15:29.6-15:30.3  Пляжный день.
q0288  15:36.3-15:37.6  Вперёд! Вперёд!
q0289  15:37.7-15:40.4  Кто бы из них не возглавил офис, я переведусь в Олбани.
q0290  15:40.9-15:42.5  И он может поехать, если захочет.
q0291  15:43.0-15:44.8  Хотя я хочу покончить с этими отношениями.
q0292  15:45.1-15:46.5  Может, стоит попробовать с женщинами.
q0293  15:47.6-15:49.2  Анджела думает, я могу переключиться.
q0294  15:49.9-15:50.5  Посмотрим.
q0295  15:50.9-15:52.9  Раз, два, три.
q0296  15:52.9-15:54.9  Да! Да!
q0297  15:54.9-15:56.9  Изумительно!
q0298  15:56.9-15:58.9  Гриффиндор!
q0299  16:20.9-16:22.5  Как ты так любишь?
q0300  16:36.3-16:38.3  Помогите! Помогите!
q0301  16:39.5-16:41.8  Анджела! Анджела, эй!
q0302  16:42.1-16:44.0  Ой, слава богу, скажи кому-нибудь.
q0303  16:45.0-16:45.6  Что, Энди?
q0304  16:46.1-16:47.7  Энди, что мне им сказать?
q0305  16:47.7-16:49.6  Скажи, что я уплываю, конечно.
q0306  16:50.3-16:52.4  Я не понимаю, что ты от меня хочешь.
q0307  16:52.9-16:54.1  Анджела, это очень просто.
q0308  16:54.8-16:57.1  Глянь, что со мной, и попроси их помочь мне.
q0309  16:58.5-16:59.0  Прости.
q0310  17:01.1-17:02.1  Пока, Энди.
q0311  17:02.7-17:03.3  Анджела.
q0312  17:04.0-17:06.4  Я знал, что найти преемника будет непросто.
q0313  17:06.8-17:09.1  Я не знал, что это будет невозможно.
q0314  17:10.0-17:12.5  Пока кандидаты разочаровывают меня.
q0315  17:13.5-17:15.3  Джим не принимает всё всерьёз.
q0316  17:15.7-17:17.0  Стэнли разошёлся.
q0317  17:17.4-17:18.3  А Энди, где он?
q0318  17:18.3-17:19.8  Где черти носит Энди?
q0319  17:21.4-17:22.4  Где он, Пэм?
q0320  17:22.9-17:23.4  Ты знаешь?
q0321  17:24.9-17:26.3  Да выйдет по очкам.
q0322  17:26.9-17:28.0  Думаю, они равны.
q0323  17:28.4-17:31.2  Несколько раз выдавали Джиму 10 очков,
q0324  17:31.4-17:32.8  Дуайту золотую медаль,
q0325  17:33.0-17:34.1  а Стэнли – браво.
q0326  17:34.9-17:36.3  Я не знаю, как это сравнивать.
q0327  17:36.4-17:38.6  Посмотри, есть ли в тетради расчётный график.
q0328  17:39.0-17:40.1  Я очень сомневаюсь, Майкл.
q0329  17:40.2-17:41.0  Прошу, проверь.
q0330  17:42.5-17:43.2  Отлично.
q0331  17:43.6-17:45.1  Да, увидимся на следующей неделе.
q0332  17:45.5-17:46.0  Спасибо.
q0333  17:46.0-17:47.6  Передаю Карен Филиппели.
q0334  17:48.3-17:48.6  Пока.
q0335  17:50.6-17:51.1  Алло.
q0336  17:52.0-17:53.0  Да, привет, Дэвид.
q0337  17:53.8-17:56.3  Да, я с удовольствием попробуюсь на работу в карьере.
q0338  17:57.3-17:58.0  В карьере?
q0339  17:58.2-17:58.9  Ради карьеры.
q0340  17:59.3-18:00.9  Как ты будешь работать в карьере?
q0341  18:01.9-18:02.2  Да.
q0342  18:02.3-18:03.1  Я просто хочу знать.
q0343  18:03.5-18:04.4  Погоди минуту.
q0344  18:05.2-18:06.0  Это будет здорово.
q0345  18:06.0-18:07.8  Если землекопом в карьер, то я не хочу.
q0346  18:08.1-18:08.6  Не хочу.
q0347  18:09.6-18:12.1  Что больше всего нужно великому управляющему?
q0348  18:14.6-18:15.2  Отвага.
q0349  18:15.2-18:16.3  Как это?
q0350  18:16.3-18:20.2  То есть, разумеется, умная мысль.
q0351  18:20.6-18:23.0  Я больше не могу. Пойду посижу в автобусе.
q0352  18:23.2-18:25.2  Ты проиграл, Стэнли.
q0353  18:25.9-18:30.2  А оставшиеся пока весело проведут время, сразятся со своим страхом
q0354  18:30.2-18:36.5  и оставят по себе память, пройдя через огонь.
q0355  18:40.3-18:43.7  У кого из вас есть мужество, чтобы заменить меня?
q0356  18:43.7-18:46.8  Пусть он пройдёт по этим углям.
q0357  18:56.8-19:03.0  Я это сделаю.
q0358  19:03.2-19:05.7  Надеюсь, что я обожгу ноги и отправлюсь в больницу.
q0359  19:06.9-19:09.3  Это правильное настроение для прогулки по углям, да?
q0360  19:11.3-19:13.1  Нет, нет, нет, не ты, Пэм.
q0361  19:13.1-19:14.1  Ты считаешь очки?
q0362  19:14.1-19:15.0  Я хочу попробовать.
q0363  19:15.4-19:16.0  Бессмысленно.
q0364  19:16.0-19:17.5  Я не шучу, я правда хочу это сделать.
q0365  19:17.5-19:19.0  Ясно. Тут нужно мужество.
q0366  19:19.8-19:22.1  Управление филиалом требует мужества.
q0367  19:22.8-19:23.9  Джим, ты в порядке?
q0368  19:24.9-19:25.1  Нет.
q0369  19:26.1-19:26.9  Почему не?
q0370  19:27.0-19:27.2  Давай.
q0371  19:27.6-19:28.8  О, потому что я не хочу, чтобы мои ноги сгибаются.
q0372  19:31.7-19:35.3  Ты не можешь, чтобы быть региональным менеджером.
q0373  19:36.3-19:36.7  Это наш.
q0374  19:37.1-19:37.7  Кто следующий?
q0375  19:38.0-19:38.5  Анди.
q0376  19:38.8-19:39.5  Где Анди?
q0377  19:40.2-19:41.7  Анди не здесь сегодня.
q0378  19:43.1-19:46.8  Эй, кто там?
q0379  19:48.0-19:49.3  Меня зовут Энди Бернард.
q0380  19:49.6-19:51.0  Я из компании Данвер Мифлен.
q0381  19:54.6-19:55.3  Ау?
q0382  19:56.7-19:58.7  Почему вы не пройдёте, Майкл?
q0383  19:58.7-20:00.2  Потому что я уже это делал.
q0384  20:00.5-20:01.1  Помнишь?
q0385  20:01.4-20:04.6  Я сжёг свою ногу на гриле Джорджа Формана.
q0386  20:04.8-20:06.7  Это совсем не то же самое.
q0387  20:07.4-20:10.5  Если просите других сделать такое, должны сами это сделать.
q0388  20:10.5-20:11.2  Ладно, хорошо.
q0389  20:13.1-20:20.2  Ладно.
q0390  20:21.3-20:23.2  Так.
q0391  20:25.3-20:26.0  Вперед.
q0392  20:30.0-20:35.4  Разум должен защитить ступни.
q0393  20:43.1-21:20.4  DimaTorzok DimaTorzok
q0394  21:20.4-21:24.4  Один, два, три, поехали!
q0395  21:32.4-21:33.1  Нет!
q0396  21:33.8-21:34.7  Всё в порядке.
q0397  21:35.5-21:36.6  Я это сделаю, Майкл.
q0398  21:36.9-21:43.5  Нет, Дуайт, я пойду и буду стоять на этих углях, пока вы не дадите мне место управляющего филиалом.
q0399  21:45.9-21:46.5  Ого.
q0400  21:48.1-21:49.5  Да, Дуайт.
q0401  21:50.1-21:51.6  Дуайт! Дуайт!
q0402  21:53.0-21:54.2  Двигайся, пока ты там.
q0403  21:54.2-21:54.8  Продолжай идти.
q0404  21:54.9-21:55.5  Продолжай идти.
q0405  21:56.4-21:58.5  Дайте мне должность! Дайте мне должность!
q0406  21:58.6-22:00.1  Я не собираюсь отдавать её тебе.
q0407  22:00.7-22:02.2  Не вставай на колени, на угли.
q0408  22:02.5-22:04.7  Боже мой! Майкл, сделайте что-нибудь.
q0409  22:05.1-22:06.4  Боже, как воняет!
q0410  22:07.9-22:09.0  Дуайт, хватит!
q0411  22:09.3-22:11.0  Быть боссом значит держать лицо.
q0412  22:12.7-22:15.7  Я никогда не выглядел так.
q0413  22:15.7-22:17.3  Это было ужасно.
q0414  22:17.3-22:21.6  Я просто не вижу связи между прогулкой по огню и управлением.
q0415  22:22.1-22:24.7  Самая бесполезная трата 75 долларов.
q0416  22:36.7-22:38.8  Слушайте, я не...
q0417  22:38.8-22:43.1  Я не хочу оставлять любимый филиал на стороннего сотрудника,
q0418  22:43.1-22:50.2  Поэтому у нас будет абсолютное на 100 очков самое последнее испытание.
q0419  22:50.8-22:53.1  Победитель получает всё.
q0420  22:53.5-23:00.3  Чтобы проверить пригодность для моей должности по самому важному параметру, который я называю актер Боба Хоупа.
q0421  23:00.4-23:01.4  Кто такой Боб Хоуп?
q0422  23:01.8-23:04.3  Боже, он... он комик.
q0423  23:05.0-23:06.4  О, как Аманда Байнс.
q0424  23:06.4-23:07.5  Кто такая Аманда Байнс?
q0425  23:07.8-23:09.2  Из чего хотят девушки?
q0426  23:09.5-23:10.7  О, я люблю этот фильм.
q0427  23:11.1-23:11.7  Да.
q0428  23:12.3-23:13.1  Келли права.
q0429  23:13.1-23:18.0  У того, кто заменит меня, должно быть великолепное чувство юмора.
q0430  23:18.0-23:23.5  И он должен обладать лидерскими качествами Байенс или Холпа.
q0431  23:28.4-23:37.1  Так что, без лишних слов, Джим и Дуайт, покажите, что у вас есть.
q0432  23:37.1-23:46.5  Эй, я знаю, что вам нужно, но я буду честным, не думаю, что я хочу быть вашим преемником
q0433  23:46.5-23:48.9  Ты слишком скромен
q0434  23:48.9-23:54.1  Майкл, в четверг я поеду на собеседование к Дэвиду на должность в Нью-Йорке
q0435  23:54.1-23:59.2  Ладно, это не смешно
q0436  23:59.2-24:06.2  Я забираю 60 очков у Волдеморта за ложные притязания
q0437  24:07.0-24:09.6  Ладно, Дуайт, твоя очередь, удиви нас.
q0438  24:11.0-24:11.9  Аристократы.
q0439  24:12.5-24:16.3  Муж, жена и дети приходят в актерское агентство.
q0440  24:21.8-24:26.3  И агент говорит, опишите свои таланты.
q0441  24:26.5-24:29.7  А мужчина рассказывает нечто очень неприличное.
q0442  24:29.7-24:35.1  Тогда агент спрашивает их, как вы себя называете?
q0443  24:35.1-24:38.1  А мужчина говорит «Аристократы».
q0444  24:40.6-24:53.3  Это очень-очень смешная история.
q0445  24:53.6-24:55.7  Эй! Я хочу сказать кое-что.
q0446  24:56.8-25:00.9  Я в последнее время стараюсь быть честной, и я хочу сказать несколько слов.
q0447  25:01.2-25:03.8  Я прошлась по углем. Просто сделала это.
q0448  25:04.7-25:06.3  Майкл, даже вы не смогли это сделать.
q0449  25:06.8-25:08.5  Может, мне стоит быть вашим боссом?
q0450  25:10.4-25:12.0  Ого, теперь мне гораздо легче.
q0451  25:14.1-25:16.4  Почему никто из вас не пришёл на мою выставку?
q0452  25:17.9-25:19.2  Я вас всех приглашала.
q0453  25:19.6-25:20.6  Это был полный отстой.
q0454  25:22.1-25:24.1  Вы ведёте себя, будто меня не существует.
q0455  25:29.7-25:31.8  Джим, я из-за тебя отменила свою свадьбу.
q0456  25:32.7-25:33.9  А теперь мы даже не друзья.
q0457  25:35.8-25:38.4  И между нами всё очень странно, и это тоже отстой.
q0458  25:39.5-25:41.0  И мне тебя не хватает.
q0459  25:42.2-25:44.4  Ты был моим лучшим другом, пока не уехал в Стэнфорд.
q0460  25:45.5-25:47.0  И мне правда тебя не хватает.
