q0001  00:30.0-00:31.0  Я не могу.
q0145  06:50.6-06:53.2  Знаете, кто мне нравится?
q0146  06:53.6-06:55.2  Этот парень, Энди Бернард
q0147  06:55.2-06:57.1  Он умеет хорошо себя подать
q0148  06:57.1-07:02.0  И теперь им придётся расследовать
q0149  07:02.0-07:02.6  Вкусно?
q0150  07:02.9-07:05.2  Да ладно! Выгните его отсюда!
q0151  07:05.6-07:07.3  Нам тут такие прически не нужны
q0152  07:07.3-07:09.3  Рад тебя видеть, приятель
q0153  07:09.3-07:11.6  А вы Мартин Нэш, я полагаю
q0154  07:11.6-07:13.5  Вот вам пакетик подарков бесплатно
q0155  07:13.5-07:15.9  Идите за мной, покажу, где работают рабы.
q0156  07:16.0-07:16.5  Нет, да.
q0157  07:16.8-07:18.5  Значит, ваш стол...
q0158  07:19.2-07:21.1  Привет, я Джим. Я тут новичок.
q0159  07:21.4-07:22.5  Боже мой, это и правда ты.
q0160  07:23.8-07:26.2  Я хотел пошутить, будто мы с тобой не знакомы.
q0161  07:26.2-07:27.0  Знаю, мне плевать.
q0162  07:27.8-07:29.8  Шикарно. Хорошо вернуться.
q0163  07:34.6-07:36.3  Какие у меня отношения с Пэм?
q0164  07:47.5-07:50.5  Экий котяра притащился из Стэнфорда
q0165  07:50.5-07:52.0  Привет, Дуайт
q0166  07:52.0-07:52.8  Помни
q0167  07:52.8-07:54.5  Я старше
q0168  07:54.5-07:55.6  Я мудрее
q0169  07:55.6-07:57.1  Не шути со мной
q0170  07:57.1-07:58.3  Ясно, как скажешь
q0171  07:58.3-08:00.3  Что ты делаешь?
q0172  08:00.7-08:01.3  Ты о чем вообще?
q0173  08:02.0-08:02.7  У меня пятно на лбу?
q0174  08:02.7-08:03.6  Нет, все хорошо
q0175  08:03.6-08:06.2  Почему ты смотришь на мой лоб?
q0176  08:06.4-08:06.9  Не смотрю
q0177  08:06.9-08:09.6  Смотри мне в глаза, Джим
q0178  08:09.6-08:10.2  Смотрю
q0179  08:10.2-08:12.2  Прекрати, идиотничать
q0180  08:12.2-08:13.0  Ладно
q0181  08:13.0-08:15.2  Всем привет
q0182  08:15.2-08:16.3  С возвращением
q0183  08:16.3-08:17.7  Привет, как дела, приятель?
q0184  08:17.8-08:18.2  Рад видеть
q0185  08:18.2-08:18.9  Хорошо, а ты?
q0186  08:23.0-08:23.5  Итак
q0187  08:23.5-08:26.7  О, прости, это же теперь твоё место
q0188  08:26.7-08:27.6  Да
q0189  08:27.6-08:29.2  Ого
q0190  08:29.2-08:33.6  Ну, тогда мне, наверное, не нужно
q0191  08:33.6-08:34.6  Наверное, стоит собраться.
q0192  08:36.9-08:39.2  Нет, знаешь, теперь это твое место.
q0193  08:39.8-08:40.1  Спасибо.
q0194  08:43.2-08:44.2  Я заберу.
q0195  08:46.1-08:46.5  Спасибо.
q0196  08:51.9-08:52.9  Здесь занято?
q0197  08:53.2-08:53.8  Нет? Хорошо.
q0198  08:56.3-08:57.4  Да, Джим, славный парень.
q0199  08:58.5-08:59.8  Поэтому стол теперь мой.
q0200  09:03.6-09:05.6  Если люди, ты можешь обучать?
q0201  09:05.6-09:08.6  О, да, я могу.
q0202  09:08.6-09:12.6  В общем, они не дают мне много ответственности,
q0203  09:12.6-09:15.6  но они позволят мне распределить документы компании,
q0204  09:15.6-09:18.6  и это все, что я нужна.
q0205  09:33.6-09:35.1  Рут, заместитель управляющего.
q0206  09:35.4-09:37.8  Энди Бернард, региональный директор по продажам.
q0207  09:38.4-09:39.5  Значит, ты подчиняешься мне.
q0208  09:39.8-09:40.1  Наоборот.
q0209  09:40.8-09:42.4  В моей должности слово «управляющий».
q0210  09:42.4-09:43.5  А я директор.
q0211  09:44.8-09:46.7  На любых съёмках директор самый главный.
q0212  09:47.8-09:49.1  Слыхал что-нибудь про фильмы?
q0213  09:49.5-09:50.7  Я знаю всё про фильмы.
q0214  09:51.4-09:52.8  Я смотрел более 240.
q0215  09:54.6-09:55.3  Поздравляю.
q0216  10:03.6-10:05.6  Добрый день!
q0217  10:33.6-10:35.6  Это было так круто!
q0218  10:35.6-10:37.6  Это будет шредить ничего.
q0219  10:37.6-10:39.6  Это будет шредить CD.
q0220  10:41.6-10:43.6  Это будет шредить...
q0221  10:45.6-10:47.6  ...кредит карта.
q0222  10:47.6-10:49.6  Это будет шредить...
q0223  10:53.6-10:55.6  Я представляю ознакомительное видео.
q0224  10:55.6-10:57.6  Есть разговор?
q0225  10:57.6-10:58.6  Не сейчас.
q0226  10:58.6-11:02.6  Кто главнее? Помощник управляющего филиалом или региональный директор по продажам?
q0227  11:02.6-11:05.2  Должности ничего не значит, просто разная зарплата.
q0228  11:05.4-11:07.2  Ладно, кому платят больше, мне или Энди?
q0229  11:07.3-11:10.4  Не важно, больше или меньше, твоя зарплата отличается, ясно?
q0230  11:10.6-11:11.0  Хорошо.
q0231  11:11.7-11:12.8  Начнём представление.
q0232  11:13.2-11:14.9  Так кто кому подчиняется?
q0233  11:15.4-11:16.4  Да мне плевать.
q0234  11:16.9-11:20.0  Дуайт, вы все подчиняетесь мне, только это важно.
q0235  11:20.1-11:22.1  В конце концов, решите это между собой, ясно?
q0236  11:22.2-11:23.5  И если я захочу...
q0237  11:23.5-11:26.4  Разбирайтесь между собой, мне надо компанией управлять.
q0238  11:26.5-11:27.2  Ты мне позволишь?
q0239  11:27.5-11:28.0  Да?
q0240  11:28.3-11:28.6  Один.
q0241  11:28.8-11:29.2  Прошу.
q0242  11:32.6-11:58.1  Ладно, все устроились.
q0243  11:58.1-11:59.0  Хорошо.
q0244  11:59.0-12:02.2  Давайте все перейдем в переговорную.
q0245  12:02.6-12:06.4  Или, лучше сказать, банкетный зал.
q0246  12:07.3-12:08.6  Фарабанная дробь.
q0247  12:12.6-12:14.6  Официальный день слияния.
q0248  12:15.3-12:18.1  Семейный приветственный завтрак. Заходите.
q0249  12:32.6-13:02.6  Добавил субтитры.
q0250  13:02.6-13:09.3  Я приготовил видеоинструктаж специально для вас, новоприбывших.
q0251  13:09.3-13:15.0  Но это не обычный видеоинструктаж, какие вы привыкли видеть.
q0252  13:15.7-13:17.0  Он смешной.
q0253  13:17.9-13:26.5  В нем есть изюминка, и, надеюсь, это даст вам представление о том, как идут дела в Дандер Мифлин.
q0254  13:26.9-13:29.4  И как все устроено в Скрэнтоне.
q0255  13:29.4-13:34.4  Так что давайте вместе посмеемся и посмотрим ленивый скрентом.
q0256  13:35.3-13:37.4  Сижу в кабинете с беконом горячим.
q0257  13:38.1-13:40.2  Думаю, то позвоню, обстановку узнаю.
q0258  13:40.4-13:42.3  Йо, Майк, наш офис самый лучший.
q0259  13:42.5-13:45.3  И как у нас живется, садись и сам послушай.
q0260  13:51.0-13:53.4  Укусит паучок, ты к врачу помчишься.
q0261  13:53.6-13:55.2  Страховку возьми, подлечиться.
q0262  13:55.5-13:56.7  Чтобы подлечиться.
q0263  13:56.7-14:00.5  Это напоминает мне видеоинструктаж, который Майкл показывал в мой первый день.
q0264  14:01.1-14:02.7  Проект «Ведьма из Скрэнтона».
q0265  14:03.5-14:07.9  Мне так страшно, когда люди не подписывают свою еду.
q0266  14:13.3-14:18.5  На нашей стоянке места полно, но маленьким тачкам место выделено.
q0267  14:21.0-14:25.0  Ну, пока что, думаю, это убийственно.
q0268  14:25.0-14:28.2  Думаю, это на 5 или 5 с плюсом.
q0269  14:28.5-14:31.8  Но я совсем забыл, что есть 5 с двумя плюсами.
q0270  14:55.0-14:57.0  Поехали.
q0271  15:28.2-15:30.2  Я пытаюсь под его кожей?
q0272  15:30.2-15:31.7  Да.
q0273  15:31.7-15:33.7  Потому что, чем он сжигает,
q0274  15:33.7-15:35.7  тем более маржиналированным.
q0275  15:35.7-15:37.7  В связи с Андей Брэнардом,
q0276  15:37.7-15:40.7  ловит на шарм.
q0277  15:40.7-15:42.7  Эй, Эй, Ангела.
q0278  15:42.7-15:44.7  Посмотри.
q0279  15:44.7-15:46.7  Моя новая обойка.
q0280  15:46.7-15:50.2  Нравится?
q0281  15:50.9-15:52.0  Да, в целом нравится.
q0282  15:52.4-15:53.0  Спасибо.
q0283  15:55.1-15:58.4  Кстати, у тебя прекрасная улыбка.
q0284  15:59.7-16:00.3  Спасибо.
q0285  16:00.7-16:01.3  Не за что.
q0286  16:04.0-16:04.3  Эй!
q0287  16:05.1-16:05.7  Эй!
q0288  16:06.1-16:07.4  А как же виноградный лимонад?
q0289  16:07.9-16:09.6  О, стараюсь о нём забыть.
q0290  16:10.1-16:12.0  Теперь пью воду в бутылках.
q0291  16:13.0-16:14.7  Ты так изменился.
q0292  16:14.7-16:16.4  Я эволюционирую, Пэм.
q0293  16:16.7-16:18.8  Ну и когда я все услышу?
q0294  16:19.4-16:21.1  Ты еще не разобрал вещи?
q0295  16:21.5-16:23.0  Может, выпьем кофе после работы?
q0296  16:24.9-16:26.4  Вечером вообще-то нет.
q0297  16:26.7-16:28.0  Я все еще устраиваюсь.
q0298  16:28.1-16:29.4  О, да, поняла. Как хочешь.
q0299  16:43.1-16:44.1  Ладно, хорошо.
q0300  16:44.1-16:45.6  Мне пора возвращаться к работе.
q0301  16:45.6-16:46.7  Быка за рога?
q0302  16:46.7-16:47.9  Да, я знаю, мне тоже.
q0303  16:48.2-16:48.5  Хорошо.
q0304  16:52.9-16:54.2  Трень идёт хорошо.
q0305  16:55.0-16:57.0  Немного беспорядочно, но хорошо.
q0306  16:58.1-16:58.5  Отлично.
q0307  16:59.8-17:01.8  Много отвлекает, но всё прекрасно.
q0308  17:08.0-17:10.0  Фотографию сделай, удобнее рассматривать.
q0309  17:10.9-17:13.6  Простите, просто это немного отвлекает.
q0310  17:13.6-17:15.1  Аналогично, братишка.
q0311  17:45.6-17:48.6  Чем это воняет?
q0312  17:49.5-17:50.4  Чем воняет?
q0313  17:52.0-17:55.3  Как от поганого освежителя воздуха.
q0314  17:56.5-17:57.6  Пахнет, как в морге.
q0315  17:58.0-17:59.1  О, давай поищем.
q0316  18:02.4-18:04.6  О, знаете, ничего страшного.
q0317  18:04.8-18:05.3  Что такое?
q0318  18:06.5-18:08.8  Я... кажется, у меня аллергия на ваши духи.
q0319  18:10.1-18:10.9  Мои духи?
q0320  18:11.2-18:12.6  У меня странное обоняние.
q0321  18:12.6-18:16.3  Я привыкла к другим запахам.
q0322  18:16.7-18:20.1  Боб Вэнс купил мне эти духи в центре Орландо.
q0323  18:20.6-18:22.0  Они из натуральной сосны.
q0324  18:23.0-18:24.0  Кто такой Боб Вэнс?
q0325  18:24.8-18:27.2  Тебе ещё многое надо узнать о нашем городе, милочка.
q0326  18:29.5-18:31.8  Не знаю, кем они себя возомнили.
q0327  18:32.2-18:35.4  Я нюхаю вонючие духи Филли с годами.
q0328  18:36.3-18:37.5  И не сказал ни слова.
q0329  18:37.9-18:40.6  Люди ненавидят тех, кто от них отличается.
q0330  18:40.6-18:55.4  Это естественно. Но знаете, что заставляет их забыть об отличиях? Прекрасное шоу. Вот почему я придумал праздник интеграции. Это момент, когда Скрэнтон станет единым целым. Объединиться в овации.
q0331  18:55.4-18:59.7  Я знаю, что думают большинство из вас
q0332  18:59.7-19:01.5  Ого, ну и денёк
q0333  19:01.5-19:04.0  Больше похоже на вечеринку, чем на рабочий день
q0334  19:04.0-19:05.9  По-моему, бизнес
q0335  19:05.9-19:10.0  И должен быть похож на вечеринку
q0336  19:10.0-19:12.0  Вечеринку в...
q0337  19:12.0-19:14.0  Вечеринку...
q0338  19:16.5-19:18.2  В Роксбери
q0339  19:18.2-19:23.1  Так, здесь должна быть музыка и...
q0340  19:23.1-19:24.0  Я сам, я сам!
q0341  19:24.0-19:25.0  Дуайт
q0342  19:25.0-19:26.0  Просто...
q0343  19:26.0-19:27.0  У вас там батарейки стоят.
q0344  19:27.0-19:28.0  У вас там батарейки стоят.
q0345  19:28.0-19:29.0  Эм...
q0346  19:35.0-19:37.0  Так, танцуем, танцуем.
q0347  19:37.0-19:38.0  Да.
q0348  19:45.0-19:47.0  Поехали, поехали.
q0349  19:50.0-19:52.0  Простите, простите, простите.
q0350  19:55.0-19:56.4  Ты, я, ты, я, ты, я.
q0351  19:57.6-20:01.0  Ты, я, ты, я, ты, я, ты, я, ты, я, ты, я, ты, я.
q0352  20:01.3-20:03.6  О, у меня чешется нос, у меня чешется нос.
q0353  20:04.1-20:05.2  Наверное, порошочка.
q0354  20:09.2-20:11.3  Я говорил, у этого парня есть чувство выбора.
q0355  20:11.3-20:13.2  Очень весело, Майкл, правда, смешно.
q0356  20:13.2-20:14.6  Ладно, ладно, ладно, я в ударе.
q0357  20:14.9-20:16.7  Для чего новички посажены на стол?
q0358  20:18.2-20:21.0  Чтобы показать им, что мы не такие, как они.
q0359  20:22.2-20:23.7  А мы не должны быть равны?
q0360  20:24.2-20:24.9  Не сегодня.
q0361  20:25.8-20:26.0  Нет.
q0362  20:27.8-20:31.9  Тони, будь добр, присоединяйся к своей команде на столе.
q0363  20:34.1-20:35.4  Мне тяжело это сделать.
q0364  20:36.2-20:37.5  Я понимаю, мы все друзья.
q0365  20:38.7-20:41.6  Нет, я физически не могу. Не могу забраться на стол.
q0366  20:42.1-20:42.8  О, хорошо.
q0367  20:44.2-20:48.9  Просто используй инерцию своей нижней части, чтобы залезть наверх.
q0368  20:55.0-20:59.6  Знаешь что, я помогу, помогу.
q0369  20:59.6-21:00.2  Нет, не надо.
q0370  21:00.6-21:01.3  Не стесняйся.
q0371  21:01.7-21:02.7  Дуайт, давай, помоги.
q0372  21:02.8-21:04.1  Давай, у нас всё получится.
q0373  21:04.3-21:05.4  На три, раз, два.
q0374  21:05.8-21:06.8  На колени встань.
q0375  21:07.0-21:08.1  Так, поехали, давай.
q0376  21:08.6-21:10.6  Я тут, я под его развилкой.
q0377  21:11.9-21:14.7  Не знаю, за что я держусь, но на ощупь приятно.
q0378  21:15.0-21:16.6  Толкай, толкай, подсаживай.
q0379  21:16.8-21:19.6  Нет, отпустите меня, отпустите, отпустите, живо, живо.
q0380  21:19.6-21:21.0  У тебя получится, получится.
q0381  21:21.4-21:23.0  С меня хватит, отпустите сейчас же.
q0382  21:23.7-21:24.6  Ладно, ладно.
q0383  21:24.6-21:25.6  Тише, тише.
q0384  21:25.9-21:26.2  Тише.
q0385  21:26.7-21:27.3  Мне жаль.
q0386  21:27.8-21:29.6  Мне это всё не подходит.
q0387  21:29.9-21:31.5  Я лучше пойду.
q0388  21:32.2-21:33.3  Я ухожу.
q0389  21:34.4-21:35.1  Я не понимаю.
q0390  21:35.5-21:36.6  Меня всё это оскорбляет.
q0391  21:37.5-21:39.5  И мне это не нравится.
q0392  21:40.1-21:41.4  Мы тебя затолкаем, приятель.
q0393  21:41.5-21:43.0  Я не могу здесь работать.
q0394  21:43.3-21:44.4  Мне лучше уволиться.
q0395  21:46.8-21:49.0  Ты не можешь уволиться в первый день?
q0396  21:49.5-21:51.5  Это вересик, друг мой.
q0397  21:51.5-21:55.2  Ладно, давай поговорим об этом, что случилось.
q0398  22:01.4-22:07.7  Это ваш стиль управления.
q0399  22:09.9-22:11.5  Мой стиль управления?
q0400  22:14.3-22:16.8  Думаешь, ленивый Скрэнтон был не смешным?
q0401  22:16.8-22:17.1  Нет.
q0402  22:18.3-22:19.6  А это должно быть смешно?
q0403  22:19.6-22:21.2  Так, хорошо.
q0404  22:21.5-22:26.0  Не волнуйся об уходе, потому что ты уволен.
q0405  22:26.2-22:26.7  Простите?
q0406  22:27.1-22:27.8  Ты уволен.
q0407  22:28.6-22:30.8  Прости, но в этой команде чипенцы не нужны.
q0408  22:31.7-22:32.6  Освободи свой стол.
q0409  22:33.0-22:34.8  На моём столе только бланки заказов.
q0410  22:35.1-22:36.7  Не пытайся оправдываться передо мной.
q0411  22:36.8-22:38.4  Слишком поздно. Просто уходи.
q0412  22:40.4-22:42.4  И забери с собой свой дурной настрой.
q0413  22:43.1-22:44.0  Это был мой совет.
q0414  22:44.3-22:45.7  Помните, я вам советовал уволить его?
q0415  22:45.9-22:48.1  Наверное, лучший совет, который ты мне давал, Дуайт.
q0416  22:48.1-22:52.4  А Энди давал вам когда-нибудь совет, которому вы последовали?
q0417  22:53.3-22:55.2  Кто-нибудь сможет это оценить?
q0418  22:56.3-22:57.3  Есть советы?
q0419  23:10.8-23:12.8  Тони был прав, здесь не рабочая атмосфера.
q0420  23:13.8-23:17.1  Может, потому что некоторые ведут себя, будто владельцы стрип-клуба Хутерс.
q0421  23:20.1-23:23.4  Хутерс — это ресторант. Их 400 по всему миру.
q0422  23:23.4-23:27.0  А мне обязательно дружить вне работы. Знаете, мы просто работаем вместе.
q0423  23:27.1-23:28.3  Нет, мы должны дружить.
q0424  23:28.8-23:30.9  Можем мы просто поладить?
q0425  23:36.8-23:40.4  Слово «слияние» созвучно по смыслу со свадьбой.
q0426  23:41.1-23:42.7  И так и должно было быть сегодня.
q0427  23:43.0-23:44.8  Союз многих любящих людей.
q0428  23:45.1-23:49.0  А вместо этого получилось как переезд моей мамы Джефф.
q0429  23:50.8-23:53.4  И снова мне придется все исправлять.
q0430  23:54.5-23:56.2  Эй, слушайте все!
q0431  23:56.2-23:57.5  Кое-что случилось.
q0432  23:57.5-23:59.5  Эти парни из холодильника Вэнса?
q0433  23:59.9-24:01.4  Они нам всем шина спустили?
q0434  24:01.5-24:01.7  Что?
q0435  24:01.9-24:03.9  Они нас опустили, конкретно опустили.
q0436  24:04.0-24:04.2  Идём.
q0437  24:04.9-24:05.2  Идём.
q0438  24:18.4-24:19.9  Боже, как они нас?
q0439  24:20.4-24:21.8  Нельзя им это спускать.
q0440  24:22.4-24:26.5  Нам надо собраться всем вместе и украсть их холодильники.
q0441  24:26.5-24:27.1  Да!
q0442  24:27.1-24:27.7  Да?
q0443  24:28.4-24:29.5  Не думаю, что мы можем это сделать.
q0444  24:29.5-24:31.3  Иди домой, Тоби, просто...
q0445  24:31.3-24:33.9  Почему у вашей машины всё в порядке?
q0446  24:34.2-24:34.5  Почему?
q0447  24:34.8-24:36.0  Я скажу тебе, почему.
q0448  24:36.3-24:38.3  Потому что худшие они приготовили мне.
q0449  24:39.0-24:41.5  Они мне подсунули злобную записку под дворник.
q0450  24:41.7-24:43.3  Ты посмотри, сколько злости.
q0451  24:43.6-24:44.7  Вы отстойники.
q0452  24:45.3-24:47.9  Вы никогда не соберётесь вместе и не отомстите нам.
q0453  24:48.1-24:49.6  Поэтому вы отстойники.
q0454  24:50.0-24:51.0  Скажу только Ого.
q0455  24:51.8-24:52.9  Нет, нет, нет, нет, нет.
q0456  24:53.2-24:54.1  Вы им поддаётесь.
q0457  24:54.1-24:55.4  Вы идёте у них на поводу.
q0458  24:55.9-24:57.6  Именно этого они от вас и ждут.
q0459  24:57.9-24:58.9  А что он за тип?
q0460  24:59.0-25:00.8  Боша, я попытаюсь объяснить.
q0461  25:05.1-25:06.3  Этого пьюща!
q0462  25:08.9-25:10.3  Этого пьюща!
q0463  25:13.8-25:15.1  Он всегда такой.
q0464  25:15.4-25:17.2  Иногда ещё наряжается в кого-нибудь.
q0465  25:17.8-25:18.8  Когда же вы работаете?
q0466  25:19.6-25:21.1  Находим время в течение дня.
