q0001  00:00.3-00:01.4  Ладно, начнём.
q0050  02:23.3-02:25.1  Это потрясающе!
q0051  02:25.7-02:26.9  Привет, чуваки!
q0052  02:27.8-02:30.1  На Ямайке, в Сандалс.
q0053  02:30.2-02:33.8  Когда кто-то говорит «Привет, чуваки», все говорят ему «Привет, чувак!»
q0054  02:33.8-02:35.3  Майкл, я рад, что вы здесь.
q0055  02:35.5-02:38.3  Стэнли, знаешь что, я тоже рад тебе видеть.
q0056  02:38.3-02:41.0  Моя премия была на 100 долларов меньше, чем вы обещали.
q0057  02:41.2-02:43.0  За это отвечает фонд зарплаты.
q0058  02:43.1-02:44.4  Они сказали говорить с вами.
q0059  02:44.9-02:47.7  Ну, я только что приехал, так что собираюсь.
q0060  02:47.7-02:50.8  Я палец о палец не ударю, пока не получу свою премию.
q0061  02:50.8-02:54.6  Ты гораздо скучнее, чем твои ямайские братья.
q0062  02:55.5-02:56.1  Чувак.
q0063  02:58.2-02:59.7  Хочешь поговорить об этом?
q0064  03:00.3-03:00.6  Нет.
q0065  03:04.1-03:05.9  Я ещё и не нашла квартиру.
q0066  03:06.6-03:07.4  Я живу в отеле.
q0067  03:08.3-03:10.9  Вчера на улице я показала Джиму объявление об аренде,
q0068  03:11.2-03:13.4  а он сказал, что не думает, что это хорошая мысль.
q0069  03:13.9-03:16.2  Он сказал, это будет, будто мы живём вместе.
q0070  03:16.9-03:17.8  В разных домах.
q0071  03:18.7-03:19.6  За два квартала.
q0072  03:20.8-03:22.0  Чувство горячи!
q0073  03:24.5-03:25.8  Чувство горячи!
q0074  03:28.2-03:29.5  Чувство горячи!
q0075  03:32.0-03:33.3  Чувство горячи!
q0076  03:34.0-03:36.4  Пока выучил только это, но буду практиковаться.
q0077  03:36.6-03:37.0  Неплохо.
q0078  03:38.8-03:40.9  Знаешь, я раньше не выезжал из страны.
q0079  03:42.0-03:44.9  Теперь посмотрел, как живут на Ямайке, и это прекрасно.
q0080  03:45.2-03:47.3  Знаешь, они расслаблены, всё время праздники.
q0081  03:47.5-03:48.9  Это же разорённая страна.
q0082  03:48.9-03:50.4  Да. Боже.
q0083  03:50.8-03:51.8  Прекрасно.
q0084  03:52.1-03:53.1  Знаешь, Топэм?
q0085  03:53.8-03:54.4  Запиши.
q0086  03:54.8-03:59.6  Я хочу, чтобы каждый день в три все пили и на коладу.
q0087  04:00.1-04:02.0  Сегодня нам нельзя, у нас инвентаризация.
q0088  04:02.3-04:03.7  Инвентаризация в конце декабря.
q0089  04:03.9-04:05.7  Мы не могли без вас, так что её перенесли.
q0090  04:06.7-04:09.3  Я специально уехал в отпуск, чтобы пропустить её.
q0091  04:09.9-04:11.1  Инвентаризация – это скучно.
q0092  04:11.2-04:14.4  На островах тебя не заставляют делать инвентаризацию?
q0093  04:15.3-04:17.7  Как думаешь, почему бизнес бежит на Кайманы?
q0094  04:17.7-04:21.5  Сегодня у нас будет инвентаризация Луау.
q0095  04:21.9-04:25.9  Хочу принести маленький кусочек рая на склад Дандер Мифлин.
q0096  04:26.4-04:29.1  Комитет по праздникам. Займитесь этим.
q0097  04:29.6-04:31.9  К концу дня? Это невозможно.
q0098  04:32.1-04:34.8  В ямайском нет слова «невозможно».
q0099  04:34.8-04:36.7  Да, это по-английски. Слово «невозможно».
q0100  04:37.4-04:39.2  Майкл, нам не управится ко времени.
q0101  04:39.6-04:40.9  Что сложного в Луау?
q0102  04:40.9-04:48.2  Все, что нужно, юбки из травы, ананасы, пои, факелы тики, молочный поросенок, танцоры с огнем.
q0103  04:50.4-04:51.0  Вот и все.
q0104  04:51.7-04:52.4  Проходите.
q0105  04:55.4-04:56.1  Рассаживайтесь.
q0106  04:57.8-04:58.6  Садитесь.
q0107  04:59.8-05:00.5  Садитесь.
q0108  05:01.4-05:02.7  Все сели? Хорошо.
q0109  05:03.5-05:05.2  Есть то, что я хочу показать всем.
q0110  05:05.8-05:09.3  Видите этот знак? Без рубашек, без ботинок, без проблем.
q0111  05:22.8-05:30.1  слева. Что? Нет, нет, нет. Это... Боже мой. Нет, это женщина из Германии по имени Ургл Грю. Джен
q0112  05:30.1-05:35.9  сказала быть осмотрительнее и никому не говорить, потому что у нас могут быть проблемы. Так что
q0113  05:35.9-05:51.5  официально я её не видел. Но я видел Джен там, в нашем номере. Ночью и по утрам. Это всё,
q0114  05:51.5-06:06.3  что я скажу. Секс. Секс. Мы занимались сексом. Я занимался с ней сексом. Занимался сексом с Джен.
q0115  06:06.5-06:12.9  Эй, приятель, я только что вернулся с Ямайки. Тоже мне. Я был в Аторф, Атланте. Совершенно
q0116  06:12.9-06:19.0  бухой город. Да, звучит неплохо. Но знаешь что? Госпожа Джен Левинсон решила скататься в Монтего
q0117  06:19.0-06:22.8  Натянул снежную королеву? Я не верю.
q0118  06:23.6-06:26.5  Ну, я сейчас смотрю на фото и говорю тебе.
q0119  06:26.9-06:29.0  Его бы на обложку Максима.
q0120  06:30.0-06:31.8  Да тебя не пустили бы в Максим.
q0121  06:32.7-06:33.6  О, нет?
q0122  06:33.8-06:34.2  Нет.
q0123  06:34.3-06:36.0  Так, ладно. Хорошо.
q0124  06:38.4-06:39.6  Оцени это.
q0125  06:41.0-06:44.0  Я посылаю тебе письмецо.
q0126  06:46.0-06:46.8  Получил?
q0127  06:47.5-06:49.5  Что? Нет, ничего не получил.
q0128  06:50.2-06:52.5  Проверай ещё раз. Нажми обновить.
q0129  06:53.1-06:54.8  Да, Майк, ещё ничего.
q0130  06:55.1-06:56.5  Ладно, погоди секунду.
q0131  06:56.8-07:00.9  Я послал тебе его на пекерсобакадандермифлин.ком
q0132  07:00.9-07:05.0  Складсобакадандермифлин.ком
q0133  07:05.0-07:06.9  Ой-ой-ой.
q0134  07:07.2-07:09.7  Стой! Я получил его от кого-то ещё.
q0135  07:11.1-07:11.7  Ого!
q0136  07:12.6-07:14.8  Ну и красота! Чёрт!
q0137  07:14.8-07:17.3  Как вырезать тебя с этой фотки?
q0138  07:26.0-07:26.6  Дэрил?
q0139  07:27.9-07:30.7  Эй, привет, где Дэрил?
q0140  07:31.2-07:32.3  Он в кабинете.
q0141  07:32.6-07:32.9  Ладно.
q0142  07:34.2-07:34.8  Привет.
q0143  07:35.6-07:37.1  Эй, приятель, как жизнь?
q0144  07:37.3-07:38.8  Хорошо, а что случилось, Майк?
q0145  07:39.0-07:39.9  Отлично, ладно.
q0146  07:40.4-07:42.0  Ты получал имейл от меня?
q0147  07:42.6-07:42.8  Да.
q0148  07:43.1-07:43.7  Ладно.
q0149  07:43.7-07:48.3  Он предназначался Пекеру, а не на склад
q0150  07:48.3-07:52.7  Ты переправил его другим людям?
q0151  07:53.3-07:53.8  Ага
q0152  07:53.8-07:54.4  Ладно
q0153  07:54.4-08:02.6  А ты получил второй имейл, который я послал, с объяснениями, что первый был ошибкой и тебе надо его удалить?
q0154  08:02.8-08:03.0  Да
q0155  08:03.0-08:05.0  Ты переслал его остальным?
q0156  08:05.8-08:07.4  Майк, я тут очень занят
q0157  08:07.4-08:10.6  Блин
q0158  08:10.6-08:12.5  Уже переслал тебе, друг мой
q0159  08:12.5-08:13.7  Фантастика.
q0160  08:13.9-08:14.4  Скучно.
q0161  08:14.9-08:16.4  Позовите, если она перевернётся.
q0162  08:18.2-08:18.6  Привет.
q0163  08:19.3-08:20.0  Привет.
q0164  08:22.1-08:22.8  Всё хорошо?
q0165  08:23.6-08:23.9  Да.
q0166  08:27.7-08:29.0  Ещё уверен?
q0167  08:30.4-08:30.7  Да.
q0168  08:31.6-08:32.1  Да.
q0169  08:36.5-08:40.3  Просто у нас такая глупая ссора с Карен.
q0170  08:40.3-08:41.6  О!
q0171  08:42.5-08:46.5  Хочешь поговорить об этом?
q0172  08:48.6-08:49.2  Серьезно?
q0173  08:52.9-08:55.3  У меня для тебя особое задание.
q0174  08:56.0-08:56.8  Кто цель?
q0175  08:58.6-09:01.0  По офису разослали секретный имейл.
q0176  09:02.0-09:03.1  Он содержит файл.
q0177  09:05.0-09:05.8  Фотографию.
q0178  09:07.0-09:09.8  Имя файла — солнечная принцесса Ямайки Джен.
q0179  09:09.9-09:10.4  Что на фото?
q0180  09:10.9-09:11.5  Неважно.
q0181  09:11.5-09:14.5  Если вы не скажете мне всё, я не смогу взяться за задание.
q0182  09:14.6-09:15.8  Ладно, хорошо, я берусь.
q0183  09:16.1-09:19.1  Не знаю, мы встречаемся месяц, так?
q0184  09:20.1-09:24.1  Одна улица, думаю, это немного близко, чуть-чуть слишком.
q0185  09:26.7-09:27.2  Что?
q0186  09:29.6-09:32.2  Как далеко она живёт сейчас? В десяти минутах?
q0187  09:34.4-09:35.1  Думаю, да.
q0188  09:36.4-09:36.9  Честно.
q0189  09:38.0-09:39.9  Думаю, тебе стоит быть с ней помягче.
q0190  09:39.9-09:43.5  Нет, я не против помочь Джиму с его проблемой
q0191  09:43.5-09:44.9  Так и поступают, друзья
q0192  09:44.9-09:48.6  Я всё время помогаю Филлис
q0193  09:48.6-09:52.1  Вчера вот вытащила кусочек скотча у неё из волос
q0194  09:52.1-09:55.0  Так что, да
q0195  09:55.0-10:02.2  Эй, большое спасибо
q0196  10:02.2-10:05.6  О, не беспокойся
q0197  10:05.6-10:10.2  Это ведь лучше, чем слушать, как Майкл играет на раковине
q0198  10:10.2-10:12.2  А я этим занимаюсь
q0199  10:12.2-10:16.1  О, кстати
q0200  10:16.1-10:19.4  Майкл ездил на Имайку с Джен
q0201  10:19.4-10:21.5  Да, и как мы ещё это не обсудили?
q0202  10:21.8-10:22.9  В смысле, что это было?
q0203  10:23.6-10:24.1  Похищение?
q0204  10:26.5-10:28.5  Я хочу с вами поговорить
q0205  10:28.5-10:29.7  Не сейчас, не когда
q0206  10:41.5-10:45.4  И если ты говоришь, что залез на мой компьютер и украл фото, тогда я звоню в полицию.
q0207  10:46.3-10:52.2  Майкл, мне это фото прислало 9 человек, включая бывшую жену, с которой мы не разговариваем.
q0208  10:53.0-10:54.9  Ну, наконец, у вас появится тема.
q0209  10:54.9-10:59.1  Знаете, для вашей же безопасности вам стоит рассказать об этом кадровику.
q0210  10:59.7-11:03.1  Уверен, тебе понравятся подробности, так ведь, мелкий извращенец?
q0211  11:03.5-11:03.9  Хорошо.
q0212  11:04.3-11:08.2  Если у вас есть отношения с кем-то вышестоящим, вы должны доложить об этом.
q0213  11:08.3-11:10.5  Нет, нет, нет, я не встречаюсь, Джен.
q0214  11:11.9-11:13.7  Она дала ясно это понять.
q0215  11:13.9-11:18.1  Просто две души провели романтическое время в самом романтическом месте на Земле.
q0216  11:18.3-11:19.1  Тебе хватит упырь?
q0217  11:20.1-11:21.4  Хорошо, спасибо, Майкл.
q0218  11:21.5-11:21.7  Ладно.
q0219  11:21.7-11:25.8  Так, люди, у нас всего три часа, чтобы спланировать Лоу, а вы не помогаете.
q0220  11:26.6-11:28.1  Что входит в состав поля?
q0221  11:28.1-11:32.4  Я обзвонила все магазины в Крентоне, никто не продаёт целую свинью.
q0222  11:32.6-11:33.6  В зоомагазины звонила?
q0223  11:36.8-11:38.1  Дантер Мифлин, это Бам.
q0224  11:39.2-11:40.2  Одну секунду.
q0225  11:40.6-11:42.7  Майкл, это Джен звонит.
q0226  11:43.2-11:45.8  О боже, нет, нет, нет, повесь, повесь.
q0227  11:46.5-11:47.6  Скажи, что меня нет.
q0228  11:48.1-11:49.8  Нет, у меня бензин кончился.
q0229  11:50.5-11:53.0  Я оленя сбил, сбил, сбил оленя на машине.
q0230  11:53.8-11:56.4  Нет, я сбил кошку, скажи, что сбил кошку.
q0231  11:56.4-11:57.3  Он вам перезвонит.
q0232  11:58.1-11:59.8  Ладно. Отлично.
q0233  12:00.9-12:01.9  Думаешь, она купилась?
q0234  12:03.0-12:03.3  Ладно.
q0235  12:04.3-12:04.6  Ладно.
q0236  12:07.3-12:08.6  Майкл сбил оленя?
q0237  12:11.7-12:12.4  Майкл!
q0238  12:13.0-12:14.8  Майкл, у нас ЧП на складе.
q0239  12:15.3-12:16.5  ЧП? Кто-то ранен?
q0240  12:16.7-12:18.4  Нет, это...
q0241  12:18.4-12:19.8  относится к фотографии.
q0242  12:20.1-12:21.0  О, боже.
q0243  12:21.0-12:22.4  Нет, нет, нет!
q0244  12:28.1-12:34.6  Майкл, вы просто рок-звезда.
q0245  12:34.9-12:36.0  Вы мужик.
q0246  12:36.0-12:37.9  Да, отлично срабатывало.
q0247  12:38.2-12:39.3  Ладно, хорошо.
q0248  12:39.7-12:41.4  Поимел красотку исправления.
q0249  12:41.6-12:42.5  Просто потрясно.
q0250  12:47.8-12:49.0  Оу, привет.
q0251  12:49.3-12:50.1  Всеобщее внимание.
q0252  12:50.9-12:51.7  Очевидно.
q0253  12:52.3-12:57.1  По офису ходят сообщения, содержащие очень взрослую картинку со мной
q0254  12:57.1-12:58.9  и женщиной.
q0255  12:59.2-12:59.6  Джен.
q0256  13:00.1-13:01.9  Нет, Кевин, с женщиной.
q0257  13:02.1-13:03.6  Может быть, Джен, может...
q0258  13:03.6-13:06.4  Я говорю о том, что если вы его получили,
q0259  13:07.1-13:09.4  я прошу вас удалить его, не просматривая.
q0260  13:09.8-13:11.1  Будем профессионалами, хорошо?
q0261  13:12.2-13:12.7  Чувства?
q0262  13:14.1-13:15.3  Чувства горячие.
q0263  13:16.4-13:16.8  Эй!
q0264  13:17.1-13:17.4  Эй!
q0265  13:18.3-13:19.4  Что вы здесь делаете?
q0266  13:19.7-13:21.5  Удалился на остров, понимаешь ли?
q0267  13:22.0-13:22.9  Джен звонила.
q0268  13:23.3-13:25.1  Она скоро приедет поговорить с вами.
q0269  13:25.1-13:27.1  Она сказала о чем?
q0270  13:27.1-13:28.5  Сказал только это.
q0271  13:47.5-13:49.8  Народ, на вечеринку! Давай, давай, давай!
q0272  13:51.3-13:53.1  Кажется, ты это обронила.
q0273  13:53.1-13:57.4  Ты вверен?
q0274  13:57.9-13:58.6  Определенно
q0275  13:58.6-14:03.3  Я отключил первую линию в офисе
q0276  14:03.3-14:05.1  Приказал, чтобы это сняли
q0277  14:05.1-14:05.8  Хорошо
q0278  14:05.8-14:08.0  И уничтожил все распечатки в туалете
q0279  14:08.0-14:09.7  А были копии в туалете?
q0280  14:10.3-14:11.6  Их там было полно
q0281  14:11.6-14:13.0  Хорошо
q0282  14:13.0-14:21.3  Кажется, я тебе должна
q0283  14:21.3-14:22.3  Прости
q0284  14:22.3-14:24.4  за твою беседу с Халпертом.
q0285  14:25.2-14:27.6  Мой номер в гостинице начал вгонять меня в депрессию.
q0286  14:27.7-14:29.4  Да, знаю, не беспокойся.
q0287  14:29.8-14:31.5  То есть, он глупо себя повёл?
q0288  14:31.8-14:32.0  Да.
q0289  14:32.8-14:33.9  Но серьёзно.
q0290  14:34.4-14:34.7  Спасибо.
q0291  14:35.2-14:35.5  Конечно.
q0292  14:35.9-14:36.1  Ладно.
q0293  14:42.1-14:43.2  О, да!
q0294  14:44.4-14:45.9  Да, что я вам говорил?
q0295  14:46.1-14:47.7  Я знал, что найду его.
q0296  14:47.9-14:48.3  Видите?
q0297  14:50.5-14:51.9  Лучшая ночь в моей жизни.
q0298  14:52.3-15:05.9  Кто сделал это с тобой? Где он?
q0299  15:06.7-15:07.3  Что?
q0300  15:07.3-15:10.0  Нет, ничего.
q0301  15:11.0-15:11.6  Ничего.
q0302  15:22.3-15:23.9  Здесь жарковато.
q0303  15:25.2-15:25.5  Да?
q0304  15:25.9-15:26.3  Да.
q0305  15:36.3-15:37.1  Спасибо.
q0306  15:41.1-15:43.3  Тебе не обязательно тут верить.
q0307  15:43.4-15:43.8  Я знаю.
q0308  16:18.0-16:29.8  Всем здравствуйте
q0309  16:29.8-16:32.5  Здравствуй, Майкл
q0310  16:32.5-16:33.0  Привет
q0311  16:33.0-16:34.6  Привет, Джен
q0312  16:34.6-16:38.0  Выглядите загорелой
q0313  16:38.0-16:41.7  Я была в Скоттсдейле, ездила к сестре
q0314  16:41.7-16:42.3  Да?
q0315  16:43.4-16:44.4  И как оно?
q0316  16:45.9-16:47.0  Очень солнечно
q0317  16:47.0-16:49.6  Семья очень важна
q0318  16:49.6-16:54.3  Майкл, я хочу поговорить с тобой в твоём кабинете, пожалуйста
q0319  16:54.3-16:55.2  Ладно, да
q0320  17:17.0-17:32.8  Почему я здесь, Майкл?
q0321  17:32.8-17:33.8  Я…
q0322  17:33.8-17:38.3  В прошлом году я пережила развод, кражу персональных
q0323  17:38.3-17:43.2  данных, мужа, который не стал… общаться со мной.
q0324  17:43.2-17:44.7  Это всё ни к силу, ни к городу.
q0325  17:44.7-17:47.6  Мой психиатр говорит, что у меня тенденция к саморазрушению,
q0326  17:47.8-17:49.5  и в этом я должна с ним согласиться.
q0327  17:50.1-17:51.0  Ты следишь за мыслью?
q0328  17:52.3-17:52.9  Да.
q0329  17:53.6-17:58.8  Думаю, я должна отыскать немного счастья для себя, понимаешь?
q0330  17:59.2-18:04.1  То есть даже если это значит понижение самооценки
q0331  18:04.1-18:06.8  или переоценку всего мира.
q0332  18:07.4-18:08.1  Ладно, да.
q0333  18:08.1-18:09.5  В этом штука, понимаешь?
q0334  18:10.1-18:13.0  Меня тянет к тебе.
q0335  18:13.7-18:16.2  Я не знаю, почему я...
q0336  18:16.2-18:17.0  Но это так.
q0337  18:17.5-18:20.8  Я должна следовать инстинктам.
q0338  18:21.8-18:23.4  По крайней мере, так думаю, доктор Перри.
q0339  18:24.8-18:26.2  Кто такой доктор Перри?
q0340  18:26.5-18:26.9  Я...
q0341  18:26.9-18:27.7  Всё дело в этом.
q0342  18:28.2-18:28.5  Ясно?
q0343  18:29.0-18:30.2  Ты не подходишь мне.
q0344  18:32.3-18:32.9  По...
q0345  18:32.9-18:35.2  По всем параметрам.
q0346  18:35.9-18:38.0  Но я всё ещё...
q0347  18:39.2-18:41.0  Понимаю, что хочу...
q0348  18:43.0-18:45.4  быть с тобой.
q0349  18:48.3-18:49.0  И я
q0350  18:49.0-18:50.7  с тобой
q0351  18:50.7-18:52.8  и вдобавок
q0352  18:52.8-18:53.8  испытываю
q0353  18:53.8-18:56.0  те же чувства,
q0354  18:56.9-18:57.7  что и ты.
q0355  18:58.6-18:59.0  Так же.
q0356  19:05.0-19:06.8  Хорошо. Хорошо.
q0357  19:10.8-19:12.4  Ну, спасибо.
q0358  19:13.0-19:15.2  Что зашла?
q0359  19:15.5-19:15.7  Да.
q0360  19:16.2-19:17.0  Я...
q0361  19:17.0-19:17.8  О, хорошо.
q0362  19:18.3-19:18.7  Ладно.
q0363  19:18.9-19:19.2  Ладно.
q0364  19:20.8-19:23.1  Спасибо, что уделил мне время.
q0365  19:23.2-19:24.3  Ну, спасибо, что зашла.
q0366  19:24.4-19:25.0  Я признаю...
q0367  19:30.6-19:32.3  Подожди 15 минут, ладно?
q0368  19:32.8-19:34.9  Потом найди повод, встретимся у тебя дома, хорошо?
q0369  19:35.0-19:35.4  Хорошо.
q0370  19:39.1-19:39.8  Джен.
q0371  19:43.0-19:44.5  Ты моя половинка.
q0372  19:50.5-19:51.4  О боже.
q0373  19:57.1-19:57.9  Эй.
q0374  20:00.0-20:02.8  Помнишь, когда мы планировали медовый месяц,
q0375  20:03.2-20:06.5  и ты хотела поехать на Гавайи, а я хотел в Мексику?
q0376  20:07.5-20:07.9  Да.
q0377  20:09.6-20:11.5  Я точно был прав.
q0378  20:13.0-20:20.1  Ох, боже ты мой.
q0379  20:20.1-20:22.2  Что я собираюсь делать?
q0380  20:22.2-20:24.3  Я отнесу это домой?
q0381  20:24.3-20:28.1  У меня не так много искусства.
q0382  20:43.0-21:12.9  Продолжение следует...
