q0001  00:00.0-00:05.0  Она просто чудесная!
q0053  02:12.7-02:14.0  Разве что они от обе.
q0054  02:14.7-02:15.9  Известный насильник.
q0055  02:17.2-02:18.6  Я просто шучу.
q0056  02:19.9-02:20.8  Когда пришёл, Чикс?
q0057  02:21.2-02:22.1  На прошлой неделе.
q0058  02:22.4-02:23.8  Значит, после объединения.
q0059  02:23.9-02:26.1  Значит, Джош воспользовался этой программой.
q0060  02:26.1-02:26.7  Уход.
q0061  02:26.7-02:28.9  Один из стэмфордских преступник
q0062  02:28.9-02:30.8  Эй, Джен, к слову о Стэмфорде
q0063  02:30.8-02:32.6  Анна привела ребёнка
q0064  02:32.6-02:35.3  Джен, кто из новых сотрудников преступник?
q0065  02:35.9-02:37.7  Бывший заключённый и...
q0066  02:37.7-02:38.8  Я не уверена
q0067  02:38.8-02:42.0  Погодите, я напишу в отдел персонала, оставайтесь на линии
q0068  02:42.0-02:43.1  Кто это?
q0069  02:44.4-02:45.2  Анна?
q0070  02:47.3-02:48.1  Энди?
q0071  02:49.2-02:49.9  Энди?
q0072  02:52.1-02:52.8  Мартин?
q0073  02:54.2-02:55.9  Вот вы такой расист
q0074  02:56.3-02:57.9  Стоп, почему я расист?
q0075  02:58.0-02:59.0  Потому что он чёрный.
q0076  02:59.7-03:02.8  Он чёрный, да, и был последним.
q0077  03:03.0-03:04.8  Стоп, хватит. Просто прекрати.
q0078  03:04.9-03:05.1  Да.
q0079  03:05.2-03:07.4  Так, это кто-то по имени Мартин Нэш.
q0080  03:08.4-03:11.1  Майкл, почему преступник должен быть чёрным?
q0081  03:12.3-03:14.7  Это такой стереотип.
q0082  03:15.7-03:18.6  Я бы хотел, чтобы Джош выбрал более прогрессивно.
q0083  03:18.6-03:24.1  Например, белого парня, которого отправили в тюрьму
q0084  03:24.1-03:26.8  за то, что гадил в пруд черному.
q0085  03:28.7-03:30.2  Интересно, что он сделал.
q0086  03:30.5-03:36.2  В нашем обществе черного могут посадить за что угодно.
q0087  03:38.6-03:40.2  Наверное, он был на пробежке,
q0088  03:41.6-03:43.3  увидел, как кто-то дерется,
q0089  03:44.6-03:45.6  решил вмешаться.
q0090  03:47.2-03:48.9  Как за это можно попасть в тюрьму?
q0091  03:49.6-03:52.5  Итак, что нам надо сделать,
q0092  03:52.5-03:55.8  Так это забыть об этой теме.
q0093  03:56.2-03:57.4  Мартин из тюрьмы.
q0094  03:57.9-04:01.6  Люди сделают неправильные выводы о Мартине и других черных.
q0095  04:02.4-04:02.9  Лёва.
q0096  04:03.2-04:03.5  Ладно.
q0097  04:05.8-04:06.7  Анжела.
q0098  04:08.1-04:09.0  Конечно.
q0099  04:10.3-04:11.9  Давайте защищать преступников,
q0100  04:12.5-04:15.2  пренебрегая чувством безопасности на рабочем месте.
q0101  04:15.9-04:18.7  Как женщина в 40 килограмм, сидящая в плохо освещенном,
q0102  04:18.9-04:20.5  редко посещаемом углу офиса,
q0103  04:21.4-04:22.6  Я с этим согласна.
q0104  04:23.7-04:24.0  Хорошо.
q0105  04:25.2-04:25.7  Ладно.
q0106  04:32.1-04:33.2  Джим Халперт?
q0107  04:33.5-04:34.5  Я так возбужденный.
q0108  04:39.4-04:41.0  Ладно, могу с этим помочь.
q0109  04:41.7-04:44.1  Я так и думал, большой танец.
q0110  04:45.8-04:48.1  Расскажи об этой индианке, Келли.
q0111  04:48.9-04:49.9  Выглядит горячей.
q0112  04:50.0-04:51.4  Неплохо бы покурок отца.
q0113  04:52.0-04:54.7  Она встречается с Райном.
q0114  04:54.7-04:55.2  Кажется.
q0115  04:55.6-04:56.7  А мне не плевать?
q0116  04:57.4-04:58.6  На неё расходов много.
q0117  04:58.9-05:00.3  Дальше как насчёт?
q0118  05:04.8-05:05.4  Анжелы?
q0119  05:07.4-05:08.6  Блондинки, это весело.
q0120  05:08.8-05:09.6  Ты уж мне поверь.
q0121  05:09.9-05:11.9  А ты поверь мне, весело не будет никому.
q0122  05:28.1-05:30.3  Да, точно стоит.
q0123  05:30.8-05:31.4  Джекпот.
q0124  05:32.0-05:33.0  Постарайся успокоиться.
q0125  05:34.1-05:34.8  Я спокоен.
q0126  05:34.9-05:36.4  Ладно, ты правда спокоен?
q0127  05:36.4-05:38.1  Я спокоен, спокоен, очень спокоен.
q0128  05:38.2-05:39.5  Скажите, что происходит?
q0129  05:40.9-05:41.0  Мартин.
q0130  05:41.0-05:46.7  Мартин из Стэнфорда некоторое время сидел в тюрьме.
q0131  05:50.3-05:52.6  Нет, тихо, тихо!
q0132  05:52.9-05:56.8  Я очень обеспокоен тем, что в офисе преступник.
q0133  05:57.4-06:03.2  И мне плевать, белый он, черный, азиат, немец или полукровка.
q0134  06:04.3-06:06.0  Я не люблю преступников.
q0135  06:11.0-06:20.3  О боже!
q0136  06:20.3-06:26.5  Ладно, приступим, что ей нравится.
q0137  06:27.4-06:28.8  Я хорошо знаю Пэм.
q0138  06:29.0-06:31.7  Знаю, что она любит, и что более важно.
q0139  06:32.1-06:33.8  Знаю, что она терпеть не может.
q0140  06:34.3-06:36.3  Среди прочего, ей нравятся шутки.
q0141  06:37.4-06:39.4  А вот то, что она ненавидит.
q0142  06:39.4-06:42.6  Соревнования по фрисби. Ты издеваешься?
q0143  06:42.6-06:43.6  Она...
q0144  06:43.6-06:48.5  Я был в главном фрисби-гольф-клубе в Корнелле, когда учился в колледже.
q0145  06:48.6-06:49.9  Живу ради Фрольфа.
q0146  06:50.8-06:51.5  Начни с этого.
q0147  06:52.1-06:52.4  Так.
q0148  06:52.8-06:53.7  Ей нравится охота.
q0149  06:54.8-06:58.6  Потом ей нравится эта мелодия из шести флагов со стариком.
q0150  07:00.5-07:01.6  Ты понял.
q0151  07:02.0-07:02.4  И ещё?
q0152  07:03.7-07:05.6  Умеешь говорить как Товслый Висла?
q0153  07:05.8-07:07.0  Привет, Мартин. Как дела?
q0154  07:07.5-07:07.9  Хорошо.
q0155  07:09.4-07:10.4  Вот, устроился.
q0156  07:10.8-07:11.9  Хорошо, хорошо.
q0157  07:13.1-07:14.2  На секунду.
q0158  07:14.7-07:16.8  Эй, можно привлечь общее внимание?
q0159  07:18.1-07:24.3  Я понял, что многие из вас слышали, что у Мартина были небольшие проблемы с законом.
q0160  07:25.2-07:29.4  Но я хочу во всеуслышание заявить, что я полностью ему доверяю.
q0161  07:30.1-07:30.6  Полностью.
q0162  07:31.2-07:36.5  А тот, кто нет, невежественный, тупой человек.
q0163  07:37.1-07:37.5  Ясно?
q0164  07:37.5-07:41.7  И вообще, покажите белого, которому вы доверяете,
q0165  07:42.1-07:44.5  а я покажу чёрного, которому доверяю больше.
q0166  07:45.9-07:48.1  Пэм, какому белому ты доверяешь?
q0167  07:48.9-07:49.5  Моему отцу.
q0168  07:50.8-07:51.6  Дэнни Гловер.
q0169  07:53.6-07:54.8  Да, Джонас Солк.
q0170  07:55.4-07:55.6  Кто?
q0171  07:55.9-07:56.9  Джастин Тиммерлейк.
q0172  07:57.0-07:57.3  Боже.
q0173  07:57.9-07:59.3  Пожалуйста, Колин Пауэлл.
q0174  07:59.4-08:00.1  Эй, у меня есть.
q0175  08:00.3-08:00.4  Да.
q0176  08:00.8-08:01.2  Иисус.
q0177  08:02.3-08:03.2  Аполло Крид.
q0178  08:05.5-08:06.4  Закройте глаза.
q0179  08:07.2-08:08.4  Представьте преступника.
q0180  08:09.8-08:10.6  Во что он одет?
q0181  08:12.1-08:12.9  Ничего особенного.
q0182  08:13.1-08:15.3  Бейсболка, задом наперёд широкие штаны.
q0183  08:16.2-08:20.2  И говорит что-то обычное, вроде «Йо, всё путём».
q0184  08:20.2-08:22.7  Так, теперь медленно откройте глаза.
q0185  08:23.8-08:24.9  Кого вы нарисовали?
q0186  08:25.8-08:26.4  Чёрного?
q0187  08:28.1-08:28.6  Неверно.
q0188  08:28.6-08:30.4  Это была белая женщина.
q0189  08:32.6-08:33.4  Удивлены?
q0190  08:33.4-08:36.7  Как вам не стыдно?
q0191  08:37.6-08:40.5  Вы хотите знать, за что я туда попал?
q0192  08:41.0-08:42.3  Нет, это не круто.
q0193  08:42.8-08:44.1  Ты не обязан им говорить.
q0194  08:44.4-08:45.1  Я не против.
q0195  08:45.6-08:47.1  Это была глупая ошибка.
q0196  08:48.7-08:52.7  Я работал с финансами, меня втянули в инсайдерскую сделку.
q0197  08:53.6-08:56.2  Вот и пришлось посидеть за решёткой.
q0198  08:59.9-09:01.5  Это шикарно.
q0199  09:03.4-09:07.3  Я попросил Мартина три раза объяснить мне, за что его арестовали,
q0200  09:07.5-09:16.6  потому что это ужасно похоже на то, чем я занимаюсь каждый день.
q0201  09:18.0-09:18.9  И как там в тюрьме?
q0202  09:19.5-09:20.3  Мне страшно.
q0203  09:21.1-09:21.7  Скучно.
q0204  09:22.1-09:23.3  Каждый день одно и то же.
q0205  09:24.4-09:26.5  Но у нас были прогулки во дворе.
q0206  09:26.5-09:27.7  У вас были прогулки?
q0207  09:28.0-09:29.1  Два часа каждый день.
q0208  09:30.0-09:31.6  Иногда мы в футбол играли.
q0209  09:32.3-09:33.9  Майкла, почему у нас нет прогулок?
q0210  09:34.4-09:36.0  Да, иногда я тут целыми днями сижу.
q0211  09:36.4-09:38.1  Ну, мы здесь делом заняты.
q0212  09:38.2-09:39.1  А какая была камера?
q0213  09:39.5-09:40.0  Не очень.
q0214  09:41.1-09:43.0  Немного больше кабинета Майкла.
q0215  09:44.4-09:47.8  Ну, понимаете, я там только спал.
q0216  09:48.6-09:50.6  А днём у нас было свободное время.
q0217  09:51.6-09:52.9  У них были занятия.
q0218  09:53.5-09:55.1  Я учился рисовать акварелью.
q0219  09:55.1-09:56.5  У них были занятия по рисованию?
q0220  09:56.8-09:58.4  А занятия по бизнесу там были?
q0221  09:58.5-10:00.6  Да, там вели ребята из Гарварда.
q0222  10:01.0-10:06.2  Многие из тех, кто там учился, заключенные, они раньше занимались неблаговидными вещами в бизнесе.
q0223  10:07.0-10:08.2  Какой кошмар.
q0224  10:08.3-10:10.7  Похоже, что в тюрьме лучше, чем в Дандер Мифлин.
q0225  10:11.1-10:13.1  Ну, это неправда.
q0226  10:13.4-10:14.7  Я бы лучше в тюрьму сел.
q0227  10:15.4-10:15.6  Да.
q0228  10:15.7-10:16.4  Тюрьма – это здорово.
q0229  10:16.4-10:17.3  Нет, это не так.
q0230  10:18.2-10:19.2  Это место не тюрьма.
q0231  10:19.5-10:22.5  Это место гораздо лучше тюрьмы.
q0232  10:24.3-10:24.8  Малыш!
q0233  10:25.2-10:26.5  Привет, малыш!
q0234  10:26.5-10:28.0  Вот, хочешь с этим поиграть?
q0235  10:28.0-10:29.5  Нельзя давать скрепки ребенку.
q0236  10:29.7-10:30.6  Он может их проглотить.
q0237  10:41.5-10:42.7  Чего ходить вокруг да около?
q0238  10:44.0-10:48.4  Не знаю, нравится ли тебе кантри, но подумал, может выберемся как-нибудь.
q0239  10:49.0-10:53.0  Едем на природу, послушаем музыку, выкурим по сигарке.
q0240  10:53.7-10:55.8  Может даже тарелочку позапускаем.
q0241  10:56.7-10:58.7  Подумаешь, Сла об этом, Сла Пэмсла?
q0242  10:59.8-11:00.3  Ого!
q0243  11:01.0-11:02.4  Я...
q0244  11:02.4-11:02.5  Тш.
q0245  11:03.8-11:05.3  Просто подумай.
q0246  11:06.3-11:07.3  Я сейчас заскочу.
q0247  11:18.3-11:19.3  Ого.
q0248  11:20.3-11:22.0  Это было...
q0249  11:23.5-11:24.9  Ого.
q0250  11:26.4-11:29.6  Эй, можно привлечь общее внимание?
q0251  11:30.5-11:31.3  Послушайте все.
q0252  11:31.9-11:34.8  Вы сказали, что в тюрьме лучше, чем здесь.
q0253  11:35.5-11:37.1  И я вас внимательно выслушал.
q0254  11:37.6-11:41.3  Так что я введу перемены, чтобы тут было похоже на тюрьму.
q0255  11:42.4-11:44.3  Начнем с часовой прогулки.
q0256  11:44.6-11:45.0  Ладно.
q0257  11:45.9-11:46.6  Ну, пойдемте.
q0258  11:55.0-11:56.3  Майкл, тут холодно?
q0259  11:56.9-11:58.6  Я пальцев в ног не чувствую.
q0260  11:59.6-12:02.6  Может, нам железо потягать?
q0261  12:03.5-12:05.0  Кто хочет покачаться?
q0262  12:05.2-12:06.3  Тут сколько, два кило?
q0263  12:06.6-12:08.1  Это один килограмм.
q0264  12:08.4-12:10.1  Я беру не массы, а настроем.
q0265  12:10.4-12:11.2  Я пойду внутрь.
q0266  12:11.7-12:13.1  Да, тут ужасно холодно.
q0267  12:13.6-12:16.6  Если кто хочет остаться, у вас еще 27 минут.
q0268  12:19.8-12:21.6  О, эй, мужик!
q0269  12:22.4-12:22.7  Эй?
q0270  12:23.3-12:25.0  У вас в тюрьме был телевизор?
q0271  12:25.0-12:26.5  Да, в общей комнате.
q0272  12:26.9-12:28.4  10 дюймов, черно-белый.
q0273  12:28.4-12:30.5  Вообще, наш был больше этого.
q0274  12:32.8-12:35.0  Эти люди не понимают, как им повезло.
q0275  12:36.0-12:38.0  Этот офис – американская мечта.
q0276  12:38.9-12:40.5  Они мечтают о карцере.
q0277  12:42.5-12:43.5  О, Энди.
q0278  12:45.1-12:47.3  Я подумал ещё об одной фишке для Пэм.
q0279  12:47.6-12:48.1  Да? Что?
q0280  12:48.5-12:49.9  Один вопрос. На гитаре играешь?
q0281  12:50.0-12:50.9  Я играю на банджо.
q0282  12:51.3-12:52.4  Погоди, дай подумать.
q0283  12:52.5-12:53.4  Да, подойдёт.
q0284  12:53.8-12:56.2  Умеешь петь сексуальным высоким фальцетом?
q0285  12:58.4-13:00.9  Я знаю, что могу.
q0286  13:01.8-13:02.9  Да, просто отлично.
q0287  13:03.2-13:03.4  Эй.
q0288  13:04.3-13:04.8  Эй.
q0289  13:05.6-13:06.9  Эду принесу Банджи из машины.
q0290  13:07.1-13:07.6  Идеально.
q0291  13:08.1-13:09.2  Что происходит?
q0292  13:11.0-13:12.2  Прикалываюсь на Дэнди.
q0293  13:12.6-13:15.3  Посылаю его к женщинам в офисе сложной информации.
q0294  13:15.8-13:17.9  Как ему уговорить их встретиться с ним.
q0295  13:18.4-13:19.0  Мне нравится.
q0296  13:19.2-13:19.8  Хочу в игру.
q0297  13:19.9-13:20.3  Кто цель?
q0298  13:22.6-13:23.9  О, знаешь что?
q0299  13:25.0-13:26.5  Должна была быть Пэм.
q0300  13:26.5-13:26.9  Отлично.
q0301  13:27.1-13:27.5  Но...
q0302  13:27.5-13:28.1  А мне что делать?
q0303  13:28.3-13:29.1  Ты просто дай указать.
q0304  13:29.1-13:29.9  Знаешь, как поступим?
q0305  13:31.4-13:33.7  Думаю, на Пэм я его уже напустил.
q0306  13:34.0-13:35.0  Дадим ей перерыв.
q0307  13:35.4-13:36.3  Подумаем, кто еще.
q0308  13:37.5-13:38.6  Так, послушайте все.
q0309  13:39.2-13:41.7  Сегодня на наш офис всех собак спустили.
q0310  13:42.8-13:46.9  Были клевета и поношения, и большинство от одного из вас,
q0311  13:48.3-13:53.7  кто считает, что в тюрьме лучше, чем здесь.
q0312  13:53.7-13:58.1  И никто не сказал «фу», потому что никто из вас не был в тюрьме.
q0313  13:58.1-14:09.4  Я хочу кое с кем вас познакомить, с кем-то, кто был в тюрьме, и кто расскажет, какая она на самом деле.
q0314  14:11.8-14:12.7  Я тюремный Майк.
q0315  14:14.4-14:16.3  Знаете, почему меня зовут тюремный Майк?
q0316  14:16.5-14:18.8  Вы хотите, чтобы мы поверили, что вы кто-то другой?
q0317  14:18.8-14:22.2  А ты хочешь, чтобы я размазал тебя по стене, коза?
q0318  14:23.1-14:25.1  Эй, эй, эй, эй, эй, стойте.
q0319  14:25.4-14:28.0  Ладно, ладно, эй, эй, так мы базарим за решёткой.
q0320  14:28.1-14:32.0  Сегодня было много разговоров о тюрьме, а я здесь, чтобы вас напугать.
q0321  14:33.7-14:36.3  Чтоб конкретно вас напугать!
q0322  14:37.8-14:39.6  В тюрьме ты всегда под кем-то.
q0323  14:41.0-14:44.9  О, а ты? Ты, дружок, была бы королевой бала.
q0324  14:46.4-14:48.5  Не роняй мыло, не роняй мыло.
q0325  14:48.8-14:49.6  Майкл, пожалуйста.
q0326  14:52.2-14:53.8  Где вы этого нахватались?
q0327  14:54.7-14:55.3  Интернет.
q0328  14:55.6-14:56.5  Значит, не в тюрьме.
q0329  14:56.5-15:11.3  Тюрьме 50 на 50. Везде. Короче, тюрьма. Отстой, вот что я говорю. Вы не можете пойти домой, перезарядить батарейки и вернуться утром, чтобы развлекаться со своими корешами в офисе.
q0330  15:12.6-15:14.7  А что ты сделал, тюремный Мэг?
q0331  15:15.3-15:25.0  Я воровал и грабил. Украл сына президента и требовал за него выкуп.
q0332  15:26.0-15:28.1  Вот еще списочек, тюремный Майк.
q0333  15:28.2-15:29.5  И меня не смогли поймать.
q0334  15:30.0-15:32.2  А ты в тюрьме, но...
q0335  15:32.2-15:34.2  Тюремный Майк, а как кормят в тюрьме?
q0336  15:35.0-15:36.8  Сэндвичи с баландой.
q0337  15:38.1-15:39.6  Омлет из баланды.
q0338  15:39.8-15:40.9  Только баланда.
q0339  15:41.0-15:42.7  А еще можешь съесть свои волосы.
q0340  15:43.0-15:43.3  Ого.
q0341  15:44.3-15:45.5  Тюрьма, это фигово.
q0342  15:46.0-15:47.0  Да, да.
q0343  15:47.1-15:48.3  Спасибо тебе, Энди.
q0344  15:59.7-16:01.7  Они там летают, очень страшные.
q0345  16:02.0-16:04.8  Могут спуститься и выпить твою душу из тела, и это больно.
q0346  16:05.3-16:07.0  Дементоры как в Гарри Поттере?
q0347  16:07.5-16:09.1  Нет, не в Гарри Поттере.
q0348  16:09.9-16:11.2  В тюрьме нет фильмов.
q0349  16:11.9-16:12.7  Вот в чём штука.
q0350  16:13.1-16:15.1  Вы решили, что это легко и приятно.
q0351  16:15.5-16:17.2  Это место просто охренительное.
q0352  16:17.2-16:18.6  Здесь шикарные люди.
q0353  16:18.6-16:19.7  И босс хороший.
q0354  16:20.0-16:21.2  Все ладят друг с другом.
q0355  16:21.9-16:22.9  Люди терпимые.
q0356  16:23.4-16:26.5  Те, кто ошибается в выводах, могут исправиться.
q0357  16:27.3-16:29.2  Никто ни под кем не лежит.
q0358  16:29.6-16:30.9  Надеюсь, вас это напугало.
q0359  16:31.5-16:34.5  И как тюребный Майк, хочу сказать спасибо,
q0360  16:35.2-16:39.6  что вы слушали меня и позволили стать частью вашей жизни.
q0361  16:40.1-16:41.5  Потому что это хорошая жизнь.
q0362  16:43.4-16:44.5  У вас хорошая жизнь.
q0363  16:45.3-16:45.9  Хорошая.
q0364  16:48.6-16:54.4  Так, что думаете?
q0365  16:54.6-16:56.3  Не так приятно звучит, да?
q0366  16:58.6-16:59.1  Ого
q0367  16:59.1-17:00.9  Спасибо
q0368  17:00.9-17:04.0  Было непросто пережить это
q0369  17:04.0-17:05.6  Вам обоим
q0370  17:05.6-17:06.8  Да
q0371  17:06.8-17:10.9  Это не похоже на мой опыт
q0372  17:10.9-17:13.3  То, о чем вы говорили
q0373  17:13.3-17:15.0  Я видел по телевизору
q0374  17:15.0-17:16.4  Но это не связано
q0375  17:16.4-17:19.1  с моей жизнью в тюрьме.
q0376  17:22.0-17:22.7  Ладно.
q0377  17:23.0-17:23.9  Ладно, хорошо.
q0378  17:25.0-17:26.9  Вы думаете, что в тюрьме хорошо?
q0379  17:27.6-17:28.2  Отлично.
q0380  17:29.1-17:29.6  Вот.
q0381  17:30.9-17:31.6  Пожалуйста.
q0382  17:32.5-17:34.5  Ну хватит, Майкл, выпустите нас.
q0383  17:34.5-17:36.7  Нет! Если вам так нравится тюрьма,
q0384  17:36.8-17:37.5  наслаждайтесь!
q0385  17:38.7-17:39.7  Мы теперь...
q0386  17:39.7-17:40.8  Они как дети.
q0387  17:41.2-17:43.3  Я собираюсь оставить их там,
q0388  17:43.3-17:46.5  Пока они не оценят, что такое свобода.
q0389  17:47.5-17:50.3  Если это их не убедит, у меня идеи кончились.
q0390  17:54.9-17:57.2  Эй, выпусти нас.
q0391  18:00.5-18:02.3  Эй, у меня...
q0392  18:06.3-18:09.3  Это Тоби.
q0393  18:10.3-18:11.0  Привет, Пам.
q0394  18:11.0-18:13.5  Откуда звонишь?
q0395  18:16.5-18:19.1  Майкл, почему все заперты в переговорной?
q0396  18:19.2-18:24.2  Они были неуважительны ко мне и к офису, а Мартин на них плохо влияет.
q0397  18:25.5-18:29.0  Думают, что у него презумпция невиновности. Это...
q0398  18:29.7-18:33.7  Вам придётся их выпустить или я их выпущу, хорошо?
q0399  18:34.1-18:38.0  Знаешь что, Тоби, я даю им урок, так что...
q0400  18:39.0-18:40.6  Знаете, они вас дразнят.
q0401  18:41.0-18:45.7  Это же очевидно, что здесь лучше, чем в тюрьме.
q0402  18:46.1-18:47.4  Нам платят за работу.
q0403  18:49.3-18:52.3  Мы уходим домой и живем полной жизнью.
q0404  18:52.8-18:55.7  И у нас есть вечеринки.
q0405  18:58.1-18:59.9  Они просто дразнят вас.
q0406  19:00.6-19:01.4  Для смеху.
q0407  19:01.4-19:12.4  Ладно, выходите, шутнички
q0408  19:12.4-19:14.3  Хорошая работа
q0409  19:14.3-19:15.5  Длинный день
q0410  19:15.5-19:16.7  Правда, длинный
q0411  19:16.7-19:18.4  Идите-ка домой пораньше
q0412  19:18.4-19:22.0  Досрочное за хорошее поведение
q0413  19:22.0-19:26.2  Хорошая работа
q0414  19:26.2-19:28.1  Наслаждайтесь свободой
q0415  19:31.4-19:42.1  Мартин прошел путь от новичка из Стэнфорда до преступника, моего друга, обратно к преступнику.
q0416  19:43.6-19:49.9  Потом, будем честными, он стал просто помехой.
q0417  19:50.9-19:53.2  И, наконец, сбежал.
q0418  19:54.6-19:56.4  И я не буду скучать по нему.
q0419  19:56.9-20:01.2  И это не потому, что он черный.
q0420  21:01.4-21:11.9  Продолжение следует...
