q0001  00:00.0-00:30.0  Девушки отдыхают
q0073  04:34.0-04:37.6  устанавливая доминантную физическую позицию.
q0074  04:38.5-04:39.3  Здорово.
q0075  04:39.8-04:40.7  Попробуем ещё одну.
q0076  04:41.2-04:43.3  Я вытащил оружие из своего тайника,
q0077  04:44.8-04:47.1  разрядил на расстоянии менее метра
q0078  04:47.1-04:51.6  и целиком и полностью вывел противника из строя.
q0079  04:52.5-04:53.0  Конец.
q0080  04:54.8-04:55.8  Спасибо, Дуайт.
q0081  04:56.4-04:58.6  Самый храбрый поступок, о котором я слышала.
q0082  04:58.7-05:00.2  Не знаю, что бы я сделал.
q0083  05:00.5-05:01.1  А я знаю.
q0084  05:01.8-05:03.6  Ты бы оставил меня защищаться самой.
q0085  05:04.0-05:05.6  Как в тот раз на колесе обозрения.
q0086  05:05.8-05:07.9  Тот пацан опрокинул на меня коктейль, а ты смеялся.
q0087  05:07.9-05:09.2  Это было смешно, вот и шаг.
q0088  05:09.2-05:09.6  Неужели?
q0089  05:09.9-05:11.9  В следующий раз, когда посреди ночи ты испугаешься,
q0090  05:11.9-05:14.9  что у тебя в квартире убийца, и позвонишь мне, чтобы я тебя успокоила?
q0091  05:15.0-05:16.4  Знаешь, что я? Может, хватит?
q0092  05:30.7-05:32.7  Но если хотел...
q0093  05:33.8-05:34.4  Ого.
q0094  05:36.5-05:37.0  Гениально.
q0095  05:37.8-05:38.0  Да?
q0096  05:38.7-05:39.7  Ну, что ждёте?
q0097  05:40.1-05:40.5  Да-да.
q0098  05:40.8-05:42.6  Конечно, присаживайся.
q0099  05:42.6-05:46.6  А знаешь, пойдём лучше в переговорную.
q0100  05:46.7-05:47.1  Ладно.
q0101  05:47.6-05:49.1  Нет, лучше останемся здесь.
q0102  05:51.4-05:51.7  Пошли.
q0103  05:53.1-05:54.9  Да, пошли в переговорную.
q0104  05:58.1-05:59.4  Тактика номер шесть.
q0105  05:60.0-06:02.2  Меняю место встречи в последний момент.
q0106  06:02.2-06:03.9  Это сбивает с толку.
q0107  06:14.5-06:16.2  Номер четырнадцать.
q0108  06:16.7-06:18.1  Отказывайся говорить первым.
q0109  06:19.4-06:22.4  Неудобства для противника, у тебя всё под контролем.
q0110  06:27.1-06:29.3  Я отказываюсь говорить первым.
q0111  06:30.5-06:31.6  Хорошо, я начну.
q0112  06:31.9-06:32.9  Всё очень просто.
q0113  06:34.3-06:35.9  Я заслуживаю прибавку.
q0114  06:36.2-06:40.0  И должен получить её через полгода, но хотел бы передвинуть на сейчас.
q0115  06:40.0-06:47.0  Дэрил, ты...
q0116  06:48.6-06:50.8  хороший работник и человек.
q0117  06:51.6-06:54.3  Просто, знаешь, суровые времена.
q0118  06:56.4-07:00.1  Я не думаю, что правление сейчас на это пойдёт.
q0119  07:00.8-07:02.1  Вы что, в женских шмотках?
q0120  07:03.4-07:03.7  Что?
q0121  07:05.1-07:06.9  Вы надели женские шмотки?
q0122  07:06.9-07:08.1  Это дамские брюки?
q0123  07:08.1-07:11.8  Нет, это стиль 80-х
q0124  07:11.8-07:13.5  Это женский костюм
q0125  07:13.5-07:16.9  Я не покупаю женскую одежду
q0126  07:16.9-07:18.8  Не повторяю эту ошибку
q0127  07:18.8-07:20.1  Я позвоню Рою
q0128  07:20.1-07:21.1  Так, ладно
q0129  07:21.1-07:23.3  Это его утешит, как же круто
q0130  07:23.3-07:30.2  Знаешь, Пэм, пожалуйста, скажи Дэрилу, что это не женский костюм
q0131  07:30.2-07:31.8  Боже мой, это женский костюм
q0132  07:31.8-07:33.5  Вы надели женский костюм?
q0133  07:33.6-07:36.3  Нет, я ношу мужские костюмы, ясно?
q0134  07:36.6-07:37.9  Этот вынул из контейнера
q0135  07:37.9-07:42.3  Там были большие контейнеры с одеждой, и все в них копались как сумасшедшие.
q0136  07:42.5-07:43.3  Я взял один.
q0137  07:45.5-07:46.7  И он мне в пору.
q0138  07:47.4-07:51.3  Так что вряд ли это такой женский костюм.
q0139  07:51.8-07:53.6  По крайней мере, бисексуальный.
q0140  07:54.4-07:55.2  Кто производитель?
q0141  07:58.5-07:59.1  Загадка.
q0142  08:00.5-08:02.8  Загадка, почему пуговицы не на той стороне.
q0143  08:03.6-08:04.5  Вот где загадка.
q0144  08:04.6-08:07.0  Там подплечники есть. Видите, какой силуэт?
q0145  08:07.0-08:08.9  Так, хватит уже, пожалуйста.
q0146  08:09.2-08:09.8  Вы видели?
q0147  08:10.1-08:11.4  Майкл, на брюках нет карманов.
q0148  08:11.8-08:12.7  Да, нет, увидишь?
q0149  08:14.5-08:16.3  Основа переговоров – контроль.
q0150  08:16.9-08:18.9  Тогда ты на месте водителя.
q0151  08:20.6-08:21.0  И?
q0152  08:21.6-08:23.2  Сделаешь крохотную ошибку.
q0153  08:23.6-08:24.0  Ты труп.
q0154  08:24.4-08:26.5  Я сделал крохотную ошибку.
q0155  08:26.9-08:28.0  Надел женскую одежду.
q0156  08:30.9-08:31.6  Сукаран.
q0157  08:32.6-08:33.4  Кого это?
q0158  08:33.4-08:37.8  Когда Рой пытался надрать зад твоему парню из-за другой женщины
q0159  08:37.8-08:39.8  Замечательно, Кевин
q0160  08:39.8-08:40.4  Спасибо
q0161  08:40.4-08:42.4  Но... А что случилось?
q0162  08:43.3-08:44.0  Меня там не было
q0163  08:44.0-08:46.3  И всю историю я не слышала
q0164  08:46.3-08:49.3  Мы с Джимом разговаривали
q0165  08:49.3-08:52.7  Вошел Рой весь из себя сердитый
q0166  08:52.7-08:54.6  И он ведь здоровяк
q0167  08:54.6-08:58.0  А тут вдруг Джим толкнул меня в сторону
q0168  08:58.0-09:00.2  А Рой занес кулак
q0169  09:00.2-09:02.6  А потом бам, Дуайт прыснул в него
q0170  09:02.6-09:04.2  И Роя шмякнулся на задницу.
q0171  09:07.1-09:07.8  Боже.
q0172  09:14.4-09:16.1  Прости, что тебя чуть не убили.
q0173  09:17.0-09:17.5  Ага.
q0174  09:18.4-09:19.4  Это было таз.
q0175  09:20.8-09:22.3  Это было так глупо.
q0176  09:23.4-09:25.0  Возвращение крови и всё такое.
q0177  09:26.5-09:27.7  О чём я вообще думала?
q0178  09:27.7-09:32.7  Нет, между вами и правда крепкая связь
q0179  09:33.5-09:34.8  Больше нет
q0180  09:34.8-09:35.6  Теперь
q0181  09:35.6-09:37.9  Всё совсем кончено
q0182  09:37.9-09:41.5  Посмотрим
q0183  09:41.5-09:44.7  Вы наверняка сумеете вернуться друг к другу
q0184  09:45.5-09:45.7  Джим
q0185  09:46.3-09:50.8  Мне очень жаль
q0186  09:50.8-09:51.5  А, да
q0187  09:51.5-09:52.7  Не волнуйся
q0188  09:52.7-09:58.8  Я дам тебе листок бумаги
q0189  09:58.8-10:01.0  Ты запишешь на нем сколько ты хочешь
q0190  10:01.0-10:04.4  Потом придвинешь его ко мне по столу
q0191  10:04.4-10:09.2  Теперь придвинь
q0192  10:09.2-10:09.6  Да
q0193  10:09.6-10:17.0  Да ладно, посерьезнее
q0194  10:17.0-10:18.4  Я и так серьезен, Майк
q0195  10:18.4-10:20.6  Это 10% прибавка, я ее хочу
q0196  10:20.6-10:21.6  Я не могу ее дать
q0197  10:21.6-10:23.3  Я сам столько не зарабатываю.
q0198  10:23.3-10:24.8  Да ладно, не финтите, Майк.
q0199  10:24.8-10:26.0  Не финчу.
q0200  10:26.0-10:27.0  Я докажу.
q0201  10:29.4-10:30.9  Вот квитанция.
q0202  10:35.3-10:37.6  Вы серьёзно? Вы столько зарабатываете?
q0203  10:37.6-10:50.5  10 14
q0204  10:51.7-10:53.3  Ладно, сделаем перерыв.
q0205  10:55.9-10:57.8  Зарплата босса – это не только деньги.
q0206  10:59.2-11:00.7  Это ещё и бонусы.
q0207  11:01.0-11:03.5  Например, каждый год я получаю 100 долларов на бензин.
q0208  11:04.3-11:05.5  Сюда ценник не навесишь.
q0209  11:06.3-11:09.1  Майкл, я вам должен был 15 долларов.
q0210  11:09.6-11:09.9  Спасибо.
q0211  11:10.6-11:12.6  Да, я слышал, вам они понадобятся.
q0212  11:15.7-11:18.3  Да, я слышал, сколько получает Майкл.
q0213  11:19.1-11:21.4  И всё равно ему переплачивают.
q0214  11:22.4-11:24.4  Так, вот верные сведения.
q0215  11:24.9-11:26.8  Никаких фокусов и Википедии.
q0216  11:27.3-11:27.6  Что?
q0217  11:27.6-11:32.6  Я говорил с правлением, и мне сказали, что тебе можно дать только 5% прибавку.
q0218  11:33.2-11:34.4  Это из-за вас, Майк.
q0219  11:34.6-11:36.8  Рабочему парню не дадут больше, чем боссу.
q0220  11:36.8-11:37.8  Ну, а что мне делать?
q0221  11:38.2-11:39.4  Взять прибавку себе.
q0222  11:40.0-11:41.8  Надо идти и зарабатывать, сынок.
q0223  11:42.0-11:45.1  Я не буду просить прибавку прямо сейчас, это же смешно.
q0224  11:45.8-11:48.0  Звоните своей девушке, пусть платят.
q0225  11:48.7-11:50.9  Покажите, кто из вас носит штаны.
q0226  11:51.0-11:52.9  Ты знаешь, я заслуживаю повышения.
q0227  11:53.0-11:54.0  Сделайте это, капитан.
q0228  11:57.0-11:58.8  Я это уже делаю, сержант.
q0229  11:58.8-11:59.1  Сорвен?
q0230  12:02.0-12:06.3  Ладно, если не хочешь подарок, давай я хотя бы угощу тебя пивом или обедом.
q0231  12:06.6-12:10.2  Когда Хан Соло вернулся на Звезду Смерти на Тысячелетнем Соколе,
q0232  12:10.5-12:13.0  расстрелял истребителей и спас дело повстанцев,
q0233  12:13.4-12:15.4  разве он делал это за бесплатное пиво?
q0234  12:16.0-12:17.1  Ну я...
q0235  12:17.1-12:19.9  Нет, и почему тебе так хочется что-то купить мне, Джим?
q0236  12:22.4-12:24.9  Я не просил прибавки 14 лет.
q0237  12:25.7-12:26.8  Это большой срок.
q0238  12:26.8-12:28.8  Я хочу сделать это сегодня.
q0239  12:29.5-12:35.0  Сегодня? Ну хорошо. Послушай, из-за нашей ситуации на встрече должна быть третья страна.
q0240  12:35.5-12:36.9  Да, я приведу Дэрила.
q0241  12:38.3-12:45.0  Дэрила со склада? Нет, Майкл. Нам нужен кадровик, так что приведи с собой Тоби.
q0242  12:46.1-12:47.9  Нет, я лучше застрелюсь.
q0243  12:48.0-12:49.5  Майкл, он кадровик вашего фенела.
q0244  12:49.5-12:50.5  Нет, Тоби ужасен.
q0245  12:51.4-12:54.1  Тоби худший человек из всех, кого я знаю.
q0246  12:54.1-12:57.6  Возвращение, Майкл, или Тоби едет с тобой, или ничего не будет?
q0247  12:58.9-13:00.1  Ты такой грубый.
q0248  13:00.3-13:01.4  Не понимаю, о чём ты.
q0249  13:01.5-13:03.0  Понимаешь, Райан Бейли Говард.
q0250  13:03.1-13:04.4  Ты назвал меня дурой.
q0251  13:04.6-13:05.6  Тоби, вставай, пошли.
q0252  13:06.3-13:06.6  Куда?
q0253  13:07.0-13:09.8  Куда? Я разобью тебе голову молотком. Давай, пошли.
q0254  13:10.0-13:12.0  Что глупого вы в желании назвать ребёнка Ашером?
q0255  13:12.0-13:12.4  Ладно.
q0256  13:12.9-13:14.5  Ашер Дженнифер Хадсон Капур.
q0257  13:14.6-13:15.9  Ты что, не видишь, что это бред?
q0258  13:16.2-13:17.4  Значит, я психованная?
q0259  13:17.4-13:25.0  Не трогай радио чёрного!
q0260  13:26.8-13:28.9  Рестакер, сейчас пик.
q0261  13:32.3-13:34.0  Твоё я бы не стал трогать.
q0262  13:35.0-13:35.5  Спасибо.
q0263  13:36.7-13:40.1  А потом внезапно Дуайт встал и весь такой «нет!».
q0264  13:40.1-13:40.8  И что он сделал?
q0265  13:41.0-13:43.9  Почитая отчёт, который составил Тоби, он собрал все истории.
q0266  13:47.4-13:50.8  Тут написано, вы заказали 12 тысяч топок бумаги.
q0267  13:52.0-13:53.1  О, просто 12?
q0268  14:07.6-14:08.3  Привет.
q0269  14:09.7-14:10.5  Джен ждёт вас.
q0270  14:12.3-14:12.9  Ладно.
q0271  14:13.2-14:13.5  Ладно.
q0272  14:13.9-14:14.5  Зажигайте.
q0273  14:15.2-14:17.0  И не забудьте новую фразу о чёрных.
q0274  14:17.4-14:18.9  Деньги, деньги, дребеденьги.
q0275  14:19.1-14:20.5  Да, сэр, запомните.
q0276  14:21.0-14:22.6  Я буду снаружи, если понадоблюсь.
q0277  14:22.6-14:23.0  Ладно.
q0278  14:24.7-14:27.1  Да, я научил Майка новым фразам.
q0279  14:27.5-14:29.2  И хочу, чтобы он взял прибавку.
q0280  14:30.0-14:31.3  Но не смог удержаться.
q0281  14:42.6-14:43.5  Эй, парень.
q0282  14:45.6-14:46.2  Извини.
q0283  14:47.4-14:59.3  Спасибо
q0284  14:59.3-14:59.3  Спасибо
q0285  14:59.3-15:15.1  А можно мы после работы выпьем кофе или еще чего?
q0286  15:15.1-15:15.6  Не знаю
q0287  15:15.6-15:18.3  Пожалуйста
q0288  15:18.3-15:21.5  Я должен тебе кое-что сказать
q0289  15:21.5-15:31.0  Джим!
q0290  15:31.4-15:31.9  Рой!
q0291  15:32.6-15:33.3  Осторожно!
q0292  15:34.5-15:35.5  Спасибо, Кэф
q0293  15:35.5-15:36.4  Все в порядке?
q0294  15:37.6-15:40.1  Во-первых, Майкл, это переговоры о зарплате
q0295  15:40.1-15:43.5  Все, что касается наших личных отношений, пока забудем
q0296  15:43.5-15:44.1  Ясно?
q0297  15:44.1-15:45.8  Для беденьги.
q0298  15:47.5-15:49.9  Мы можем предложить тебе 6% надбавку.
q0299  15:50.6-15:52.7  6%? После всего, что у нас было?
q0300  15:52.9-15:53.6  Боже.
q0301  15:54.0-15:55.9  Я купил тебе нефритовые серёжки.
q0302  15:56.0-15:56.6  Нет.
q0303  15:57.4-15:57.6  Нет.
q0304  15:57.6-15:58.1  Майкл!
q0305  15:58.2-15:58.4  Нет.
q0306  15:58.6-15:59.6  Хочешь сыграть вот так?
q0307  16:11.7-16:15.9  Первый раз подчиненный мужчина пытается получить скромную и запланированную надбавку,
q0308  16:16.0-16:18.2  угрожая лишить начальницу секса.
q0309  16:18.7-16:23.7  Это будет поворотное дело, когда неизбежно дойдет до суда.
q0310  16:25.6-16:26.9  Прости меня, Пэми.
q0311  16:26.9-16:30.9  Я ничего такого не хотел, но потом...
q0312  16:32.2-16:34.1  Я всё думал о вас двоих.
q0313  16:36.6-16:38.2  Я-то решил, что вы друзья.
q0314  16:39.4-16:40.7  Или он вообще гей.
q0315  16:42.2-16:44.2  Не то, чтобы это не так.
q0316  16:47.5-16:48.6  Мне тоже жаль.
q0317  16:51.4-16:52.1  Мы...
q0318  16:52.1-16:55.2  Мы оба сделали не тот выбор.
q0319  16:56.9-17:00.5  Начнёшь встречаться с Халпертом?
q0320  17:02.5-17:03.3  Нет.
q0321  17:04.4-17:06.0  Нет, у него есть девушка.
q0322  17:07.3-17:07.8  А, да.
q0323  17:10.9-17:14.4  Погоди, ты ведь из-за него расстроила нашу свадьбу.
q0324  17:14.9-17:15.4  Нет.
q0325  17:16.2-17:17.9  Было много причин.
q0326  17:20.3-17:22.8  Ты даже не попытаешься с ним встречаться?
q0327  17:26.9-17:30.2  Что это?
q0328  17:31.9-17:33.0  Где именно?
q0329  17:33.5-17:36.4  Сертификат храбрости от скрэнтонского отделения полиции,
q0330  17:36.7-17:41.7  признающий выдающимся гражданином храброго молодого человека по имени Дуайт Кашрут.
q0331  17:42.4-17:42.7  Ух ты!
q0332  17:43.1-17:45.0  Слухи разнеслись. Большая честь.
q0333  17:45.4-17:47.7  Ради бога! Такое дают маленьким детям.
q0334  17:48.3-17:50.4  Смотри, тут медвежонок в полицейской фуражке.
q0335  17:51.4-17:52.5  Думал, ты не заметишь.
q0336  17:55.0-17:56.4  Что с тобой такое?
q0337  17:56.9-18:00.0  Не знаю. Странный был день.
q0338  18:01.6-18:03.6  Я случайно оделся в женское.
q0339  18:04.9-18:08.1  А потом из-за Дэрила я понял, что ничего не зарабатываю.
q0340  18:09.1-18:11.0  А потом ехал сюда с тупым Тоби.
q0341  18:11.5-18:11.9  А потом...
q0342  18:11.9-18:16.7  Слушай, Майкл, я могу предложить надбавку в 12%.
q0343  18:16.7-18:20.9  Но ты должен попросить 15%.
q0344  18:22.0-18:23.8  Это смешно, я никогда...
q0345  18:23.8-18:29.5  Нет, просто ты должен попросить, чтобы я могла записать, что ты попросил.
q0346  18:30.5-18:30.8  Ясно?
q0347  18:32.9-18:34.3  Ах, так.
q0348  18:36.1-18:41.6  Ладно, Левенсен, я хочу 15% повышения.
q0349  18:41.9-18:43.6  Нет, но мы можем предложить 12.
q0350  18:44.0-18:45.2  Ты же сказала 15.
q0351  18:47.3-18:48.9  Переговоры – это искусство.
q0352  18:50.2-18:51.7  Туда, обратно.
q0353  18:51.7-18:53.5  Давай, бери.
q0354  18:53.8-18:55.8  И сегодня мы с Дэрилом кое-что получили.
q0355  18:56.9-18:57.9  Зарплату побольше.
q0356  18:58.8-18:59.9  Полный выигрыш.
q0357  19:00.8-19:04.9  Но знаете, жизнь – это больше, чем зарплата.
q0358  19:06.1-19:08.0  Ведь это бонусы.
q0359  19:09.2-19:10.6  Как наш секс с Джен?
q0360  19:10.8-19:11.2  Майкл.
q0361  19:21.2-19:23.5  Я тут читаю кое-что интересное.
q0362  19:23.8-19:24.6  Правда?
q0363  19:25.6-19:26.7  История о храбрости.
q0364  19:26.7-19:28.0  И как?
q0365  19:29.9-19:33.9  Я подумала, что сегодня мы почитаем их вместе.
q0366  19:35.0-19:37.9  Это звучит забавно.
q0367  19:53.8-19:58.9  Я не скажу ни слова.
q0368  20:00.9-20:02.7  И теперь мы квиты.
q0369  20:07.6-20:11.6  Я вышел с управления гневом так же, как выпустился из Корнелла.
q0370  20:12.0-20:12.4  Вовремя.
q0371  20:12.9-20:16.3  Теперь я получил второй шанс и не продолбаю его.
q0372  20:16.8-20:18.1  Берегись, Дандер Митлин.
q0373  20:20.4-20:22.4  То есть в шуточном смысле.
q0374  20:22.4-20:24.6  а не в смысле вам сейчас достанется.
q0375  20:26.3-20:28.8  Народ, угадайте, кто вернулся.
q0376  20:28.9-20:29.5  О, Боже!
q0377  20:33.5-20:34.9  Не благодарите.
q0378  20:52.4-21:22.4  Продолжение следует...
