q0001  00:00.0-00:02.0  Медведи
q0144  06:19.3-06:21.5  Хорошо, Анжела, мне нравится твой энтузиазм.
q0145  06:21.8-06:23.1  Всё, что вам нужно уметь делать,
q0146  06:23.2-06:24.5  это поднимать трубку и говорить.
q0147  06:24.9-06:26.3  Клиентская служба, это Келли.
q0148  06:26.6-06:28.6  Только не говорите Келли, говорите своё имя.
q0149  06:29.0-06:30.7  Или, если скучно, можете придумать имя.
q0150  06:30.7-06:32.8  Как один раз я представилась Бриджи Джонс
q0151  06:32.8-06:34.1  и под этим именем говорила.
q0152  06:34.4-06:37.0  О, можно быть аустралийцем, чувак?
q0153  06:37.4-06:38.0  Разумеется.
q0154  06:38.2-06:39.2  Здоров, чувак.
q0155  06:39.4-06:40.6  Мне нравится мороженое.
q0156  06:40.8-06:41.7  Мне нужен парень.
q0157  06:41.7-06:44.5  И мне нравится мороженое чурвиха.
q0158  06:45.6-06:46.4  Аллигаторы.
q0159  06:47.4-06:48.2  Сыдинго.
q0160  06:50.7-06:51.6  Пиво мне.
q0161  06:52.6-06:53.1  Что такое?
q0162  06:54.6-06:55.5  Передай водичке.
q0163  06:55.6-06:56.6  Всегда говорю пиво мне.
q0164  06:56.9-06:58.0  Иногда получается смешно.
q0165  06:58.9-06:59.5  Так как её зовут?
q0166  07:00.4-07:01.3  Ты знаешь её имя.
q0167  07:02.0-07:02.7  Чьё? Карен?
q0168  07:02.9-07:04.2  Да, она моя старая подруга.
q0169  07:05.8-07:07.2  Как тебе квартирка?
q0170  07:07.8-07:08.2  Нормально.
q0171  07:09.8-07:10.5  Отлично.
q0172  07:11.7-07:14.9  Ну и солнце, приятель, глобальное потепление.
q0173  07:16.3-07:17.9  Сегодня должно быть прохладно.
q0174  07:19.0-07:19.6  Может, музыку?
q0175  07:20.3-07:21.1  У тебя есть музыка?
q0176  07:21.5-07:23.3  Да, хорошо, что напомнил.
q0177  07:39.5-07:41.6  Я думал, у тебя есть диск или...
q0178  07:41.6-07:42.1  Диск?
q0179  07:43.7-07:44.9  Твой выбор, приятель.
q0180  07:45.4-07:47.1  Девушка сделала мне обалденную сборку.
q0181  07:47.5-07:48.3  Пивни мне этот диск.
q0182  07:50.3-07:51.8  Боже, пивни мне силы.
q0183  07:53.9-07:56.1  Ну, то нет, давай поработаем хорошенько, ладно?
q0184  07:56.7-07:58.5  Это действительно надо говорить?
q0185  07:58.7-08:00.7  Не всё, что говорят парни, обязательно.
q0186  08:01.4-08:03.8  Иногда это просто музыка беседы.
q0187  08:04.3-08:05.2  Что за...
q0188  08:05.2-08:08.1  Что здесь делает моя девушка?
q0189  08:08.9-08:10.2  Это та учительница в белом?
q0190  08:11.0-08:13.2  Нет, от неё и сперма замёрзнет.
q0191  08:14.9-08:15.5  А которая?
q0192  08:16.0-08:17.2  Та, что в зелёной толстовке.
q0193  08:18.3-08:18.8  Ого.
q0194  08:19.7-08:21.3  Я думаю, что она...
q0195  08:21.3-08:23.6  ...хкольный психолог или типа того.
q0196  08:24.1-08:25.0  Нет, я так не думаю.
q0197  08:25.3-08:26.4  Может, репетитор? Нет.
q0198  08:27.1-08:28.1  Наверное, учат? Нет.
q0199  08:28.8-08:29.3  Не может...
q0200  08:32.0-08:34.7  Так, конференция через 45 минут.
q0201  08:34.9-08:36.5  Дуайт, убедись, что тут прибрано.
q0202  08:36.5-08:36.9  Понял?
q0203  08:40.2-08:43.5  Так, Карен, Райан, Пэм, центральная площадь.
q0204  08:43.5-08:45.0  Пэм, сделай что-нибудь с волосами.
q0205  08:46.2-08:50.4  Первое правило при дорожной торговле свёклой – клади самую красивую наверх,
q0206  08:50.6-08:53.8  а из-за которой выходят из машины и говорят, ого, немедленно хочу эту.
q0207  08:54.4-08:55.5  Это денежная свёкла.
q0208  09:00.0-09:01.8  Эй, не зимай.
q0209  09:02.3-09:04.2  Привет. Здравствуйте, Дуайт Шрут.
q0210  09:04.8-09:07.2  Привет. А вы, должно быть, из Вашингтон-Пост.
q0211  09:07.3-09:10.4  «Скрентон Таймс», «Чед Лайт», «Светлая сторона жизни».
q0212  09:10.4-09:11.9  И срочные деловые новости.
q0213  09:12.2-09:13.0  И некрологи.
q0214  09:14.6-09:15.6  О, Господи, Боже.
q0215  09:15.9-09:19.6  Ладно, вот ваша карточка, вам даётся третий уровень допуска.
q0216  09:20.0-09:21.8  Не слишком радуйтесь, это из двадцати.
q0217  09:22.4-09:26.6  Вам сюда, управляющий филиалом Майкл Скотт вскоре выступит перед клиентом в переговорной.
q0218  09:27.1-09:27.7  Присаживайтесь.
q0219  09:28.3-09:29.1  Принести напиток?
q0220  09:29.4-09:31.0  Да, я бы хотел...
q0221  09:31.0-09:31.5  Отлично.
q0222  09:34.6-09:35.7  Энди, знаешь что?
q0223  09:35.7-09:38.7  У нас не так много времени, и нам стоит...
q0224  09:39.5-09:40.1  Джейми!
q0225  09:40.8-09:41.4  Энди!
q0226  09:42.1-09:42.6  Энди?
q0227  09:42.8-09:44.5  Что ты здесь делаешь? Ты здесь учишься?
q0228  09:44.6-09:46.0  Ну, да.
q0229  09:46.3-09:48.1  Ты мне не говорила, что ещё в старшей школе?
q0230  09:49.8-09:50.9  Это странно.
q0231  09:51.8-09:53.2  Мне пора на испанский.
q0232  09:58.1-09:59.4  О, боже мой!
q0233  10:00.6-10:01.5  Боже мой!
q0234  10:01.5-10:06.4  Я понятия не имел
q0235  10:06.4-10:10.8  Но в суде это не сработает
q0236  10:10.8-10:16.8  Мы не делали ничего незаконного, только вскрыли почтовый ящик с её приятелями
q0237  10:16.8-10:19.0  Сэр, да, вы ясно выразились?
q0238  10:19.4-10:19.8  Хорошо
q0239  10:19.8-10:21.2  И мне жаль
q0240  10:21.2-10:24.5  Нет, мне очень жаль
q0241  10:24.5-10:26.4  Серьёзно? Диксон Сити?
q0242  10:26.5-10:27.0  Простите?
q0243  10:27.3-10:28.1  У меня тётя в Карбонделе
q0244  10:28.1-10:29.5  Нет, я не понимаю, в чём наша вина
q0245  10:29.5-10:34.6  Я уже сказала, что Дандер Мифлин приносит извинения, и я не понимаю, чего вы хотите от меня.
q0246  10:45.9-10:49.8  Тебе стоит поработать только над одним извинениями.
q0247  10:51.9-10:55.6  Когда я ездил в среду на проверку, я получил звонок от Дебби Браун.
q0248  10:55.7-10:58.2  Она сказала, что ей срочно нужно к зубному.
q0249  10:59.5-11:00.5  Срочно нужно к зубному?
q0250  11:01.3-11:04.3  И мне говорят, что она сказала своему менеджеру, что у неё...
q0251  11:04.3-11:06.1  Гри. Я доверчиваю парень.
q0252  11:07.0-11:09.6  Лучше бы Дебби Браун была там, могли бы перехватить это.
q0253  11:13.3-11:13.9  Да?
q0254  11:15.0-11:16.8  Я проверю, чтобы вам перезвонили.
q0255  11:17.4-11:18.8  Мне очень жаль. До свидания.
q0256  11:19.3-11:20.9  Здравствуйте, я ищу Майкла Скотта.
q0257  11:21.8-11:24.0  Миссис Аллен наш самый важный клиент.
q0258  11:24.8-11:27.3  Потому что каждый клиент для нас самый важный.
q0259  11:28.9-11:31.2  Даже если он совершенно не важный клиент.
q0260  11:31.2-11:41.9  И теперь, когда на нас смотрят глаза нации, я хотел бы сказать, что Дандер Мифлин искренне сожалеет об этом инциденте.
q0261  11:42.7-11:58.3  И в знак признательности, вашей привязанности, миссис Аллен, я хочу подарить вам этот новенький чек на полгода бесплатной бумаги или 25 стопок, которые прибудут первыми.
q0262  11:58.3-12:01.3  Вы хорошо получились
q0263  12:01.3-12:05.2  Итак, будем считать, что инцидент исчерпан
q0264  12:05.2-12:08.2  Нет, он не исчерпан
q0265  12:08.2-12:11.1  Я очень зла, я могу потерять бизнес
q0266  12:11.1-12:17.0  Я знаю, я знаю, что вы злые, и мы очень-очень сожалеем
q0267  12:17.0-12:21.9  Я не принимаю ваши извинения, водяной знак был неприличным и ужасным
q0268  12:21.9-12:25.8  Хорошо, мы крайне сожалеем
q0269  12:25.8-12:26.8  Я не согласна
q0270  12:28.3-12:34.3  Я подойду через минуту
q0271  12:34.3-12:34.6  Хорошо
q0272  12:34.6-12:42.6  Что это был за парень у её шкафчика?
q0273  12:43.1-12:43.5  Не важно?
q0274  12:44.0-12:45.5  Потому что ты не встречаешься с ней
q0275  12:45.5-12:46.1  Это прикле
q0276  12:46.1-12:49.4  Но что это был за парень?
q0277  12:49.8-12:51.5  Наверное, ещё один ученик этой школы
q0278  12:55.4-12:57.9  Ситуация с водиным знаком очень серьёзная
q0279  12:57.9-12:58.6  Разумеется.
q0280  12:58.7-13:00.8  Мы учим наших студентов высокая мораль.
q0281  13:00.8-13:01.4  Вы должны.
q0282  13:03.4-13:05.0  Только учить недостаточно.
q0283  13:05.6-13:07.5  Одна из ваших учениц — стерва.
q0284  13:07.8-13:10.6  У Энди сегодня очень тяжелый день.
q0285  13:11.5-13:13.4  Я хотел бы расписаться в вашем ежегоднике.
q0286  13:14.2-13:15.5  На всю страницу два слова.
q0287  13:16.0-13:16.7  Желаю удачи.
q0288  13:17.5-13:18.6  Я думаю, не об этом.
q0289  13:20.0-13:21.3  Спроси, откуда он?
q0290  13:22.0-13:22.8  Откуда вы?
q0291  13:23.9-13:24.5  Огайо?
q0292  13:24.7-13:25.5  Очень мило.
q0293  13:25.5-13:26.6  Так чего вы хотите?
q0294  13:27.9-13:29.5  Он расстроен из-за картинки.
q0295  13:29.6-13:32.2  Так, хорошо, скажи ему, что это была досадная ошибка,
q0296  13:32.3-13:34.5  что мы делаем всё, чтобы её исправить, и что тебе жаль.
q0297  13:35.2-13:37.5  Это была досадная ошибка, мы её исправляем,
q0298  13:37.8-13:39.1  и вы уже получили деньги назад.
q0299  13:39.4-13:40.2  Ты сожалеешь.
q0300  13:40.7-13:44.3  И компания уже извинилась, вы можете принять извинения или нет.
q0301  13:47.6-13:49.4  Совершенно не умеет держать тебя в руках.
q0302  13:49.8-13:52.9  Мы сделаем всё, что в человеческих силах,
q0303  13:52.9-13:55.1  чтобы убедиться, что это не повторится.
q0304  13:55.1-13:58.0  Это не поможет, потому что со мной это уже случилось.
q0305  13:58.0-13:58.9  Водяной знак?
q0306  13:59.7-14:01.1  Это единичный случай.
q0307  14:01.2-14:01.8  Мне плевать.
q0308  14:02.0-14:03.0  Это было отвратительно.
q0309  14:03.3-14:05.2  Персонажи из мультика занимаются сексом.
q0310  14:05.2-14:07.3  Могу я отметить, что секс был по согласию?
q0311  14:08.2-14:09.7  Животные улыбались.
q0312  14:10.2-14:11.5  Я вырос на ферме.
q0313  14:12.1-14:15.1  Я видел животный секс во всех вариациях.
q0314  14:16.0-14:16.9  Козы и курицы.
q0315  14:17.5-14:18.5  Курица и козы.
q0316  14:19.2-14:20.4  Где курица и собака?
q0317  14:20.5-14:21.7  И свиньи смотрели?
q0318  14:22.5-14:24.3  Это нарисовал кто-то знающий.
q0319  14:25.1-14:28.0  Что я могу сделать для вас?
q0320  14:28.7-14:30.7  Для начала, думаю, вы должны уволиться.
q0321  14:31.8-14:32.2  Так.
q0322  14:33.1-14:36.5  Ну, это не совсем моя вина.
q0323  14:36.9-14:38.3  Люди на бумажной фабрике.
q0324  14:38.4-14:39.0  Вы глава.
q0325  14:39.0-14:40.7  Парень с бумажной фабрики? Нет, нет, нет.
q0326  14:40.7-14:41.4  Вы глава компании.
q0327  14:41.5-14:42.3  Я глава компании.
q0328  14:42.5-14:43.6  Да, и это ваша ответственность.
q0329  14:43.6-14:45.1  Нет, я управляющий филиалом.
q0330  14:45.1-14:46.3  И вы должны потерять работу.
q0331  14:46.3-14:46.6  Нет, что?
q0332  14:46.8-14:47.6  Ладно, это безумие.
q0333  14:48.1-14:49.3  Вы можете идти. Уходите.
q0334  14:49.5-14:50.1  Это безумие.
q0335  14:50.4-14:52.0  Я отдам это тому, кто заслуживает.
q0336  14:52.0-14:53.2  Он без права передачи.
q0337  14:53.3-14:54.1  Не важно. Вон, пожалуйста.
q0338  14:54.1-14:55.8  Я позвоню в защиту прав потребителей.
q0339  14:55.9-14:57.5  Да, а я на линию неблагодарных стерв.
q0340  15:01.7-15:03.1  Вы всё это записали?
q0341  15:04.0-15:04.5  Абсолютно.
q0342  15:08.3-15:09.8  Нам надо что-то сделать.
q0343  15:12.6-15:14.6  Всё выходит из-под контроля, Пэм.
q0344  15:14.7-15:15.7  Это просто не...
q0345  15:15.7-15:17.2  Это всего лишь Scranton Times.
q0346  15:17.2-15:19.2  Нет, потом подхватят Ньюс Уик,
q0347  15:19.6-15:21.5  потом СНН сделают сюжет,
q0348  15:21.5-15:24.2  И весь Ютьюб будет забит
q0349  15:24.2-15:27.5  Знаете что, я думаю, что вся история забудется через неделю-две
q0350  15:27.5-15:32.0  Ты права, она забудется
q0351  15:32.0-15:39.5  Но это займёт не неделю или две
q0352  15:39.5-15:41.5  Знаешь, для чего это?
q0353  15:42.9-15:43.3  Да
q0354  15:43.3-15:47.2  Майкл любит, когда я снимаю его видео с извинениями
q0355  15:47.2-15:50.9  Он говорит, ему нужна женская рука
q0356  16:24.4-16:25.9  А может быть и не только.
q0357  16:26.6-16:28.2  Чтобы вывести меня отсюда.
q0358  16:28.5-16:30.3  Вы не сможете противостоять спецназу.
q0359  16:30.8-16:32.3  Это моя преданность работе.
q0360  16:33.2-16:33.9  Я просто говорю.
q0361  16:34.1-16:34.5  Знаю.
q0362  16:34.7-16:36.9  Они зайдут с флангов, бросят фугасную гранату.
q0363  16:37.0-16:37.8  Я понимаю, Дуайт.
q0364  16:37.8-16:38.5  Вы будете на полу.
q0365  16:38.5-16:40.9  Ты не думаешь, что немного слепой, глухой и немой?
q0366  16:41.0-16:42.5  Буквально, Дуайт, если вы хотите.
q0367  16:42.7-16:43.8  А мы зря тратим плёнку.
q0368  16:43.9-16:45.0  Это всё придётся вырезать.
q0369  16:45.1-16:46.0  Скажи вырезать.
q0370  16:46.5-16:47.0  Вырезать.
q0371  16:47.6-16:48.1  Вырезать.
q0372  16:48.1-16:49.3  Чтобы я знал, где...
q0373  16:49.3-16:49.8  Вырезать.
q0374  16:50.0-16:51.8  Я просил Пэм сделать это.
q0375  16:52.3-16:53.3  Кевин, 7 плюс 4.
q0376  16:53.3-16:54.0  Так, готовы?
q0377  16:55.4-16:56.2  Одиннадцать.
q0378  16:57.0-16:59.8  Да, ты не знал этого, когда заполнял расчёт зарплаты.
q0379  17:00.6-17:03.5  Да, я хотя бы не облажался со звонками клиентов.
q0380  17:04.0-17:06.2  О, да, выкуси.
q0381  17:06.3-17:06.6  Да.
q0382  17:07.7-17:08.7  Вы две обезьяны.
q0383  17:10.2-17:12.0  Я надеюсь, ты извинишься за это, Анжела.
q0384  17:12.7-17:13.3  Простите.
q0385  17:14.3-17:15.3  Вы оба бараны.
q0386  17:15.3-17:17.5  О, но ты сказала «простите».
q0387  17:17.5-17:18.7  Я назвала вас баранами.
q0388  17:18.7-17:19.4  Но сказала это.
q0389  17:19.7-17:21.3  Сказала, так что...
q0390  17:24.4-17:31.7  5, 4, 3
q0391  17:31.7-17:34.1  Я ни за что не уволюсь
q0392  17:34.1-17:36.1  Это будет нечестно
q0393  17:36.1-17:39.0  Ни по отношению к моим коллегам
q0394  17:39.0-17:41.2  Ни для моих клиентов
q0395  17:41.2-17:43.6  И особенно для меня
q0396  17:43.6-17:48.2  Давайте не забывать, с кого началась идея об увольнении
q0397  17:48.2-17:51.9  Если я смогу внушить вам эту мысль
q0398  17:51.9-17:54.4  Запомните, я не виноват.
q0399  17:55.0-17:57.4  Из меня хотят сделать козла отпущение.
q0400  17:58.3-18:00.4  Если меня уволят, клянусь Богом,
q0401  18:01.2-18:03.7  что на каждом клочке бумаги в этом городе
q0402  18:03.7-18:05.8  будет слово на букву Х.
q0403  18:06.4-18:07.8  На букву Х.
q0404  18:08.8-18:10.6  На букву Х. Запомнили?
q0405  18:11.5-18:12.9  У вас есть один день.
q0406  18:14.4-18:15.3  Один день на что?
q0407  18:16.3-18:18.4  Это так говорится в ультиматумах.
q0408  18:19.5-18:20.2  Ладно.
q0409  18:21.0-18:21.9  Хорошо. Стоп.
q0410  18:22.4-18:22.7  Стоп.
q0411  18:24.2-18:26.3  Это было лучшее видео с извинениями.
q0412  18:26.8-18:27.7  Я тоже так думаю.
q0413  18:28.2-18:30.2  У меня прощальное письмо для Дебби Браун.
q0414  18:30.7-18:34.2  Я подумал, может, захочешь подписать, может, кинуть туда пару баксов.
q0415  18:34.7-18:36.2  К сожалению, у нее есть дети.
q0416  18:36.6-18:39.6  Мне ужасно жаль, Дебби Браун ее уволили из-за Дуайта.
q0417  18:40.2-18:42.0  Я решил пустить прощальное письмо по рукам,
q0418  18:42.0-18:45.3  чтобы кто-нибудь дал ей пару баксов пережить эти трудные времена.
q0419  18:46.7-18:49.8  Почему плохие вещи случаются с хорошими людьми?
q0420  18:50.2-18:52.3  Это трагично
q0421  18:52.3-18:53.5  Трагично
q0422  18:53.5-19:01.0  Послушай музыку, мне плевать
q0423  19:01.0-19:05.6  Да брось, пройдет пара дней, ты будешь в норме
q0424  19:05.6-19:07.0  Да
q0425  19:20.2-19:22.2  Знаешь, что я не...
q0426  19:44.2-19:46.2  Глаз.
q0427  19:50.2-20:20.2  Девушки отдыхают
q0428  20:20.2-20:22.2  Совокупимся, потому что ты моя девушка.
q0429  20:22.7-20:23.0  Нет.
q0430  20:23.5-20:24.3  Давай, ладно.
q0431  20:24.5-20:25.2  Да уж, спасибо.
q0432  20:32.2-20:33.5  Ты посмотри.
q0433  20:34.1-20:35.2  Я Джим Халперт.
q0434  20:37.5-20:38.2  Сточку.
q0435  20:39.2-20:40.5  Тебя не спрашивают.
q0436  20:50.2-21:20.2  Продолжение следует...
