q0001  00:00.0-00:01.7  Привет. Привет.
q0224  11:22.7-11:24.5  Я говорю, что это проявление сексизма.
q0225  11:24.5-11:26.5  Нет, я был мизогеничным.
q0226  11:27.1-11:28.5  Это безумие, я не сексист.
q0227  11:28.5-11:30.0  Это тоже самое?
q0228  11:30.2-11:30.4  Да.
q0229  11:31.1-11:34.3  Майкл, когда я подстриглась, вы спросили, не лесбиянка ли я.
q0230  11:35.0-11:40.9  Потому что это было единственное объяснение того, почему ты сделала короткую стрижку.
q0231  11:41.0-11:44.1  А когда мы злимся, вы все время спрашиваете, не месячные ли у нас?
q0232  11:44.2-11:46.0  Я должен знать, всерьез вы или нет.
q0233  11:46.4-11:47.8  Я боюсь, чтобы у меня были месячные.
q0234  11:48.6-11:51.9  Будь у меня менструация, мне не нужны были бы идиотские календари.
q0235  11:52.5-11:54.9  Я бы все считал от своего последнего цикла.
q0236  11:55.5-11:57.9  Плюс я бы жил по фазам Луны и приливам.
q0237  11:57.9-11:59.5  Может, мы пойдем работать?
q0238  11:59.7-12:00.5  Хорошо, да.
q0239  12:00.9-12:02.2  Это не рабочий разговор.
q0240  12:02.7-12:04.1  Ты права. И знаешь что?
q0241  12:04.7-12:06.1  Это все из-за обстановки.
q0242  12:06.5-12:09.0  Здесь очень мужская атмосфера.
q0243  12:09.4-12:11.9  Надо найти место, где вам будет удобнее.
q0244  12:12.8-12:13.7  Знаете, как поступим?
q0245  12:15.0-12:16.9  Торговый центр «Стимтаун».
q0246  12:17.5-12:19.6  Честно, это оскорбительно.
q0247  12:20.0-12:22.7  Но мне кучу вещей надо в машину купить.
q0248  12:23.0-12:25.4  Так что я это сделаю.
q0249  12:25.4-12:28.1  В торговых центрах ужасно и унизительно.
q0250  12:28.5-12:34.4  В каждом магазине противные продавцы так и носятся вокруг взрослых женщин в детском отделе.
q0251  12:35.5-12:43.2  Есть ведь невысокие женщины, которые поменьше остальных и носят детские размеры.
q0252  12:43.9-12:45.6  Ладно, поехали.
q0253  12:46.0-12:47.1  Там и Дандер Мифлин.
q0254  12:48.0-12:49.9  Эй, надо нам календарь напечатать.
q0255  12:50.3-12:52.3  Пэм, запиши в папку с хорошими идеями.
q0256  12:53.3-12:53.9  Поехали.
q0257  12:53.9-12:55.9  Ты закончила с наброском?
q0258  12:56.0-12:56.2  Да.
q0259  12:57.6-12:59.2  Не похож на извращенца.
q0260  12:59.7-13:01.0  Элис хорошо рассмотрела.
q0261  13:05.1-13:08.1  Я хочу везде расклеить рожу этого извращенца.
q0262  13:09.9-13:12.3  Можешь бежать, но тебе не спрятаться.
q0263  13:15.8-13:17.1  Мередит, не гони.
q0264  13:17.6-13:19.1  Мертвые мы туда не доедем.
q0265  13:19.5-13:21.2  Спасибо, я умею водить.
q0266  13:23.9-13:29.4  Думаю, не надо сорить
q0267  13:29.4-13:31.6  Моя тачка, мои правила
q0268  13:31.6-13:36.8  Эй, Джим
q0269  13:36.8-13:40.1  Почешь сходить в женский туалет?
q0270  13:40.9-13:41.9  Нет, спасибо
q0271  13:41.9-13:43.9  Тебе не любопытно?
q0272  13:44.5-13:46.0  Не очень, я уже видел туалеты
q0273  13:46.0-13:47.5  Да, но
q0274  13:47.5-13:50.4  Это же мечта каждого парня
q0275  13:50.4-13:53.2  Ты, наверное, про женскую раздевалку
q0276  13:53.2-13:55.2  И в мечтах обычно там девчонки.
q0277  13:58.6-13:59.4  Я пойду.
q0278  14:00.2-14:00.7  Отрывайся.
q0279  14:06.8-14:08.2  Боже мой.
q0280  14:09.2-14:12.3  Я очень благодарен за то, что ты позволил мне работать с тобой сегодня.
q0281  14:12.7-14:14.2  Конечно, благодарен, круглолицый.
q0282  14:14.9-14:16.5  Это потому, что ты стильный урод.
q0283  14:17.0-14:18.5  Парея в офисе, и никто тебя не любит.
q0284  14:18.6-14:19.7  Расклей это по всему зданию.
q0285  14:32.0-14:33.2  Скорее, так точно, генерал
q0286  14:33.2-14:35.9  Не думаю, что у неё получится
q0287  14:35.9-14:38.9  Не думаю, что у неё получится
q0288  14:38.9-14:42.9  Тут немного тесно
q0289  14:42.9-14:44.8  Найду другое место
q0290  14:44.8-14:48.5  Многие женщины хорошие водители
q0291  14:48.5-14:50.7  Ладно, идём
q0292  14:50.7-15:02.3  Здесь все проверили.
q0293  15:02.3-15:07.2  Беру слова обратно.
q0294  15:07.3-15:08.2  Тут даже круто.
q0295  15:08.3-15:09.1  Да.
q0296  15:11.1-15:13.4  Куда сегодня Карен сводишь?
q0297  15:13.5-15:14.9  В Анну-Марию.
q0298  15:15.1-15:15.7  Что отмечаете?
q0299  15:16.2-15:17.2  Годовщину, полгода.
q0300  15:19.2-15:20.0  Что?
q0301  15:20.0-15:24.1  Ничего, мы тут все думали, что вы просто гуляете.
q0302  15:24.1-15:29.9  Нет, мы еще и встречаемся шесть месяцев.
q0303  15:29.9-15:32.9  Она может упоминала про мейл, который я ей как-то
q0304  15:32.9-15:33.9  написал.
q0305  15:33.9-15:37.1  Да, припоминаю, она мне читала.
q0306  15:37.1-15:41.4  Сказала, что не готова встречаться с друзьями из офиса.
q0307  15:41.4-15:42.9  Но она тебя любит как друга.
q0308  15:42.9-15:45.1  Я так и понял.
q0309  15:45.1-15:48.0  Ничего, мне и не нужны служебные романы.
q0310  15:48.0-15:51.4  Надеюсь
q0311  15:51.4-15:54.7  Никто не на диете
q0312  15:54.7-15:55.4  Спасибо, Майкл
q0313  15:55.4-15:56.6  Спасибо, Майкл
q0314  15:56.6-15:57.6  Пожалуйста, пожалуйста
q0315  15:57.6-15:59.8  Так
q0316  15:59.8-16:03.1  Давайте посплетничаем
q0317  16:03.1-16:05.2  О чем хотите посплетничать?
q0318  16:06.0-16:08.2  Что такое мазок из шейки?
q0319  16:08.4-16:09.3  Или это смазка?
q0320  16:09.3-16:10.9  Как плавленый сырок?
q0321  16:11.6-16:12.9  Ладно, сменим тему
q0322  16:12.9-16:24.0  А что такое мазок?
q0323  16:24.1-16:25.5  Или рожок?
q0324  16:25.9-16:27.3  Типа, который с кремом?
q0325  16:27.9-16:29.2  Так, сменим тему.
q0326  16:29.7-16:31.7  Келли, как у тебя с Райаном?
q0327  16:31.8-16:32.4  Офигенно.
q0328  16:33.6-16:36.1  В смысле фигово, но иногда офигенно.
q0329  16:37.1-16:40.2  Что вы думаете о ролевых играх?
q0330  16:40.4-16:41.4  Это может быть забавно.
q0331  16:41.4-16:41.7  Да.
q0332  16:41.7-16:45.8  Да. У Джен есть эта фантазия со школьницей?
q0333  16:46.3-16:47.8  Довольно распространенная.
q0334  16:48.7-16:51.3  Я просто... Мне не очень удобно в платье.
q0335  16:51.7-16:53.3  Так, я пойду в кукольный магазин.
q0336  16:54.6-16:57.3  Иногда костюмы в Гэп Китс слишком яркие,
q0337  16:57.5-16:59.5  так что я пойду в магазин Американ Гёрлс
q0338  16:59.5-17:02.1  и закажу одежду для больших кукол-колонисток.
q0339  17:03.6-17:05.8  Майкл, не надо делать то, от чего неудобно.
q0340  17:06.1-17:09.7  Джен говорит, то, что нас не пугает, ничего не стоит.
q0341  17:09.7-17:13.2  Не знаю, может, мы разные люди.
q0342  17:13.6-17:17.2  Мне нравятся обнимашки и поцелуи, а ей нравится снимать нас во время секса.
q0343  17:17.2-17:17.7  Боже мой.
q0344  17:18.8-17:21.8  И потом просматривать это, чтобы я не терял форму.
q0345  17:22.1-17:23.5  Это нездоровое поведение.
q0346  17:24.1-17:25.7  Нет, это неплохо.
q0347  17:26.3-17:30.0  Худшее в том, что она показывает это своему психологу и обсуждает.
q0348  17:30.2-17:31.7  Майкл, вам надо это прекращать?
q0349  17:32.5-17:33.0  Нет.
q0350  17:33.6-17:34.8  Она просто дурачится.
q0351  17:35.2-17:36.5  Это женские штучки.
q0352  17:36.7-17:38.9  Нет, ни одна женщина так не поступит.
q0353  17:38.9-17:40.1  Это плохо.
q0354  17:49.9-17:52.4  О, всё нормально.
q0355  17:53.2-17:53.8  Я в норме.
q0356  17:54.8-17:55.4  В норме.
q0357  17:56.7-17:59.8  Вы, ребята, что мне делать с Джен?
q0358  18:04.3-18:05.2  Сделал.
q0359  18:06.5-18:07.8  Начало положительное.
q0360  18:07.8-18:08.6  Так.
q0361  18:08.9-18:18.6  Джен умная, успешная, хорошо одевается, красотка, идеальная кожа, отличный зад.
q0362  18:19.2-18:21.9  У нее очень хорошая одежда. Ладно, ладно, негатив.
q0363  18:23.1-18:29.4  Негатив. Слишком много макияжа, грудь, совершенно не о чем писать,
q0364  18:29.7-18:32.7  скудноватое тело, я несчастлив, когда я с ней.
q0365  18:33.0-18:33.7  Плоскогрудая.
q0366  18:33.7-18:34.7  Что это было последнее?
q0367  18:34.9-18:36.8  Совершенно плоская доска и два соска.
q0368  18:36.8-18:38.1  Нет, перед этим.
q0369  18:38.9-18:40.7  Я несчастлив, когда я с ней.
q0370  18:42.1-18:45.2  Майкл, вы не должны быть с тем, с кем вы несчастливы.
q0371  18:45.4-18:46.5  Иногда я счастлив.
q0372  18:49.7-18:51.1  Когда мы делаем альбом.
q0373  18:52.2-18:54.8  Или прямо перед завершением секса.
q0374  18:55.3-18:58.1  Слушайте, в большинстве отношений бывают черные полосы.
q0375  18:58.3-18:59.4  Иногда их нужно пережить.
q0376  18:59.8-19:00.8  Да, это умно.
q0377  19:01.0-19:01.5  Может быть.
q0378  19:01.9-19:03.9  Но кажется, вы просто друг к другу не подходите.
q0379  19:04.5-19:05.6  Это тоже умно.
q0380  19:05.6-19:11.7  Я не знаю, кто прав. Я просто... просто не знаю.
q0381  19:12.0-19:14.9  Держу пари, знаете. Не думайте, просто отвечайте.
q0382  19:15.0-19:16.4  Как вы хотите поступить с Джен?
q0383  19:16.4-19:17.7  Я хочу разойтись с Джен.
q0384  19:18.8-19:19.2  Ого!
q0385  19:20.3-19:22.3  Я хочу разойтись с Джен.
q0386  19:24.2-19:26.0  Это меня мама научила.
q0387  19:28.8-19:31.3  Невероятно, что в этом йогурте нет калорий.
q0388  19:31.9-19:33.4  Никто не говорил, что их там нет.
q0389  19:33.4-19:35.4  О, девчонки!
q0390  19:35.6-19:40.5  Хочу сделать для вас приятное, потому что вы уже сделали
q0391  19:40.5-19:42.6  мне очень приятно.
q0392  19:42.6-19:45.9  Пойдите-ка туда и купите по одной вещи за мой счет
q0393  19:45.9-19:47.1  в знак благодарности.
q0394  19:47.1-19:48.1  Вперед!
q0395  19:48.1-19:49.1  Заходите!
q0396  19:49.1-19:53.5  Давайте признаем, что большинство парней пещерные люди.
q0397  19:53.5-19:57.8  Им нравится, когда женщины носят декольте, каблуки
q0398  19:57.8-20:04.7  по 20 сантиметров, прозрачные трусики, но...
q0399  20:04.7-20:11.3  Но для меня красивая женщина — это совершенно голая женщина.
q0400  20:17.2-20:18.4  Офигенно, да?
q0401  20:21.3-20:23.3  Надо почаще это делать.
q0402  20:23.9-20:26.0  Думаю, мы достаточно здесь торчим.
q0403  20:29.2-20:30.9  Что вы здесь делаете?
q0404  20:31.1-20:32.2  Это женский туалет.
q0405  20:32.2-20:33.0  Это уже здесь.
q0406  20:33.2-20:34.3  Я плачу за это право.
q0407  20:34.7-20:35.7  Ясно.
q0408  20:42.1-20:44.5  Я совершенно нормальный парень.
q0409  20:44.5-20:46.2  Есть только одна странность.
q0410  20:46.2-20:48.9  Я люблю ходить в женский туалет по-большому.
q0411  20:48.9-20:52.0  Меня ловили несколько раз, и я дорого платил.
q0412  20:56.2-20:57.5  Тебе ничего не надо?
q0413  20:57.5-20:59.5  Я заплачу.
q0414  20:59.5-21:00.5  Трусики.
q0415  21:03.0-21:04.4  Стринги.
q0416  21:04.4-21:05.3  Бюстгальтер.
q0417  21:06.4-21:07.6  Купи себе лифчик.
q0418  21:08.5-21:09.4  Прозрачный.
q0419  21:10.1-21:11.6  Объемный, со шнурками.
q0420  21:12.2-21:13.5  Такой, грудастый.
q0421  21:13.7-21:18.9  Любой. Просто я бы с радостью купил тебе комплект нового белья.
q0422  21:20.4-21:23.0  Филлис, как тебе не слишком?
q0423  21:23.8-21:25.0  Джиму понравится.
q0424  21:31.0-21:33.7  У меня пока нет парня.
q0425  21:46.5-21:47.2  Мередит!
q0426  21:48.0-21:49.0  Не гони!
q0427  21:53.9-21:55.1  Джен звонит.
q0428  21:55.7-21:56.3  Что делать?
q0429  21:56.5-21:57.0  Отвечайте.
q0430  21:57.2-21:58.0  Не отвечайте!
q0431  22:01.8-22:03.2  Все, проехали.
q0432  22:04.9-22:06.1  Зараза!
q0433  22:16.0-22:19.5  Листовка внимания извращенец при контакте звонить Дуайту Шруту.
q0434  22:20.5-22:21.7  А это уже круто.
q0435  22:27.5-22:30.4  Майкл, вы ведь умеете заменять колеса, да?
q0436  22:32.0-22:33.4  А, ну да.
q0437  22:34.9-22:39.9  Кто-нибудь принесите мне рычаг, я это...
q0438  22:39.9-22:42.9  Мередит, включи аварийки.
q0439  22:42.9-22:45.9  Да, включи на всякий случай.
q0440  22:45.9-22:47.9  Посмотрим.
q0441  22:51.9-22:54.9  Хорошо, так, что тут у нас?
q0442  22:54.9-22:59.9  Не надо, я сама.
q0443  22:59.9-23:05.1  Есть отвертка?
q0444  23:05.5-23:06.7  Крестовая отвертка.
q0445  23:06.8-23:08.0  Вряд ли она нам нужна.
q0446  23:09.0-23:11.5  Ладно, пойду-ка я...
q0447  23:11.5-23:13.6  Ты пока займись, а я порегулирую.
q0448  23:15.7-23:18.5  Сегодня я сменила колесо.
q0449  23:19.2-23:19.8  Сама.
q0450  23:21.3-23:22.9  Халат уже пригодился.
q0451  23:24.0-23:24.7  Бегу.
q0452  23:29.9-23:31.2  Думаешь, мы его найдем?
q0453  23:31.5-23:32.3  Думаю, да!
q0454  23:32.9-23:34.6  Потому что правосудие не дремлет.
q0455  23:35.2-23:35.7  Половинку?
q0456  23:36.3-23:36.6  Нет.
q0457  23:37.2-23:37.7  Целенькую.
q0458  23:40.1-23:43.1  Слушай, я благодарен, что могу следовать за тобой сегодня.
q0459  23:43.3-23:44.6  Кажется, я многому научился.
