q0001  00:00.0-00:30.0  Девушки отдыхают
q0041  01:49.1-01:50.7  Ах ты ебанат!
q0042  01:56.5-02:00.6  Ах ты, пидармод.
q0043  02:02.3-02:04.2  Пусти меня, пожалуйста, а то разобью.
q0044  02:04.4-02:06.1  Мне насрать, мне насрать, сейчас разобью.
q0045  02:06.2-02:07.0  Я не слышу.
q0046  02:07.2-02:07.8  Вот, блин.
q0047  02:07.9-02:08.7  Не слышу.
q0048  02:12.3-02:14.3  Да, но нахрена тебе доля в компании?
q0049  02:14.7-02:17.7  Знал бы, как всё пойдёт, отказался бы от доли и взял бы наличкой.
q0050  02:17.9-02:18.6  Я тебе говорю.
q0051  02:19.5-02:20.2  Чё за хрен?
q0052  02:20.7-02:22.4  Да так, никто, программист.
q0053  02:22.5-02:23.7  Но тебе латиносы, Паша?
q0054  02:24.1-02:24.9  Ну, круто, чё.
q0055  02:25.3-02:27.0  Латиносы редко шарят в компах.
q0056  02:28.4-02:28.7  Да.
q0057  02:29.3-02:30.6  Да, он Латинос.
q0058  02:31.2-02:31.5  Да.
q0059  02:32.2-02:33.7  И он наш лучший программист.
q0060  02:33.9-02:35.7  У него особый латиноамериканский дар.
q0061  02:35.8-02:37.6  Я же говорил, у нас всё по-другому.
q0062  02:39.3-02:40.2  Другое дело.
q0063  02:40.6-02:42.7  С фирмой с Латиносом я возьму наличкой.
q0064  02:43.1-02:44.7  А сейчас давай-ка отсюда ноги делать.
q0065  02:44.8-02:47.3  Я тут чужой тэк закрасил, а за такое могут и пристрелить.
q0066  02:47.4-02:48.1  Ладно, давай, пис.
q0067  02:49.0-02:49.5  Ладно.
q0068  02:50.1-02:50.7  Пис, чуй.
q0069  02:54.9-02:57.8  Вот блин, это ж...
q0070  02:57.8-02:58.9  Ни хрена не смешно.
q0071  02:59.3-03:00.7  Эй, Динаш, а ну в машину нахуй!
q0072  03:01.5-03:03.2  Сейчас нас будут гнать.
q0073  03:03.6-03:03.8  Что?
q0074  03:10.2-03:11.3  Кремниевая долина.
q0075  03:15.6-03:19.2  Ты пообещал ему 10 тысяч долларов, никого не спросив?
q0076  03:19.7-03:20.7  Ты что, под кайфом?
q0077  03:21.2-03:23.1  Есть, Дэцу, но это ни при чем.
q0078  03:23.1-03:25.6  Крутой конторе нужно крутое лого.
q0079  03:25.8-03:30.4  Думаешь, эти слюнтяи из ядра догадаются нанять бывшего урку, разукрасить им гараж?
q0080  03:30.6-03:31.7  За 10 тысяч долларов?
q0081  03:31.9-03:32.3  Нет.
q0082  03:32.6-03:34.8  Слушай, я прикинул график расходов.
q0083  03:36.2-03:38.1  Да ёб твою за ногу, а!
q0084  03:43.0-03:44.3  Всё печально.
q0085  03:44.8-03:48.1  Если ничего не изменить, мы не уложимся в 5 месяцев.
q0086  03:48.2-03:52.0  А даже с урезанными зарплатами финансов хватит на 4 месяца.
q0087  03:52.0-03:54.4  И это без учёта десятитысячных художников.
q0088  03:54.7-03:56.6  Потери? Я заключил сделку века.
q0089  03:56.8-03:58.8  Он просил долю, пока не увидел Динеша.
q0090  03:59.0-03:59.6  По что? Что?
q0091  04:00.5-04:01.8  Только без обид, ладно?
q0092  04:02.1-04:06.9  Но по какой-то непонятной причине Чуй глянул на тебя и решил, что ты мексиканец.
q0093  04:08.8-04:10.5  А с чего я должен обидеться?
q0094  04:11.2-04:11.5  Что?
q0095  04:12.0-04:14.6  Ты сказал без обид, но он принял тебя за мексиканца.
q0096  04:14.6-04:15.5  Он сам мексиканец?
q0097  04:15.8-04:17.4  Он-то да, а ты-то нет.
q0098  04:17.6-04:18.4  Ты пакистанец.
q0099  04:18.6-04:19.0  И что?
q0100  04:19.0-04:25.3  Хотя, то, что ты решил, что я обижусь, вот это обидно.
q0101  04:25.8-04:27.1  Ты, выходит, расист?
q0102  04:27.4-04:27.9  Нет.
q0103  04:28.2-04:30.1  Это же не я обозвал тебя мексиканцем.
q0104  04:30.4-04:31.6  Обозвал мексиканцем?
q0105  04:32.1-04:33.0  Ну вот опять.
q0106  04:33.4-04:36.4  Я вот сейчас изо всех сил стараюсь не быть расистом.
q0107  04:36.9-04:39.4  Ну ладно, и что он сказал, когда узнал, что ошибся?
q0108  04:40.0-04:40.7  А он не узнал.
q0109  04:41.6-04:42.1  А почему?
q0110  04:42.5-04:44.8  Потому что так он дешевле покрасит гараж.
q0111  04:46.5-04:47.0  Я...
q0112  04:47.0-04:49.0  Я даже не знаю, что тебе ответить.
q0113  04:49.4-04:51.1  Так, не надо меня подлавливать.
q0114  04:51.4-04:52.9  Я не расист, ясно?
q0115  04:53.1-04:55.1  Я порнухи с неграми смотрю.
q0116  04:55.3-04:56.6  Просто до хера.
q0117  04:57.5-04:58.4  Один вопрос.
q0118  04:59.0-05:02.8  А в твоей порнухе чёрный мужчина или женщина?
q0119  05:03.4-05:04.0  Или оба?
q0120  05:04.9-05:06.9  А что, одно расизм, а второй нет?
q0121  05:07.1-05:08.8  Я хакну его историю в Браузере.
q0122  05:08.9-05:09.6  Давай проверим.
q0123  05:09.9-05:10.3  Ага.
q0124  05:10.6-05:11.0  Стой!
q0125  05:11.0-05:12.2  Это не обязательно.
q0126  05:13.2-05:13.8  Стоять!
q0127  05:14.7-05:17.0  Ричард, можешь это объяснить?
q0128  05:17.0-05:19.0  Что?
q0129  05:47.0-05:48.9  В таком бардаке нам ничего не светит.
q0130  05:49.3-05:52.0  Либо работаем по правилам бизнеса, либо мы никогда...
q0131  05:54.1-05:55.3  Ричард?
q0132  05:56.8-05:57.4  Ричард?
q0133  06:00.0-06:01.5  Спасибо, что пришёл, Нельсон.
q0134  06:01.7-06:03.5  Мистер Белсон очень тебя ждёт.
q0135  06:04.6-06:06.9  А я думал, он сейчас в Джексон Холл.
q0136  06:07.7-06:08.4  Да, он там.
q0137  06:08.7-06:10.2  Но мы свяжемся по телечелу.
q0138  06:10.9-06:11.5  Потрясающе.
q0139  06:11.5-06:15.0  Мы купили голографическую 3D-технологию для телеконференций.
q0140  06:15.0-06:18.2  Будет полное ощущение присутствия Гевина с нами в комнате.
q0141  06:19.9-06:21.8  О, а вот и он! Вот и он!
q0142  06:24.9-06:27.0  Здравствуй, Нельсон. Спасибо, что пришёл.
q0143  06:27.6-06:31.3  Ух ты! Здрасте, клёво! А я у вас тоже голограмма?
q0144  06:32.0-06:34.3  Что? Нет, конечно нет.
q0145  06:34.8-06:37.4  Вопрос. Ты общаешься с Ричардом Хендриксом?
q0146  06:37.7-06:41.8  Ну, да, не про ядро, конечно, но...
q0147  06:41.8-06:44.1  Зачем он выставил дудочника на битву техкранч?
q0148  06:44.5-06:46.3  Оттуда вышло много крупных игроков.
q0149  06:46.5-06:48.3  Дропбокс, Ямор и прочие.
q0150  06:48.7-06:50.2  Но Питер Грегори их уже спонсирует.
q0151  06:50.4-06:52.4  Зачем он пустил туда Ричарда? Не вижу смысла.
q0152  06:53.0-06:55.8  Я не знаю. Я вообще не знал, что он участвует.
q0153  06:55.9-06:57.2  Питер Грегори что, меня дразнит?
q0154  06:57.9-06:59.7  Хочет выставить Ричарда простаком?
q0155  07:12.5-07:14.5  алло
q0156  07:14.5-07:16.5  я вас слышу вот изображение
q0157  07:16.5-07:18.5  нельсон помолчи секунду если ты меня слышишь
q0158  07:18.5-07:20.5  махни рукой
q0159  07:20.5-07:22.5  вот так видно я вас слышу вот так
q0160  07:22.5-07:24.5  понятия не имею что ты там говоришь
q0161  07:24.5-07:26.5  нельсон помогите пожалуйста
q0162  07:26.5-07:33.7  Так, похоже, когда вы настраивались, забыли...
q0163  07:33.7-07:34.5  Я не настраивал.
q0164  07:34.9-07:36.8  Я заплатил, чтобы мне настроили.
q0165  07:37.2-07:37.6  Почините.
q0166  07:38.3-07:39.8  А, ладно.
q0167  07:41.5-07:43.9  Дело в том, что сломался.
q0168  07:44.8-07:46.8  А, звук работает.
q0169  07:47.1-07:47.8  Говорите так.
q0170  07:48.1-07:49.0  Звук работает?
q0171  07:49.2-07:53.3  Прошу прощения, я отдал, блядь, 20 миллионов долларов за эту компанию.
q0172  07:53.7-07:55.2  Охуеть, звук у них работает.
q0173  07:55.6-07:58.0  Звук, блядь, заработал сто лет назад.
q0174  07:58.3-07:59.8  Сраный мудозву...
q0175  07:59.8-08:05.4  Похоже, мы его потеряли.
q0176  08:05.6-08:07.9  Да. Давайте позвоним по хули-чату.
q0177  08:08.2-08:08.4  Да.
q0178  08:11.9-08:13.3  О, так-то лучше.
q0179  08:13.7-08:14.5  Прошу прощения.
q0180  08:15.0-08:16.9  Челли-челли прогрессивная технология.
q0181  08:17.3-08:19.6  Увы, интернет в глуши Вайоминга не актив.
q0182  08:20.1-08:22.2  Кстати, какие возможности для бил...
q0183  08:22.2-08:26.4  Нэссон, мать мне руку. Пышно?
q0184  08:27.3-08:28.8  Ну, ебать колотить.
q0185  08:32.4-08:35.4  Аааа, вы забыли обновить программу.
q0186  08:35.8-08:36.6  Чёрт поверь.
q0187  08:37.0-08:37.2  Пле...
q0188  08:38.0-08:40.2  Запрошенная операция не может быть выполнена.
q0189  08:41.2-08:41.5  Ой.
q0190  08:47.3-08:48.1  Алло.
q0191  08:49.0-08:50.2  А, здравствуйте, Говен.
q0192  08:51.2-08:52.1  Что-что?
q0193  08:52.2-08:54.4  Простите, связь пропадает.
q0194  08:54.9-08:55.5  Алло!
q0195  08:56.2-08:56.7  Алло!
q0196  08:57.7-08:59.5  Так, начнём собрание.
q0197  08:60.0-09:02.6  Нам следует определить корпоративную культуру.
q0198  09:03.0-09:06.5  Наша корпоративная культура в отсутствии корпоративной культуры.
q0199  09:06.8-09:08.4  Это полный бред, Гилфойл.
q0200  09:08.5-09:13.0  Главная причина тонкого нюха у собак в том, что их нос находится ближе к земле.
q0201  09:13.3-09:16.9  Таким образом, после небольшой тренировки я смогу чуять не хуже любого пса.
q0202  09:17.4-09:19.1  Ребят, вы знак на двери видели?
q0203  09:19.1-09:20.7  У нас тут вообще-то собрание.
q0204  09:20.7-09:22.7  Поздравляю!
q0205  09:23.0-09:24.7  Только для топ-менеджмента
q0206  09:25.2-09:30.4  А ты не прихуел ли?
q0207  09:31.0-09:32.3  Ты что, нас отсюда прогоняешь?
q0208  09:32.4-09:35.2  Я думал, может, вы возьмёте еду с собой в комнату
q0209  09:35.2-09:39.9  Значит, у вас собрание в комнате, где еда, а мы должны есть в комнате, где компьютеры?
q0210  09:40.2-09:42.5  Ребят, пять минут, прошу
q0211  09:42.5-09:50.7  Вот
q0212  09:50.7-09:53.1  Видите, вот, вот о чём я говорю.
q0213  09:53.2-09:56.6  У нас есть фирма, но нет границы субординации.
q0214  09:57.0-10:01.0  Надо разработать чёткую корпоративную культуру, иначе ничего не выйдет.
q0215  10:01.2-10:02.5  Взять Денеша с Гилфойлом.
q0216  10:02.8-10:05.0  Они кучу времени теряют на пустые споры.
q0217  10:05.5-10:07.0  Давайте их как-нибудь разведём.
q0218  10:07.5-10:10.1  Разделим рабочее пространство на две части.
q0219  10:10.6-10:12.5  Можно поставить, скажем, ширму...
q0220  10:12.5-10:13.7  Нас хотят загнать в клетки!
q0221  10:14.0-10:15.8  Никаких клеток, ни за что!
q0222  10:16.0-10:17.8  Нет-нет-нет, это вовсе не клетки.
q0223  10:17.8-10:23.0  Это будут некие небольшие перегородки вокруг вашего рабочего места.
q0224  10:27.1-10:28.1  Ладно, пусть.
q0225  10:28.5-10:30.0  Но знаете, кто сидит в клетках?
q0226  10:30.3-10:32.5  Все работники 500 крупнейших фирм США.
q0227  10:32.7-10:34.1  Почему? Потому что там работают.
q0228  10:34.4-10:36.2  Он хочет обратить нас в Рокопопс.
q0229  10:36.3-10:36.6  Нет.
q0230  10:37.1-10:38.6  А мы делаем панк-рок.
q0231  10:39.1-10:42.0  Вообще-то, мне кажется, что лучшей аналогией будет джаз.
q0232  10:42.1-10:46.8  Из ритмов и импровизаций вокруг центральной темы складывается цельное музыкальное полотно.
q0233  10:46.8-10:50.8  Не-не, джаз мы хуярили в джульяртской школе. Мы не джаз, мы, сука, панк-рок.
q0234  10:51.0-10:55.6  Видите? Вы спорите даже о том, какой метафорой друг с другом согласиться.
q0235  10:56.0-10:58.2  Вот эту неэффективность я хочу устранить.
q0236  10:58.8-11:03.0  Моё предложение позволит вам победить меня в этом споре.
q0237  11:03.9-11:05.0  Видите здесь иронию?
q0238  11:05.0-11:17.3  Мне... нечего ответить.
q0239  11:17.5-11:18.2  Йо, Эрлик!
q0240  11:18.3-11:19.4  А, чё я прибыл?
q0241  11:19.8-11:22.3  Нет, и вот, вот самый главный нонсенс.
q0242  11:22.6-11:27.8  Мы что, правда хотим потратить 10 тысяч долларов на... на... на логотип, который можно придумать бесплатно?
q0243  11:28.1-11:28.9  Это бред.
q0244  11:29.6-11:30.7  Хочешь логотип?
q0245  11:31.0-11:31.4  Вот.
q0246  11:32.3-11:32.6  Сейчас.
q0247  11:34.3-11:34.6  Вот.
q0248  11:35.0-11:37.6  Только что я сэкономил нам 10 тысяч долларов.
q0249  11:37.8-11:38.9  Ты ебанулся, что ли?
q0250  11:39.0-11:40.1  Строчные буквы?
q0251  11:40.4-11:41.8  Твиттер? Строчная Т.
q0252  11:42.0-11:43.3  Гугл? Строчная Г.
q0253  11:43.7-11:45.4  Фейсбук? Строчная Ф.
q0254  11:45.7-11:48.7  У каждого ебаната в долине есть строчная буква.
q0255  11:48.9-11:50.5  А почему? Так безопасней.
q0256  11:50.6-11:52.5  Но мы на это не пойдём.
q0257  11:53.8-11:55.0  Мы пойдём за Чуи.
q0258  11:55.9-11:59.9  Или бледнолицые братья хотят выйти и рассказать урке с тремя ходками за побои,
q0259  11:59.9-12:01.5  что он не получит обещанных денег?
q0260  12:02.8-12:04.1  Так я и думал.
q0261  12:04.1-12:06.5  Эх вы, блин.
q0262  12:09.5-12:12.3  Не закончили наслаждаться спаржей, сэр?
q0263  12:13.1-12:14.6  Я ей не наслаждался.
q0264  12:15.5-12:17.2  Я потреблял ее в пищу.
q0265  12:18.6-12:19.6  Можете забрать.
q0266  12:22.9-12:24.1  Вот черт.
q0267  12:26.1-12:28.4  Питер, не хочу расстраивать,
q0268  12:29.6-12:31.2  но сюда пошел Гэвин Беллсон.
q0269  12:34.1-12:41.0  Он нас видит?
q0270  12:41.4-12:43.8  Не знаю, он, видимо, знал, что ты здесь.
q0271  12:44.4-12:48.2  Если я удалюсь в упорную, он же не пойдёт?
q0272  12:48.6-12:49.1  Питер!
q0273  12:50.1-12:51.8  Не знал, что ты здесь.
q0274  12:53.4-12:55.5  Гавин, здравствуй.
q0275  12:57.8-12:58.9  Рад тебя видеть.
q0276  13:00.5-13:01.5  Я тоже.
q0277  13:04.1-13:05.9  Как твои дела?
q0278  13:06.9-13:07.7  Нормально.
q0279  13:08.8-13:09.4  А твои?
q0280  13:09.9-13:10.7  Неплохо.
q0281  13:11.8-13:13.5  Только вернулся из Джексон Хоу.
q0282  13:14.4-13:15.0  Бывал там?
q0283  13:16.3-13:17.5  Не бывал.
q0284  13:18.4-13:20.0  Но многое слышал.
q0285  13:22.8-13:24.6  Хорошо выглядишь.
q0286  13:25.5-13:26.3  Занимаешься?
q0287  13:26.3-13:29.0  Я пробую Пилатес.
q0288  13:29.4-13:32.0  А, говорят, хорошая штука.
q0289  13:34.1-13:35.7  Мне нравится.
q0290  13:36.4-13:36.6  Да.
q0291  13:39.3-13:41.5  Не хотел вам мешать.
q0292  13:42.8-13:44.0  Приятно повидаться, Питер.
q0293  13:44.1-13:44.8  До свидания.
q0294  13:45.0-13:45.3  Пока.
q0295  13:52.0-13:54.0  Вот ещё, чуть не забыл.
q0296  13:54.3-13:59.5  Видел, что Пеггий Дудочник заявился на битву стартапов на Техкранч.
q0297  13:59.5-14:03.9  Я решил позвонить в Техкранч и предложить быть ключевым докладчиком.
q0298  14:04.1-14:05.8  Они великодушно согласились.
q0299  14:20.0-14:26.0  Я ни разу не видела, чтобы он так злился.
q0300  14:26.0-14:29.0  О чём ты вообще думал, Ричард?
q0301  14:29.0-14:32.0  Почему умолчал о заявке на техкранч?
q0302  14:32.0-14:36.0  Я подал её ещё до нашей встречи и умолчал, потому что собрался её отозвать.
q0303  14:36.0-14:37.0  Ни за что.
q0304  14:37.0-14:39.0  Нет, почему?
q0305  14:39.0-14:43.2  По кочану Гэвин Белсон представит на конференции ядро.
q0306  14:43.6-14:46.1  Даже задний ход получится, что Питер бегает от Гэвина.
q0307  14:46.6-14:51.5  Итак, как хочешь, но через два месяца представь миру рабочий образец.
q0308  14:51.8-14:52.8  Образец чего?
q0309  14:53.2-14:56.9  Я подал заявку со старым дудочником, когда он был аудиоплеером.
q0310  14:57.2-15:00.2  Нет, простите, волевым решением я отказываюсь от тех кранча.
q0311  15:00.6-15:02.8  Ладно, а я расскажу, что будет дальше.
q0312  15:03.7-15:07.2  Питер откажет вам в текущей и будущей поддержке,
q0313  15:07.3-15:10.1  а это весьма неприятный сигнал для всех.
q0314  15:10.7-15:14.8  Вы загнётесь, так и не взлетев, никто не подаст руки, и проекту конец.
q0315  15:15.6-15:19.5  Не понимаю, зачем Питеру Грегори толкать компанию к позору?
q0316  15:21.1-15:24.2  Слушай, буду предельно откровенна.
q0317  15:28.2-15:30.4  Питеру Грегори наплевать.
q0318  15:31.8-15:32.1  На.
q0319  15:32.7-15:33.3  На вас.
q0320  15:34.3-15:36.7  Ну что, на меня или на нас обоих?
q0321  15:36.8-15:38.9  На всех вас. На пегова дубичника.
q0322  15:40.2-15:40.8  Ясно.
q0323  15:41.8-15:44.1  А зачем он с нами связался?
q0324  15:44.5-15:48.3  Вряд ли, чтобы нагадить Гевину Болсону. Он спустил 200 тысяч долларов.
q0325  15:48.5-15:49.8  Да, это мелочи.
q0326  15:50.5-15:53.0  Питер отдаст миллионы, чтобы насолить Гевину.
q0327  15:53.9-15:55.3  Они миллиардеры, Ричард.
q0328  15:55.3-15:59.3  Они тратят на шпильки друг другу столько, сколько мы не заработаем за всю жизнь.
q0329  16:00.3-16:00.9  Понятно.
q0330  16:00.9-16:08.2  А ты, естественно, забыла об этом упомянуть, когда уговаривал меня отказаться от 10 миллионов
q0331  16:08.2-16:11.8  А теперь я пешка в дурацкой игре двух миллиардеров?
q0332  16:12.6-16:17.9  Честно говоря, Гэвин предложил 10 миллионов, только потому что мы принялись торговаться
q0333  16:17.9-16:19.5  Да, но он их предложил, Моника
q0334  16:19.5-16:22.7  Он их предложил, 10 миллионов долларов, а я не взял
q0335  16:22.7-16:25.6  Потому что ты пришла, когда я блевал и бесился
q0336  16:25.6-16:28.5  И сказала, что Питер Грегори в меня верит
q0337  16:28.5-16:30.9  А на самом деле клаун на нас свой хуй.
q0338  16:30.9-16:31.4  Ричард.
q0339  16:31.5-16:32.4  Ё-моё.
q0340  16:32.6-16:36.0  Я не взял 10 миллионов из-за Питера Грегори, Моника.
q0341  16:36.2-16:37.6  Я их не взял из-за тебя.
q0342  16:41.8-16:45.0  Я сейчас зол на 10% от его злости.
q0343  16:47.6-16:50.4  Потому что один из 10 миллионов был моим.
q0344  16:51.4-16:53.4  Потому что у меня 10%.
q0345  16:53.4-16:53.9  Я знаю.
q0346  16:54.0-16:54.4  Бегово дудо.
q0347  16:54.4-16:55.1  Я знаю.
q0348  16:58.5-16:59.3  От себя.
q0349  17:10.2-17:14.7  Мы не думали управиться и за пять месяцев, а тут вдруг два.
q0350  17:15.0-17:16.9  Положение хреновое, но придется...
q0351  17:16.9-17:18.5  Это что за поебень?
q0352  17:18.5-17:20.5  Это что еще? Это Динэш?
q0353  17:21.4-17:23.0  Это что, статуя свободы?
q0354  17:24.3-17:26.7  И они... сношаются?
q0355  17:26.7-17:29.9  О, привет, соседка.
q0356  17:30.5-17:31.7  Эшли-то как подросла.
q0357  17:32.8-17:33.5  Совсем.
q0358  17:34.3-17:35.2  Что будем делать?
q0359  17:35.4-17:36.9  Не знаю, закрасим.
q0360  17:37.0-17:38.3  Не-не-не, закрашивать нельзя.
q0361  17:38.6-17:39.5  Это кодекс улиц.
q0362  17:39.6-17:40.8  За это могут и пристрелить.
q0363  17:41.1-17:41.7  Вот, блин.
q0364  17:41.8-17:42.8  Эй, ну и что скажете?
q0365  17:43.4-17:46.5  А, Эрли хочет кое-что сказать.
q0366  17:46.8-17:50.3  А я, пожалуй, оставлю.
q0367  17:50.3-17:57.2  Резюме такое.
q0368  17:59.0-18:00.7  Идея просто потрясная.
q0369  18:01.1-18:02.4  Очень клёво нарисована.
q0370  18:03.1-18:07.0  Но, думаешь, рисунок подходящий?
q0371  18:07.2-18:11.0  То есть, не слишком натуралистичный для улицы?
q0372  18:11.2-18:12.6  Фигня, ты глянь.
q0373  18:12.6-18:15.3  Это борьба латиносов за права в Америке.
q0374  18:15.6-18:18.5  Но даже без этого символизма картинка радует глаз.
q0375  18:19.3-18:19.6  Да.
q0376  18:20.3-18:23.4  Ну ладно, вот какая херня, Чуи.
q0377  18:23.9-18:30.0  Короче, наш мега-кодер, он вообще-то не совсем латинос.
q0378  18:30.8-18:31.1  Что?
q0379  18:31.5-18:33.7  Да, на самом деле он пакистанец.
q0380  18:33.9-18:35.0  Кен, ты мне наврал.
q0381  18:35.1-18:40.3  Не-не-не, ты решил, что он латинос, а я решил, что поправить тебя это расизм.
q0382  18:40.6-18:42.3  Ты что, брат, чего ты это взял?
q0383  18:43.0-18:44.8  Так подумать, это расизм.
q0384  18:45.3-18:48.1  Блин, да что ж такое.
q0385  18:48.1-18:54.7  Слушай, Чуи, парень по имени Динес Чуктай в виде воин ацтеков — это ерунда.
q0386  18:56.3-18:59.7  Да, знаешь, походу ты прав, босс.
q0387  18:59.9-19:00.5  Класс!
q0388  19:01.0-19:03.7  Это, эм, так здорово.
q0389  19:03.8-19:09.3  Ты перерисуй и сделай так, чтобы он не ебал символ нашей свободы.
q0390  19:09.7-19:11.0  Ну а дальше по усмотрению.
q0391  19:11.3-19:12.4  Ништяк, ништяк.
q0392  19:12.4-19:18.3  Если бы я знал, мы бы отозвали заявку до того, как это случилось
q0393  19:18.3-19:21.0  Вот почему надо установить чёткий порядок общения
q0394  19:21.0-19:22.5  Я знаю, Джаред, знаю
q0395  19:22.5-19:27.2  Слушай, предлагаю внедрить метод управления проектами скрам
q0396  19:27.2-19:29.3  Скрам предназначен...
q0397  19:29.3-19:30.4  Так, сейчас пошёл, бегом!
q0398  19:31.9-19:34.5  Нет, нет, тут плесень
q0399  19:34.5-19:35.8  А в чём дело?
q0400  19:36.1-19:40.7  Гилфойл поставил 100 баксов, что если я коснусь предмета в комнате, он найдёт его по запаху
q0401  19:40.7-19:42.0  Так, давайте не сейчас
q0402  19:42.0-19:47.2  Нет, сейчас. Я мастурбировал для мобилизации организма. У меня 15 минут.
q0403  19:47.4-19:51.3  Ай, у нас полно работы. Может, лучше делом займётесь?
q0404  19:51.6-19:54.6  Друг, расслабься, ладно? Утром каждый из нас написал по модулю.
q0405  19:55.0-19:58.0  Небольшой перерыв. Защита от копирования — конфетка.
q0406  19:58.6-20:00.4  Стоп. Ты писал защиту?
q0407  20:00.8-20:01.0  Да.
q0408  20:01.3-20:02.4  Я писал защиту.
q0409  20:02.8-20:06.2  Нафига ты писал защиту? Я же сказал, я пишу защиту, ты обработку ошибок.
q0410  20:06.3-20:09.3  А я думал, косяки и ошибки — твое второе «я».
q0411  20:09.3-20:11.0  Да, я ловлю ошибки каждый день.
q0412  20:11.0-20:12.3  Да, скрам.
q0413  20:12.8-20:13.3  Скрам.
q0414  20:14.2-20:18.4  Итак, отправил фильтрации, мы переходим к потоку работ.
q0415  20:18.4-20:22.7  В этот момент стикер переезжает из холодильника в колонку в работе
q0416  20:22.7-20:25.4  и висит там, пока не попадет в тестирование.
q0417  20:26.2-20:28.8  Это повышает наглядность прогресса нашей команды.
q0418  20:29.0-20:31.0  А это, господа, и есть скрам.
q0419  20:32.2-20:34.2  Так мы и будем жить ближайшие два месяца.
q0420  20:34.6-20:36.2  Стало похоже на работу.
q0421  20:36.2-20:42.1  Итак, вот эти карточки я добавил в сагу об обработчике входных данных.
q0422  20:42.3-20:43.6  И в ней три рассказа.
q0423  20:44.9-20:46.9  Как по-вашему, насколько они долгие?
q0424  20:47.2-20:48.2  Не знаю, без разницы.
q0425  20:49.1-20:50.4  Часа по четыре на шаг?
q0426  20:50.6-20:51.9  Да, тебе точно.
q0427  20:52.5-20:54.8  На каждую задачу три часа максимум.
q0428  20:55.3-20:56.5  Не задачу, рассказ.
q0429  20:56.9-20:59.0  Сам ты рассказ, один раз не пидорас.
q0430  20:59.3-21:00.6  Так, вот как поступим.
q0431  21:00.8-21:02.2  Каждый возьмёт по рассказу.
q0432  21:04.3-21:04.9  Вот так.
q0433  21:04.9-21:07.5  И посмотрим, кто прав.
q0434  21:07.8-21:08.8  Видишь, что он делает?
q0435  21:09.3-21:12.0  Сталкивает друг с другом, чтобы мы быстрее работали.
q0436  21:30.5-21:31.8  Боюсь, скрам с ними
q0437  21:31.8-21:33.7  не прокатит. Ты просто
q0438  21:33.7-21:34.8  доверься системе.
q0439  21:35.5-21:37.7  Значит, будем работать на расслабоне, да?
q0440  21:38.4-21:39.0  Конечно.
q0441  21:41.0-21:43.2  А чего ты запечатал быстрее?
q0442  21:43.3-21:43.9  Нифига.
q0443  21:44.8-21:46.4  Может, просто мой расслабон
q0444  21:46.4-21:47.5  пошустрее твоего?
q0445  21:47.5-21:52.0  Вот засранец
q0446  21:52.0-21:55.4  Ура!
