q0001  00:00.0-00:04.3  Дэвид?
q0272  12:32.1-12:33.4  Это были ужасные отношения.
q0273  12:34.2-12:35.7  Вы были несчастны, когда были с ней.
q0274  12:35.9-12:36.5  Я не был.
q0275  12:36.6-12:37.9  Сейчас вы гораздо счастливее.
q0276  12:38.9-12:40.5  Идите туда и будьте смелы.
q0277  12:41.3-12:42.1  Ты права.
q0278  12:42.6-12:43.5  Ты абсолютно права.
q0279  12:43.8-12:46.3  Я должен пойти и сказать, что мы не можем быть вместе.
q0280  12:46.4-12:46.7  Верно.
q0281  12:48.7-12:49.3  Вперёд.
q0282  12:49.3-12:50.6  Мне гораздо легче.
q0283  12:51.2-12:51.6  Спасибо.
q0284  12:56.2-12:56.8  Ладно.
q0285  12:57.8-12:58.3  Джен?
q0286  12:59.3-13:02.5  Нам надо поговорить.
q0287  13:08.4-13:10.6  Джан сейчас очень изменилась,
q0288  13:11.2-13:14.7  и это признак зрелости давать людям второй шанс.
q0289  13:15.4-13:17.6  Так что я выслушаю ее.
q0290  13:21.9-13:23.1  О, мой бог.
q0291  13:23.1-13:30.3  Да, действительно больше
q0292  13:30.3-13:31.8  С ума сойти
q0293  13:31.8-13:38.3  Боже мой, ты можешь поверить?
q0294  13:39.1-13:39.9  Невероятно
q0295  13:39.9-13:41.0  Ух ты
q0296  13:41.0-13:43.2  Она может туда чашку поставить
q0297  13:43.2-13:43.5  Точно
q0298  13:43.5-13:44.9  Нет, все хорошо
q0299  13:44.9-13:48.8  Уверена, Джиму тоже было неловко, когда мы с Роем шутили
q0300  13:48.8-13:51.1  В те времена
q0301  13:51.1-13:55.9  Я бы никогда так не поступила
q0302  13:55.9-13:57.0  Деньги на ветер
q0303  13:57.0-14:02.1  По моему опыту, парням гораздо больше нравится вид сзади, чем спереди
q0304  14:02.1-14:04.6  Мне нравятся фальшивые сиськи
q0305  14:04.6-14:07.0  У стриптизер частенько это видишь
q0306  14:07.0-14:09.1  Я нахожу это оскорбительным
q0307  14:09.1-14:10.2  Натуральные детка
q0308  14:10.2-14:12.2  Такими я их люблю
q0309  14:12.2-14:13.6  Мягкие и сладкие
q0310  14:13.6-14:18.3  Итак, есть многое, что я хотела бы изменить
q0311  14:18.3-14:18.4  Да?
q0312  14:18.8-14:20.9  Я думаю, когда мы в первый раз были вместе
q0313  14:20.9-14:23.1  У меня были проблемы с приоритетами.
q0314  14:23.2-14:24.5  Пункт первый – приоритеты.
q0315  14:24.7-14:28.5  И если бы мы обсудили пути возможного примирения...
q0316  14:28.5-14:29.8  Давай снова будем вместе.
q0317  14:32.4-14:34.0  Нет, нет, нет, нет.
q0318  14:34.4-14:36.2  Это не из-за увеличения груди.
q0319  14:37.0-14:38.9  Простите, улучшения груди.
q0320  14:39.3-14:40.3  Это было бы мелко.
q0321  14:40.5-14:41.7  На самом деле всё не так.
q0322  14:42.5-14:44.0  Это взрыв чувств.
q0323  14:45.8-14:47.2  Так, выслушайте всем.
q0324  14:47.7-14:49.1  Пора начинать собеседование.
q0325  14:50.9-14:53.4  Эндрю Бернард.
q0326  14:54.4-14:55.5  Лучших первыми.
q0327  14:56.0-14:57.6  Ладно, ребята, ещё увидимся.
q0328  14:58.0-14:58.8  Пожелайте нам удачи.
q0329  14:59.0-15:00.9  Нет, эй, эй, не желайте им удачи.
q0330  15:01.1-15:03.6  Не желайте им удачи, всю удачу пожелайте Майклу.
q0331  15:04.0-15:04.9  Удачи вам, ребята.
q0332  15:05.4-15:05.7  Удачи.
q0333  15:06.6-15:07.1  Удачи.
q0334  15:07.1-15:08.1  Что сказал? Спасибо.
q0335  15:13.0-15:14.1  Я рада за него.
q0336  15:14.6-15:15.7  Надеюсь, он получит работу.
q0337  15:16.1-15:17.7  Я правда желаю ему счастья.
q0338  15:18.3-15:19.6  И знаю, это звучит банально,
q0339  15:19.6-15:22.5  И я знаю, что банально говорить звучит банально.
q0340  15:24.3-15:25.8  Может, я просто банально?
q0341  15:26.0-15:28.6  Мне плевать, потому что я такая, какая есть.
q0342  15:31.0-15:32.0  Это Папай.
q0343  15:33.1-15:38.0  Я хочу начать этот процесс с простого теста на интеллект и ментальную гипность.
q0344  15:39.1-15:40.6  Какой лучший цвет?
q0345  15:41.2-15:41.6  Белый.
q0346  15:42.2-15:44.4  Потому что он включает все цвета.
q0347  15:44.6-15:46.6  Неверно. Чёрный – наиболее доминантный.
q0348  15:46.7-15:47.7  Как ты сделаешь стол?
q0349  15:48.3-15:49.2  Сделай стол.
q0350  15:49.6-15:50.9  Но не садись на него.
q0351  15:51.5-15:52.4  Столица штата Мэн?
q0352  15:52.6-15:58.6  Столица Мэна это Монт Пилеер, Вермонт, рядом с Итакой, Нью-Йорк, где я ходил в Корнелл.
q0353  15:59.3-16:01.4  Так, мораторий на разговоры о Корнелле.
q0354  16:01.9-16:02.9  Не хочу слышать об этом.
q0355  16:03.0-16:05.5  Забудь свою личную историю и учи историю этой компании.
q0356  16:06.1-16:07.0  Не вижу особых проблем.
q0357  16:07.4-16:10.5  История была вторым предметом в школе Лиги Плюща, которую я посещал.
q0358  16:10.8-16:12.3  Ты не очень хорошо начинаешь, Бернард.
q0359  16:12.9-16:13.4  Согласен.
q0360  16:14.5-16:17.9  Но с другой стороны, я очень неплохо начал.
q0361  16:17.9-16:19.0  Не правда ли?
q0362  16:19.6-16:21.4  Я хорош на собеседованиях.
q0363  16:22.9-16:25.7  Почему? Потому что у меня есть то, чего нет у других.
q0364  16:26.1-16:26.6  Мой мозг.
q0365  16:27.6-16:29.4  Который я использую с выгодой.
q0366  16:30.3-16:31.2  Тогда это выгодно.
q0367  16:35.9-16:36.4  Время?
q0368  16:36.6-16:37.7  Нет, ты не прошёл.
q0369  16:37.8-16:38.0  Ты!
q0370  16:38.0-16:38.5  Проклятие!
q0371  16:38.7-16:40.1  Собеседование окончено, я дам тебе знать.
q0372  16:43.0-16:45.9  Эй, большое спасибо, что подвозишь меня на собеседование.
q0373  16:46.2-16:47.4  Разумеется, без проблем.
q0374  16:48.3-16:49.6  А кого у тебя собеседование, кстати?
q0375  16:50.1-16:51.5  Мои помощницы или...
q0376  16:51.5-16:54.5  О, знаешь, у меня будет вечеринка поздравлений Карен.
q0377  16:54.9-16:56.4  Завтра вечером в доме подруги.
q0378  16:56.9-16:59.0  Ого, кажется, будет весело.
q0379  16:59.1-17:00.6  Твою подругу тоже зовут Карен?
q0380  17:01.2-17:02.2  А она куда устраивается?
q0381  17:02.3-17:04.5  Нет, прости надо выражаться яснее.
q0382  17:04.5-17:05.7  Это для меня.
q0383  17:05.8-17:07.6  Потому что я получу это место.
q0384  17:09.4-17:10.8  Как удивительно.
q0385  17:11.6-17:12.2  Спасибо.
q0386  17:14.9-17:16.3  Стой, погоди секунду.
q0387  17:16.3-17:17.8  Дай кое-что ещё проверю.
q0388  17:20.6-17:21.7  Очень хорошо.
q0389  17:26.9-17:29.3  Ну ладно, мне пора возвращаться.
q0390  17:30.4-17:32.5  Но увидимся в Нью-Йорке завтра, ладно?
q0391  17:32.9-17:33.5  Да, конечно.
q0392  17:34.4-17:34.7  Спасибо.
q0393  17:37.4-17:38.0  Пока.
q0394  17:44.8-17:45.4  Цветак?
q0395  17:46.3-17:48.6  Я решил, что мы вернемся друг к другу.
q0396  17:48.6-17:49.2  Что случилось?
q0397  17:49.7-17:52.0  Твой совет был хорош, но Джен больше.
q0398  17:53.4-17:54.6  Вот в чем штука.
q0399  17:55.1-17:59.2  Две недели назад у меня были худшие отношения в жизни.
q0400  17:59.5-18:00.9  Она плохо ко мне относилась.
q0401  18:01.3-18:03.7  Не было понимания, я был несчастен.
q0402  18:04.3-18:09.8  Сейчас я в лучших отношениях в жизни с той же самой женщиной.
q0403  18:11.5-18:12.8  Любовь – это загадка.
q0404  18:14.4-18:15.8  Итак, у нас есть вся ночь.
q0405  18:16.3-18:17.2  С чего хочешь начать?
q0406  18:17.4-18:19.1  Не знаю. Может быть, музей?
q0407  18:20.0-18:21.4  Ты часто сюда приезжал?
q0408  18:21.8-18:24.1  Каждый раз, когда сюда привозили мой шестой класс.
q0409  18:25.0-18:27.0  Думаю, взрослым тебе понравится больше, Джим.
q0410  18:33.7-18:34.7  Послушайте все.
q0411  18:36.5-18:40.1  В следующий раз, когда мы увидимся, я буду работать в правлении.
q0412  18:40.8-18:44.0  Завтрашнего дня Дуайт Шрут будет управлять филиалом.
q0413  18:44.0-18:52.0  Так что, без долгих разговоров, я хотел бы начать свое прощание.
q0414  19:00.2-19:01.6  Ладно.
q0415  19:06.2-19:07.8  Доброй ночи.
q0416  19:09.5-19:10.4  И удачи вам.
q0417  19:14.0-19:24.0  Готов поработать.
q0418  19:27.4-19:30.3  Да, мы пошли ужинать в пятнистую свинью.
q0419  19:30.5-19:32.3  Это в Виллидж, Карен знает.
q0420  19:33.0-19:35.5  Просочились на второй акт мюзикла «Спа Молот»,
q0421  19:35.5-19:37.8  прошли в Антракте вместе с курильщиками.
q0422  19:38.8-19:41.2  Потом ходили в бар, который был церковью.
q0423  19:42.0-19:44.9  И в этом баре, клянусь, я видел Лорна Майклза.
q0424  19:45.1-19:45.9  Это был не он.
q0425  19:48.9-19:51.0  Так что будет с нами, когда я получу это место?
q0426  19:51.2-19:52.8  Ты имеешь в виду, когда я получу его?
q0427  19:53.8-19:55.4  Если ты получишь должность,
q0428  19:56.4-19:58.0  я перееду сюда с тобой.
q0429  19:59.3-20:00.6  А ты поедешь со мной?
q0430  20:02.0-20:03.0  Я не дурочка, ясно?
q0431  20:03.3-20:04.4  Я была на пляже.
q0432  20:06.0-20:07.5  У нас нет будущего в Скрантоне.
q0433  20:08.3-20:10.5  Там на одного человека больше, чем нужно.
q0434  20:11.2-20:12.7  И про Кевина.
q0435  20:14.2-20:14.9  Именно.
q0436  20:16.7-20:17.7  Нет, но ты понял?
q0437  20:19.0-20:20.7  Я не могу оставаться там.
q0438  20:21.7-20:21.9  Да.
q0439  20:23.1-20:24.1  Я понял.
q0440  20:25.5-20:26.2  Идем.
q0441  20:39.6-20:40.8  Как вы все делаете?
q0442  20:40.8-21:07.5  Я гораздо более опытен, чем остальные претенденты.
q0443  21:07.5-21:09.3  Джим и Карен тоже здесь.
q0444  21:09.3-21:10.0  Это мило.
q0445  21:24.3-21:25.6  Майкл ушел.
q0446  21:26.5-21:27.8  Привет, вождю.
q0447  21:30.5-21:32.5  Мой первый деловой приказ.
q0448  21:33.1-21:36.2  Назначить Энди Бернарда моим вторым номером.
q0449  21:36.2-21:37.9  Моё первое действие согласится.
q0450  21:38.7-21:39.7  Вот у тебя был выбор.
q0451  21:40.8-21:41.2  Турень.
q0452  21:41.4-21:43.2  возможность всей жизни.
q0453  21:45.7-21:47.9  Три месяца назад я был нигде.
q0454  21:48.8-21:51.3  Я был выпускником Корнелла на управлении гневом.
q0455  21:52.4-21:53.6  И смотрите, где я теперь.
q0456  21:54.8-21:55.5  Неплохо.
q0457  22:00.5-22:03.0  Привет, Хантер! Как дела, брат мой?
q0458  22:03.6-22:06.0  Это Хантер, потрясающий секретарь.
q0459  22:06.8-22:07.9  Административный помощник.
q0460  22:08.2-22:09.0  Джан уже пришла?
q0461  22:09.2-22:10.3  Думаю, она придёт позже.
q0462  22:10.3-22:12.5  Можешь передать ей сообщение, когда она придёт?
q0463  22:12.7-22:13.1  Конечно.
q0464  22:14.3-22:17.7  Просто скажи, я хочу их сжать.
q0465  22:19.2-22:21.1  Это кот. Она знает, что это значит.
q0466  22:21.7-22:22.0  Хорошо.
q0467  22:22.9-22:26.0  О, Хантер, можешь передать ей это?
q0468  22:28.9-22:33.1  Ты показала прекрасный управленческий потенциал, пройдясь по углем.
q0469  22:33.3-22:36.3  Пусть даже и скатилась потом в нелепые личные признания.
